run,launcher_code,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,time,frame,particles,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,source,label,case,frames,final_time,cpu_reference,final_Vel_mag_max,final_Vel_mag_mean,final_settlement_dz_mean,final_PorePress_max,final_PorePress_mean,final_ExcessPorePress_maxAbs,final_ExcessPorePress_mean,final_bottom_excess_mean,final_top_excess_maxAbs,final_bottom_no_flux_proxy,final_PorePressRate_maxAbs,final_DivVelContribution_maxAbs,final_HydraulicContribution_maxAbs,final_PorePressureAccelDiff_mag_maxAbs,excess_envelope_peak,excess_envelope_final,excess_envelope_final_over_peak,velocity_final_over_peak,velocity_peak,t0p2_actual_time,t0p2_ExcessPorePress_maxAbs,t0p2_bottom_excess_mean,t0p2_Vel_mag_max
CPU,0.0,0.0,0.0,5244.0,122.382866,True,True,0.005,PartCsv_0005,1000.0,49.2656337514,12355.61696063,8516.324127303813,12355.61696063,0.0,5033.577883924,3611.2279751093797,5033.577883924,-81627744.0,41282012.0,-16347986.388199983,81627744.0,-0.029430384,0.11064405,0.02452254763622,0.11064405,-760011.38,1773634.1,7.300758000001777,1773634.1,-73.975792,73.966774,-0.00017773514519949174,73.975792,0.023729712,0.014315251081840005,10.495745000000026,-9.779932000001344e-06,0.0050014807,0.99497801,20.0,20.0,20.0,0.0,2594.681068202,0.922889522499645,73762700.0,104351483.3856609,S1-1b short after patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU,0.0,0.0,0.0,5244.0,12.454111,True,True,0.005,PartCsv_0005,1000.0,49.26574466595,12355.61340165,8516.321608324857,12355.61340165,0.0001009538457026,5033.574826816,3611.2254561561754,5033.574826816,-81560888.0,40640716.0,-16352217.671729999,81560888.0,-0.029421974,0.110549,0.024528893914629993,0.110549,-760005.0,1765513.5,7.293723000020488,1765513.5,-73.9758,73.966766,-0.00017767007880824793,73.9758,0.02372971500000001,0.01431525189978005,10.490982000000006,-9.779932000001344e-06,0.0050014807,0.99497801,20.0,20.0,20.0,0.0001109856469341,2594.6775112710006,0.922783091200472,73699333.33333334,103799629.40468912,S1-1b short after patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,0.0,52437.0,123.984268,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1-2 medium,T0p05,S1_BGStop_T005,26.0,0.05,not_run_projected_from_S1_1b_0p005_cpu_runtime,4.307300700000867e-05,2.6615246660010778e-05,-4.062682000002069e-06,9676.937094698,4873.266893885138,84.08403599729,-31.77319037822095,-84.00678167168999,2.01457254434e-07,0.001012046344015971,830640.56,296136.9866666667,684894.4675501197,0.10141011000000298,22812.53626436,84.08403599729,0.0036858696912475445,0.001620660797402331,,,,,
,0.0,0.0,0.0,209747.0,490.911163,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1-2 medium,T0p20,S1_BGStop_T020,21.0,0.2,not_run_projected_from_S1_1b_0p005_cpu_runtime,5.5996388000854816e-06,3.3999588440366865e-06,-3.30299899999993e-06,9733.595858767,4892.69216546615,27.35972367609,-12.340475404623668,-27.350646971834003,7.341817820361e-09,3.0682373495238835e-05,62076.809,37015.96133333334,62134.69520896983,0.02266722000039372,12108.61863019,27.35972367609,0.0022595247659278777,0.0007879047247609327,,,,,
,0.0,0.0,0.0,3775438.0,8841.972656,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1-3 long,T3p6,S1_BGStop_T36,37.0,3.600001,not_run; S1-1b short CPU/GPU parity is retained,2.9972117000128537e-07,1.9187329152761686e-07,-1.8934170000060695e-07,9759.304312171,4903.956259868006,1.645037802789,-1.04579479186888,-1.6448402404519498,1.403890337315e-09,1.869763750050879e-06,15582.404,613.14328,15581.763506626603,0.0012849527000430194,38.54514617748,1.645037802789,0.04267820895566128,0.024946771909547607,1.2014427000335717e-05,0.2,27.35661834722,-27.347540960550997,5.599491523556576e-06
