case,label,code,excluded,steps,part_files,final_porepress_mean_center,final_excess_mean_center,final_porepress_mean_lateral,final_top_z_mean,final_top_vz_mean,kplastic_max
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,0.0,0.0,6.0,4.0,-517.8199477887154,-517.8199477887154,-2941.6580591547345,0.09000015165765768,0.0018340674080180178,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,0.0,0.0,6.0,4.0,8608.666307265925,8608.666307265925,12298.090151847953,0.09000065781981982,0.005407074482792793,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,0.0,0.0,6.0,4.0,8636.904988250333,8636.904988250333,12175.059477584336,0.09000066429729729,0.0055927514782882866,0.0
