case,label,step,time,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,targets,legacy,class,count
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,1,0.000502713,63.0,196.0,18.0,18.0,112.0,0.0,407.0,407.0,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,2,0.000603255,63.0,196.0,18.0,18.0,112.0,0.0,407.0,407.0,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,3,0.000703798,63.0,196.0,18.0,18.0,112.0,0.0,407.0,407.0,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,4,0.00080434,63.0,196.0,18.0,18.0,112.0,0.0,407.0,407.0,,
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0,,,,,,,,,,interior,63
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0,,,,,,,,,,lateral,196
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0,,,,,,,,,,top,18
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0,,,,,,,,,,bottom,18
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0,,,,,,,,,,edge,112
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,static_part0,,,,,,,,,,outside,0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,1,0.000502713,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,2,0.000603255,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,3,0.000703798,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,4,0.00080434,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0,,,,,,,,,,interior,63
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0,,,,,,,,,,lateral,196
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0,,,,,,,,,,top,18
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0,,,,,,,,,,bottom,18
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0,,,,,,,,,,edge,112
CaseT3_ConfinementOnly_Selected,confinement_only_selected,static_part0,,,,,,,,,,outside,0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,1,0.000502713,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,2,0.000603255,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,3,0.000703798,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,4,0.00080434,63.0,196.0,18.0,18.0,112.0,0.0,112.0,407.0,,
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0,,,,,,,,,,interior,63
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0,,,,,,,,,,lateral,196
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0,,,,,,,,,,top,18
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0,,,,,,,,,,bottom,18
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0,,,,,,,,,,edge,112
CaseT3_AxialConfinement_Selected,axial_confinement_selected,static_part0,,,,,,,,,,outside,0
