case,label,part,time,kplastic_max,kplastic_mean
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,0,0.0,0.0,0.0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,1,0.000503,0.0,0.0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,2,0.000804,0.0,0.0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,3,0.001005,0.0,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,0,0.0,0.0,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,1,0.000503,0.0,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,2,0.000804,0.0,0.0
CaseT3_ConfinementOnly_Selected,confinement_only_selected,3,0.001005,0.0,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,0,0.0,0.0,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,1,0.000503,0.0,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,2,0.000804,0.0,0.0
CaseT3_AxialConfinement_Selected,axial_confinement_selected,3,0.001005,0.0,0.0
