case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,excess_std,divvel_mean,divvel_std,porepressrate_mean,porepressrate_std,kplastic_max,kplastic_mean,fi_min,fi_mean,fi_median,fi_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,mean_pore_pressure_for_total_proxy,class_interior_count,class_lateral_count,class_top_count,class_bottom_count,class_edge_count,class_outside_count
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_medium,15,0.0499999563963964,-6.039170899474477e-08,1.3337260798e-06,985.4563050172399,55.52781885475987,985.4563050172399,55.52781885475987,-0.013270906266666667,0.0005677363934779903,8847993.566666666,378444.309564779,0.0,0.0,0.9983439942172712,0.9989400205586437,0.9983440721916007,1.0013239182625082,-3.01454062,-3.014540433333333,-1.3612965466666667,-1.2204324863333337e-08,3.3426067326146876e-08,4.870558779993909e-08,2.4634592,1.653243980000011,1.3612965466666667,3.0145405266666665,985.4563050172399,15,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,2,0.000704,center_core_large,45,0.0499999563963964,-6.039170899474477e-08,1.2269485259666666e-06,940.5295886612754,93.73295150175689,940.5295886612754,93.73295150175689,-0.012208443044444444,0.0012593051251615262,8139384.922222222,839598.5402159372,0.0,0.0,0.9767008092852002,0.9890559357758688,0.9983439339615607,1.0013239182625082,-2.9294012577777777,-2.92940109111111,-1.1948513984444444,-1.5199748407443735e-08,3.092572671651676e-08,3.442089593846336e-08,2.3512179157777777,1.7345497760000077,1.1948513984444444,2.929401174444444,940.5295886612754,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,2,0.000704,full_excluding_caps_edges,259,0.0499999563963964,-6.039170899474477e-08,1.1351305709884172e-06,968.1425904469966,220.14696347605866,968.1425904469966,220.14696347605866,-0.011294831552123553,0.0025130870378824526,7529724.032818533,1675081.5063241818,0.0,0.0,0.5748042574762934,0.7940935974054308,0.8622303085703577,1.0013239182625082,-2.9487422096525107,-2.948742138223937,-1.3637091960617764,-1.7116502031263398e-08,2.270614687391561e-08,9.535553134314655e-09,2.4203978479794084,1.5850329778764494,1.3637091960617764,2.948742173938224,968.1425904469966,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,2,0.000704,zhao_measurement_cylinder,45,0.0499999563963964,-6.039170899474477e-08,1.2269485259666666e-06,940.5295886612754,93.73295150175689,940.5295886612754,93.73295150175689,-0.012208443044444444,0.0012593051251615262,8139384.922222222,839598.5402159372,0.0,0.0,0.9767008092852002,0.9890559357758688,0.9983439339615607,1.0013239182625082,-2.9294012577777777,-2.92940109111111,-1.1948513984444444,-1.5199748407443735e-08,3.092572671651676e-08,3.442089593846336e-08,2.3512179157777777,1.7345497760000077,1.1948513984444444,2.929401174444444,940.5295886612754,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_small,1,0.049999371711711704,-8.235830899205876e-07,2.772833300500001e-06,1979.648812932,0.0,1979.648812932,0.0,-0.015226207,0.0,10150958.0,0.0,0.0,0.0,1.0013240050962455,1.0013240050962455,1.0013240050962455,1.0013240050962455,-7.3143349,-7.3143349,-0.21748434,5.8492372e-08,-2.3429429e-08,2.1385796e-07,4.948718046666667,7.09685056000001,0.21748434,7.3143349,1979.648812932,1,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_medium,15,0.049999371711711704,-8.235830899205876e-07,2.765861883133334e-06,2015.7439514602665,108.87878588560523,2015.7439514602665,108.87878588560523,-0.015371809799999999,0.0008193015065524372,10247324.6,545695.8199364429,0.0,0.0,0.998344142297654,0.9989401623747782,0.9983441986422368,1.0013240050962455,-7.530552226666668,-7.530551466666667,-0.05684758580000001,2.651773033333333e-08,-1.0231406091818933e-08,1.3213064419999773e-07,5.039317093044445,7.4737042608667,0.05684758580000001,7.530551846666667,2015.7439514602665,15,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_large,45,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,1926.8318031948668,181.84813503141086,1926.8318031948668,181.84813503141086,-0.014715514111111109,0.001366506239552047,9809841.922222223,910514.5614380301,0.0,0.0,0.9767007701815174,0.989056027844183,0.9983439155047913,1.0013240050962455,-7.382360764444444,-7.382360120000001,0.3134202866888888,-2.9432979103343687e-09,2.2389045212851185e-08,7.079042306543413e-08,4.817100199251852,7.695780728911132,-0.3134202866888888,7.382360442222223,1926.8318031948668,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,3,0.000804,full_excluding_caps_edges,259,0.049999371711711704,-8.235830899205876e-07,2.5773263175521244e-06,2144.3469570709344,922.4841857479759,2144.3469570709344,922.4841857479759,-0.01754908337915058,0.010966716453595234,11698624.14980695,7309179.523213031,0.0,0.0,0.5748070542424327,0.7940941507619093,0.862229577518956,1.0013240050962455,-7.446921484555987,-7.446921169884166,-1.1894619047837847,-1.7083318082324204e-08,9.296131466495041e-10,-5.941514287001743e-09,5.361101519741312,6.257459422436298,1.1894619047837847,7.4469213272200765,2144.3469570709344,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,3,0.000804,zhao_measurement_cylinder,45,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,1926.8318031948668,181.84813503141086,1926.8318031948668,181.84813503141086,-0.014715514111111109,0.001366506239552047,9809841.922222223,910514.5614380301,0.0,0.0,0.9767007701815174,0.989056027844183,0.9983439155047913,1.0013240050962455,-7.382360764444444,-7.382360120000001,0.3134202866888888,-2.9432979103343687e-09,2.2389045212851185e-08,7.079042306543413e-08,4.817100199251852,7.695780728911132,-0.3134202866888888,7.382360442222223,1926.8318031948668,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_small,1,0.04999753126126119,-3.049865699988885e-06,3.3700262520000007e-06,1751.694242425,0.0,1751.694242425,0.0,0.003400604,0.0,-2267302.5,0.0,0.0,0.0,1.0013230209303106,1.0013230209303106,1.0013230209303106,1.0013230209303106,-11.063162,-11.063162,8.9896479,2.6819026e-07,-1.0179524e-06,-4.0509002e-07,4.378892033333334,20.052809900000096,-8.9896479,11.063162,1751.694242425,1,0,0,0,0,0
