step,time,p0,targets,legacy,fx,fy,fz,absforce,maxaccel,comaccel,sym,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,lateral_fi_selected,cap_fi_selected,lat_accel_mean,lat_accel_max,cap_axial_mean,cap_axial_max,case
1,0.000502713,50.0,112.0,407.0,-9.66858e-09,-1.00509e-08,1.36376e-09,0.442619,1.92646,5.95789e-08,3.16591e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT4_StressPath_SelectedConfinement
2,0.000603255,50.0,112.0,407.0,-1.71036e-08,-2.29361e-08,5.473e-09,0.442619,1.92646,1.23852e-07,6.58125e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT4_StressPath_SelectedConfinement
3,0.000703798,50.0,112.0,407.0,4.57255e-09,7.99675e-09,6.71735e-09,0.442619,1.92646,4.84729e-08,2.57577e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT4_StressPath_SelectedConfinement
4,0.00080434,50.0,112.0,407.0,-3.80253e-09,-3.84073e-09,9.37535e-09,0.442618,1.92647,4.60103e-08,2.44491e-08,0.407175,1.00132,0.745128,0.7,208.0,63.0,196.0,18.0,18.0,112.0,0.0,112.0,96.0,1.87224,1.9072,0.0,0.0,CaseT4_StressPath_SelectedConfinement
