case,part,idp,class,fi,fi_selected
CaseT4_StressPath_SelectedConfinement,0,219,interior,0.9767008281707065,0
CaseT4_StressPath_SelectedConfinement,0,220,interior,0.976700777026823,0
CaseT4_StressPath_SelectedConfinement,0,262,edge,0.6164901338065207,1
CaseT4_StressPath_SelectedConfinement,0,263,lateral,0.6463375745965778,1
CaseT4_StressPath_SelectedConfinement,0,264,lateral,0.6467570831226265,1
CaseT4_StressPath_SelectedConfinement,0,265,lateral,0.6467570494083397,1
CaseT4_StressPath_SelectedConfinement,0,271,edge,0.8212955772079794,0
CaseT4_StressPath_SelectedConfinement,0,272,lateral,0.8616696653945232,0
CaseT4_StressPath_SelectedConfinement,0,273,lateral,0.8622305120047333,0
CaseT4_StressPath_SelectedConfinement,0,274,lateral,0.8622304675994918,0
CaseT4_StressPath_SelectedConfinement,0,307,edge,0.5479757027029417,1
CaseT4_StressPath_SelectedConfinement,0,308,lateral,0.5748032154007807,1
CaseT4_StressPath_SelectedConfinement,0,309,lateral,0.5752098401997557,1
CaseT4_StressPath_SelectedConfinement,0,310,lateral,0.5752098103323909,1
CaseT4_StressPath_SelectedConfinement,0,10,edge,0.6353305999065862,1
CaseT4_StressPath_SelectedConfinement,0,11,lateral,0.6669146473889811,1
CaseT4_StressPath_SelectedConfinement,0,12,lateral,0.6673919415031052,1
CaseT4_StressPath_SelectedConfinement,0,13,lateral,0.6673919072698873,1
CaseT4_StressPath_SelectedConfinement,0,19,edge,0.5479757027029416,1
CaseT4_StressPath_SelectedConfinement,0,20,lateral,0.5748032154007807,1
CaseT4_StressPath_SelectedConfinement,0,21,lateral,0.5752098401997559,1
CaseT4_StressPath_SelectedConfinement,0,22,lateral,0.5752098103323909,1
CaseT4_StressPath_SelectedConfinement,0,46,edge,0.8881834626846042,0
CaseT4_StressPath_SelectedConfinement,0,47,lateral,0.931725337633837,0
CaseT4_StressPath_SelectedConfinement,0,48,lateral,0.9322990679708799,0
CaseT4_StressPath_SelectedConfinement,0,49,lateral,0.9322990200769566,0
CaseT4_StressPath_SelectedConfinement,0,55,edge,0.8212955772079793,0
CaseT4_StressPath_SelectedConfinement,0,56,lateral,0.8616696653945232,0
CaseT4_StressPath_SelectedConfinement,0,57,lateral,0.8622305120047333,0
CaseT4_StressPath_SelectedConfinement,0,58,lateral,0.8622304675994917,0
CaseT4_StressPath_SelectedConfinement,0,64,edge,0.6164901338065207,1
CaseT4_StressPath_SelectedConfinement,0,65,lateral,0.6463375745965779,1
CaseT4_StressPath_SelectedConfinement,0,66,lateral,0.6467570831226265,1
CaseT4_StressPath_SelectedConfinement,0,67,lateral,0.6467570494083397,1
CaseT4_StressPath_SelectedConfinement,0,100,bottom,0.9526440943860662,0
CaseT4_StressPath_SelectedConfinement,0,101,interior,0.9977702597714208,0
CaseT4_StressPath_SelectedConfinement,0,102,interior,0.9983439891211496,0
CaseT4_StressPath_SelectedConfinement,0,103,interior,0.9983439363538964,0
CaseT4_StressPath_SelectedConfinement,0,109,bottom,0.9314792745484709,0
CaseT4_StressPath_SelectedConfinement,0,110,interior,0.9761270985235473,0
CaseT4_StressPath_SelectedConfinement,0,111,interior,0.9767008281707066,0
CaseT4_StressPath_SelectedConfinement,0,112,interior,0.9767007770268228,0
CaseT4_StressPath_SelectedConfinement,0,118,edge,0.8212955772079794,0
CaseT4_StressPath_SelectedConfinement,0,119,lateral,0.8616696653945232,0
CaseT4_StressPath_SelectedConfinement,0,120,lateral,0.8622305120047333,0
CaseT4_StressPath_SelectedConfinement,0,121,lateral,0.8622304675994917,0
CaseT4_StressPath_SelectedConfinement,0,163,bottom,0.9556226209609782,0
CaseT4_StressPath_SelectedConfinement,0,164,interior,1.0007501973052757,0
CaseT4_StressPath_SelectedConfinement,0,165,interior,1.0013239266907938,0
CaseT4_StressPath_SelectedConfinement,0,166,interior,1.0013238734973753,0
CaseT4_StressPath_SelectedConfinement,0,172,bottom,0.9526440943860661,0
CaseT4_StressPath_SelectedConfinement,0,173,interior,0.9977702597714206,0
CaseT4_StressPath_SelectedConfinement,0,174,interior,0.9983439891211497,0
