stage,case,description,source_csv,code,excluded,DtMin,TimeMax,loading_speed,substepping,fallback,ReturnStatus_counts,ReturnStatus_minus3_count,ReturnStatus_minus5_count,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,MccYieldFlag_count,MccYieldFlag_fraction,MccReturnIterations_max,MccReturnIterations_mean,MccYieldResidual_converged_max,MccYieldResidual_raw_max,Kplastic_max,Kplastic_mean,pairwise_reaction_avg,Fz_proxy,pairwise_over_Fz_proxy,p_proxy,q_proxy,q_over_p,PorePress_mean,PorePress_std,PorePressRate_maxAbs,velocity_max,cap_leakage,lateral_active_targets,force_balance_error,MccSubstepCount_max,MccSubstepFailureCount_sum,MccAdmissibilityFailureCount_sum
M3c,m3c_high_pc_smoke,high-pc MCC smoke,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3c_MCCStressUpdateCpu\m3c_case_summary.csv,0.0,0.0,0.0,0.006032,normal,off,off,0:407,0.0,0.0,100000.0,100000.0,100000.0,0.0,0.7998930905159708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30860150.0,0.0,,0.0,1.0846514944328998,0.0,146.58678978675022,355.54530488989946,2.425493493698412,26168.15189815342,16621.312608311127,34519324.0,0.0055347057000000015,0,112,0.0,0.0,0.0,0.0
M3c,m3c_mild_smoke,mild MCC smoke,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3c_MCCStressUpdateCpu\m3c_case_summary.csv,0.0,0.0,0.0,0.006032,normal,off,off,1:407,0.0,0.0,119.48885,119.92931896805904,120.09983,0.0,0.8000937086732199,0.0,-5.241123137088451e-05,0.00070687983,407.0,1.0,24.0,8.938574938574938,0.0,0.00011265323,0.00070687983,,0.0,0.25284411060924417,0.0,47.63815545470927,62.68073360171992,1.315767434809939,-55119.16709050431,62262.306240746104,64803080.0,0.0058191159832406,0,112,0.0,0.0,0.0,0.0
M3d,m3d_high_pc_extended,high-pc extended,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d_MCCFeedbackOffRefinement\m3d_case_summary.csv,0.0,0.0,0.0,0.018097,normal,off,off,0:407,0.0,0.0,100000.0,100000.0,100000.0,0.0,0.799623846044227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81119608.0,0.0,,3.33843,3.176123108637834,1.0511022041056135,395.9054204483719,1091.1275113544698,2.7560307462290945,95552.39333608451,20774.49937608741,13685868.0,0.004700805556972946,0,112,0.0505647,0.0,0.0,0.0
M3d,m3d_mild_extended,mild extended,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d_MCCFeedbackOffRefinement\m3d_case_summary.csv,0.0,0.0,0.0,0.018096,normal,off,off,-3:8|0:2|1:397,8.0,0.0,117.68771,119.63033950859979,120.2084,0.0,0.8004928626289921,0.0,-0.0002750144962390663,0.0025562742,397.0,0.9754299754299754,26.0,9.233415233415233,6.4242093e-05,4486.3047,0.0025562742,,0.286149,0.24781437833696118,1.1546908695140925,47.26133310780508,60.577611276883275,1.2817584120765957,-225214.38188911168,124985.56449377477,63265952.0,0.005524232722650874,0,112,0.0346152,0.0,0.0,0.0
M3d2,m3d2_half_speed,slower loading diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness\m3d2_case_summary.csv,0.0,0.0,0.0,0.036093,half,off,off,0:8|1:399,0.0,0.0,117.31603,119.51923665847673,120.22383,0.79967231,0.8006414498280103,0.80365217,-0.0003579747359257987,0.0027624541,,0.9803439803439803,17.0,0.0,9.3119757e-05,4235.7915,0.0027624541,,0.255056,0.23629957089102888,1.079375637620691,46.257435106519246,62.1517787865231,1.3436062471557961,-277088.0520727064,65009.588564030266,29148422.0,0.0027941535313531,0,112,0.00489551,0.0,0.0,0.0
M3d2,m3d2_early_stop,early-stop diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness\m3d2_case_summary.csv,0.0,0.0,0.0,0.006032,normal,off,off,1:407,0.0,0.0,119.48885,119.92931896805904,120.09983,0.79986221,0.8000937086732199,0.80070853,-5.241123137088451e-05,0.00070687983,,1.0,24.0,0.0,0.00011265323,0.00011265323,0.00070687983,,0.2772425,0.25284411060924417,1.0964957788890806,47.63815545470927,66.22154678305145,1.3900946867266901,-55119.16709050431,62262.306240746104,64803080.0,0.0058191159832406,0,112,0.15079,0.0,0.0,0.0
M3d2,m3d2_tight_return,tighter tolerance/max-iteration diagnostic,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness\m3d2_case_summary.csv,0.0,0.0,0.0,0.018096,normal,off,off,-3:8|0:2|1:397,8.0,0.0,117.68771,119.63033828009856,120.2084,0.79970473,0.8004928699017191,0.80314088,-0.00027501516709557743,0.0025562751,,0.9754299754299754,27.0,0.0,5.5635428e-07,4486.2969,0.0025562751,,0.2861495,0.2478143635676166,1.154692955971148,47.26132916995908,64.94661817739848,1.374202108109155,-225214.72591876276,124986.08724483434,63265972.0,0.005524235981243722,0,112,0.0346155,0.0,0.0,0.0
M3d3,m3d3_baseline,baseline no substepping,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.0,0.0,0.0,0.018096,normal,off,off,-3:8|0:2|1:397,8.0,0.0,117.68771,119.63033950859979,120.2084,0.79970473,0.8004928626289921,0.80314088,-0.0002750144962390663,0.0025562742,,0.9754299754299754,26.0,0.0,6.4242093e-05,4486.3047,0.0025562742,,0.286149,0.24781437833696118,1.1546908695140925,47.26133310780508,64.9466204495404,1.3742020416858416,-225214.38188911168,124985.56449377477,63265952.0,0.005524232722650874,0,112,0.0346152,1.0,8.0,0.0
M3d3,m3d3_fixed_substeps4,fixed 4 substeps,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.0,0.0,0.0,0.018095,normal,fixed-4,off,-3:18|-1:8|0:2|2:379,18.0,0.0,114.87664,119.17506904176908,120.48329,0.79933494,0.8011159005896793,0.80701476,-0.000617492469611548,0.0056991098,,0.9312039312039312,62.0,0.0,0.0,5018.5083,0.0056991098,,0.28396299999999997,0.24546610431901492,1.1568318191539528,46.98428888211302,64.2402972070246,1.3672718846124956,-240501.7072251021,136391.58988470814,77213296.0,0.0063447688162135375,0,112,0.0396284,4.0,26.0,0.0
M3d3,m3d3_adaptive_substeps16,adaptive substeps max 16,D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping\m3d3_case_summary.csv,0.0,0.0,0.0,0.018095,normal,adaptive-16,off,-3:10|-1:8|0:2|1:387,10.0,0.0,117.93754,119.63395098280112,120.2004,0.79971135,0.8004936204422615,0.80280685,-0.0002723184322439802,0.0024237814,,0.9508599508599509,190.0,0.0,7.1746501e-05,5000.9287,0.0024237814,,0.2848555,0.24624826985381393,1.1567817315796995,47.088003911089295,64.47403484891105,1.3692242077334544,-239475.03886834142,135649.05367253246,76510104.0,0.0063158949438701945,0,112,0.0399766,16.0,90.0,0.0
