stage,case,pairwise_reaction_avg,Fz_proxy,pairwise_over_Fz_proxy,force_balance_error,p_proxy,q_proxy
M3c,m3c_high_pc_smoke,0.0,1.0846514944328998,0.0,0.0,146.58678978675022,355.54530488989946
M3c,m3c_mild_smoke,0.0,0.25284411060924417,0.0,0.0,47.63815545470927,62.68073360171992
M3d,m3d_high_pc_extended,3.33843,3.176123108637834,1.0511022041056135,0.0505647,395.9054204483719,1091.1275113544698
M3d,m3d_mild_extended,0.286149,0.24781437833696118,1.1546908695140925,0.0346152,47.26133310780508,60.577611276883275
M3d2,m3d2_half_speed,0.255056,0.23629957089102888,1.079375637620691,0.00489551,46.257435106519246,62.1517787865231
M3d2,m3d2_early_stop,0.2772425,0.25284411060924417,1.0964957788890806,0.15079,47.63815545470927,66.22154678305145
M3d2,m3d2_tight_return,0.2861495,0.2478143635676166,1.154692955971148,0.0346155,47.26132916995908,64.94661817739848
M3d3,m3d3_baseline,0.286149,0.24781437833696118,1.1546908695140925,0.0346152,47.26133310780508,64.9466204495404
M3d3,m3d3_fixed_substeps4,0.28396299999999997,0.24546610431901492,1.1568318191539528,0.0396284,46.98428888211302,64.2402972070246
M3d3,m3d3_adaptive_substeps16,0.2848555,0.24624826985381393,1.1567817315796995,0.0399766,47.088003911089295,64.47403484891105
M3d3,m3d3_adaptive_fallback16,0.2840845,0.24567930760056722,1.1563224545628934,0.0386182,47.00899624410315,64.32709270092835
M3d3,m3d3_half_speed_adaptive,0.25510299999999997,0.23633409321982635,1.0794168396292942,0.00494674,46.25154304635544,62.16441271609576
