stage,case,axial_strain_proxy,p_proxy,q_proxy,q_over_p,pairwise_reaction_avg,Fz_proxy
M3c,m3c_high_pc_smoke,0.00020548634300010526,146.58678978675022,355.54530488989946,2.425493493698412,0.0,1.0846514944328998
M3c,m3c_mild_smoke,0.00014153063300006985,47.63815545470927,62.68073360171992,1.315767434809939,0.0,0.25284411060924417
M3d,m3d_high_pc_extended,0.0006314266000000124,395.9054204483719,1091.1275113544698,2.7560307462290945,3.33843,3.176123108637834
M3d,m3d_mild_extended,0.0004923412500000557,47.26133310780508,60.577611276883275,1.2817584120765957,0.286149,0.24781437833696118
M3d2,m3d2_half_speed,0.00042693662000006793,46.257435106519246,62.1517787865231,1.3436062471557961,0.255056,0.23629957089102888
M3d2,m3d2_early_stop,0.00014153063300006985,47.63815545470927,66.22154678305145,1.3900946867266901,0.2772425,0.25284411060924417
M3d2,m3d2_tight_return,0.0004923414900001588,47.26132916995908,64.94661817739848,1.374202108109155,0.2861495,0.2478143635676166
M3d3,m3d3_baseline,0.0004923412500000557,47.26133310780508,64.9466204495404,1.3742020416858416,0.286149,0.24781437833696118
M3d3,m3d3_fixed_substeps4,0.00048597961000013123,46.98428888211302,64.2402972070246,1.3672718846124956,0.28396299999999997,0.24546610431901492
M3d3,m3d3_adaptive_substeps16,0.0004857236600000481,47.088003911089295,64.47403484891105,1.3692242077334544,0.2848555,0.24624826985381393
M3d3,m3d3_adaptive_fallback16,0.0004849977699999952,47.00899624410315,64.32709270092835,1.3683996222105592,0.2840845,0.24567930760056722
M3d3,m3d3_half_speed_adaptive,0.00042589967000003504,46.25154304635544,62.16441271609576,1.3440505682976178,0.25510299999999997,0.23633409321982635
