#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
0.05;0;0;-2.38095;0;0;0
0.055;0;0;-2.38095;0;0;0
