run,code,excluded,steps,runtime_s,frame,particles,has_PorePress,has_ExcessPorePress,has_PorePressureAccelDiff,PorePress_max,PorePress_mean,ExcessPorePress_maxAbs,PorePressRate_maxAbs,DivVel_maxAbs,PorePressureAccelDiff_mag_maxAbs,Vel_mag_max,Vel_mag_mean,settlement_dz_mean,top_excess_maxAbs,bottom_no_flux_proxy_maxAbs,DivVel_max,DivVel_mean,DivVel_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_min,LapPorePress_max,LapPorePress_maxAbs,LapPorePress_mean,LapPorePress_min,LapZ_max,LapZ_maxAbs,LapZ_mean,LapZ_min,PorePressRate_max,PorePressRate_mean,PorePressRate_min,PorePress_maxAbs,PorePress_min,PorePressureAccelDiff_mag_max,PorePressureAccelDiff_mag_mean,PorePressureAccelDiff_mag_min,Vel_mag_maxAbs,Vel_mag_min,bottom_count,bottom_ref_count,gpu_cpu_DivVel_diff_max,gpu_cpu_DivVel_diff_maxAbs,gpu_cpu_DivVel_diff_mean,gpu_cpu_DivVel_diff_min,gpu_cpu_ExcessPorePress_diff_max,gpu_cpu_ExcessPorePress_diff_maxAbs,gpu_cpu_ExcessPorePress_diff_mean,gpu_cpu_ExcessPorePress_diff_min,gpu_cpu_LapPorePress_diff_max,gpu_cpu_LapPorePress_diff_maxAbs,gpu_cpu_LapPorePress_diff_mean,gpu_cpu_LapPorePress_diff_min,gpu_cpu_LapZ_diff_max,gpu_cpu_LapZ_diff_maxAbs,gpu_cpu_LapZ_diff_mean,gpu_cpu_LapZ_diff_min,gpu_cpu_PorePressRate_diff_max,gpu_cpu_PorePressRate_diff_maxAbs,gpu_cpu_PorePressRate_diff_mean,gpu_cpu_PorePressRate_diff_min,gpu_cpu_PorePress_diff_max,gpu_cpu_PorePress_diff_maxAbs,gpu_cpu_PorePress_diff_mean,gpu_cpu_PorePress_diff_min,gpu_cpu_PorePressureAccelDiff_diff_max,gpu_cpu_PorePressureAccelDiff_diff_maxAbs,gpu_cpu_PorePressureAccelDiff_diff_mean,gpu_cpu_PorePressureAccelDiff_diff_min,gpu_cpu_Vel_diff_max,gpu_cpu_Vel_diff_maxAbs,gpu_cpu_Vel_diff_mean,gpu_cpu_Vel_diff_min,initial_frame,settlement_dz_max,settlement_dz_maxAbs,settlement_dz_min,top_count,zmax,zmin
CPU,0,0,3147,70.667587,PartCsv_0003,1000,True,True,True,34929.2370902,18075.4191696,25193.098034,271948670,0.081807777,14.846963,0.018178025,0.0109137520149,-2.8057349e-05,0,0.471929844,-0.0026552065,-0.0171887201377,-0.081807777,25193.098034,13170.1437169,0,3437212.3,3437212.3,-5.40085649907,-698187.44,73.9739,73.9739,0.000395516559989,-73.97036,271948670,11459042.8446,143656.89,34929.2370902,49.3992788576,14.846963,11.9259521579,0.12203361,0.018178025,0.00029879386,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PartCsv_0000,-7.1889e-06,3.558e-05,-3.558e-05,20,0.99496442,0.004992811
GPU,0,0,3147,7.382946,PartCsv_0003,1000,True,True,True,34929.2396915,18075.420444,25193.0990526,272036320,0.081831403,14.853991,0.018178023,0.0109137508874,-2.8057349e-05,8.5019972552e-05,0.470633249504,-0.0026561345,-0.0171877704719,-0.081831403,25193.0990526,13170.1449913,-8.5019972552e-05,3438270,3438270,-5.40531323095,-698152.56,73.973892,73.973892,0.00039527647369,-73.970352,272036320,11458409.0441,195774.31,34929.2396915,49.3991938376,14.853991,11.9317645173,0.12211564,0.018178023,0.00029879206,20,20,2.759e-05,2.759e-05,9.496658e-07,-2.3678e-05,0.00260127000001,0.00260127000001,0.00127444342435,-9.87759000282e-05,1057.7,1057.7,-0.00445673199917,-984,4.88703e-05,4.88703e-05,-2.40086301986e-07,-3.225269e-05,87650,87650,-633.80055,-77240,0.00260128000082,0.00260128000082,0.00127444787304,-9.87889999351e-05,0.014712,0.014712,0.00581235933999,8.16199999913e-05,9.00000005945e-10,4.00000000136e-09,-1.12745999947e-09,-4.00000000136e-09,PartCsv_0000,-7.1889e-06,3.558e-05,-3.558e-05,20,0.99496442,0.004992811
