case,label,center_reversal_time,negative_pressure_count_final,final_porepress_min
CaseT4g_ConfOnly_FeedbackOffRef,feedback off,nan,0,38.23248664327
CaseT4g_ConfOnly_Op1Unfiltered,op1 unfiltered,0.004503,243,-838732910.4899
CaseT4g_ConfOnly_Op0Unfiltered,op0 unfiltered,0.003318,0,14630727.94588
CaseT4g_ConfOnly_Op1InteriorOnly,op1 interior,0.003821,252,-1296693.987373
CaseT4g_ConfOnly_Op0InteriorOnly,op0 interior,0.003821,356,-773447.284725
CaseT4g_ConfOnly_Op1TotalInteriorOnly,op1 total interior,0.003821,252,-1296693.987373
