case,part,time,idp,return_status,region,x,y,z,p_proxy,q_proxy,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,trigger_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
ramp_improved_adaptive,16,0.008043,211,-3,lateral_boundary,-0.020004008,-5.2022842e-10,0.079991795,43.141975,68.80172477199974,119.33866,0.80089152,-0.00049110613,0.001694415,8.056121e-07,258.0,2867.4771,32.0,5.0,0.001694415,-109392.1215697,-23303770.0,0.034929272,0.001972412844866863,0.289713
ramp_improved_adaptive,16,0.008043,221,-3,lateral_boundary,-0.020003434,0.010002393,0.069992691,42.60260866666667,68.77738461391849,119.7094,0.80039591,-0.00021550947,0.00060862396,4.3371861e-07,197.0,1474.691,32.0,5.0,0.00060862396,-57969.46630651,-12963637.0,0.019320114,0.0018284271460456579,0.289713
ramp_improved_adaptive,16,0.008043,277,-3,interior,-0.010000877,4.5597973e-11,0.079991989,42.687525666666666,68.50109324839313,119.0239,0.80131477,-0.0007257351,0.0025473156,7.7523129e-07,247.0,2950.3408,32.0,5.0,0.0025473156,-113236.0050984,-23170608.0,0.03474322,0.0017327135388232333,0.289713
ramp_improved_adaptive,16,0.008043,278,-3,top_cap_zone,-0.010002711,2.9178473e-09,0.089986227,42.27226066666666,68.43154723974959,119.20207,0.80107564,-0.00059284538,0.0030090376,1.2318728e-07,64.0,1379.3796,32.0,5.0,0.0030090376,-175656.3623233,-51101100.0,0.076980904,0.0028574012651945498,0.289713
ramp_improved_adaptive,16,0.008043,279,-3,top_cap_zone,-0.010003383,8.9450518e-09,0.099978805,42.899518,68.94212965538387,119.83993,0.80022132,-0.00011865261,0.0039295107,6.9200598e-07,222.0,3281.8574,32.0,5.0,0.0039295107,-201850.6070329,-49851636.0,0.075023852,0.004117257224706404,0.289713
ramp_improved_adaptive,16,0.008043,287,-3,interior,-0.010000197,0.010000197,0.069994107,42.247353000000004,68.58064427551768,119.55832,0.80059832,-0.00032772616,0.00098220445,4.2009165e-07,190.0,1473.856,32.0,5.0,0.00098220445,-62059.74287339,-11986062.0,0.017851576,0.0012619943951884104,0.289713
ramp_improved_adaptive,16,0.008043,288,-3,interior,-0.010001445,0.010001445,0.079991773,42.31044433333333,68.42920177886191,119.16557,0.80112505,-0.00062007899,0.0020972837,1.9324327e-07,95.0,1390.8367,32.0,5.0,0.0020972837,-112283.7540009,-23305528.0,0.034944102,0.0018438833164946045,0.289713
ramp_improved_adaptive,16,0.008043,290,-3,top_cap_zone,-0.010004409,0.010004409,0.099978931,51.187500666666665,71.40411291501795,120.35786,0.79952216,0.00026472908,0.002803684,4.2010745e-07,131.0,2494.7576,32.0,5.0,0.002803684,-202309.8932898,-49698196.0,0.074791171,0.004197202947729809,0.289713
ramp_improved_adaptive,16,0.008043,298,-3,lateral_boundary,-0.010002393,0.020003434,0.069992691,42.602614,68.77738837018158,119.7094,0.80039591,-0.00021550944,0.00060862384,4.3371875e-07,197.0,1474.6913,32.0,5.0,0.00060862384,-57969.46454248,-12963637.0,0.019320114,0.0018284266509016158,0.289713
ramp_improved_adaptive,16,0.008043,354,-3,interior,-7.7554202e-10,7.7496826e-10,0.079991847,49.50409533333333,70.7707953411136,119.7635,0.8003161,-0.0001753197,0.0015454431,6.3787792e-07,179.0,2607.3057,32.0,5.0,0.0015454431,-109600.3290461,-15562451.0,0.023246871,0.001744335863877496,0.289713
ramp_improved_adaptive,16,0.008043,355,-3,top_cap_zone,-4.5205568e-09,4.5200546e-09,0.089986064,50.72599366666666,71.11904838682388,119.96945,0.80004013,-2.2620623e-05,0.0019777627,2.3596307e-07,90.0,1884.3088,32.0,5.0,0.0019777627,-168703.124857,-39998632.0,0.060205385,0.0028421567652355114,0.289713
ramp_improved_adaptive,16,0.008043,356,-3,top_cap_zone,-1.128813e-08,1.12884e-08,0.099978648,49.782209333333334,71.22370276206091,120.54622,0.79927361,0.00040377126,0.0034485206,3.4871761e-08,34.0,696.14539,32.0,5.0,0.0034485206,-194790.8826439,-39873752.0,0.059972513,0.0041163494846778274,0.289713
ramp_improved_adaptive,16,0.008043,365,-3,interior,-4.5455147e-11,0.010000877,0.079991989,42.68751833333334,68.50109258421514,119.0239,0.80131477,-0.00072573515,0.0025473156,7.752314e-07,247.0,2950.3408,32.0,5.0,0.0025473156,-113236.0047676,-23170608.0,0.03474322,0.0017327135318765084,0.289713
ramp_improved_adaptive,16,0.008043,366,-3,top_cap_zone,-2.9177143e-09,0.010002711,0.089986227,42.272255,68.43154382401373,119.20207,0.80107564,-0.00059284549,0.0030090369,1.2318726e-07,64.0,1379.3796,32.0,5.0,0.0030090369,-175656.3644593,-51101120.0,0.076980934,0.0028574012651042713,0.289713
ramp_improved_adaptive,16,0.008043,367,-3,top_cap_zone,-8.9454248e-09,0.010003383,0.099978805,42.899518,68.942129654704,119.83993,0.80022132,-0.00011865249,0.0039295112,6.9200615e-07,222.0,3281.8584,32.0,5.0,0.0039295112,-201850.6103724,-49851648.0,0.075023867,0.004117257710969697,0.289713
ramp_improved_adaptive,16,0.008043,376,-3,lateral_boundary,5.1986992e-10,0.020004008,0.079991795,43.14198,68.80172829819836,119.33866,0.80089152,-0.00049110624,0.0016944155,8.0561227e-07,258.0,2867.4775,32.0,5.0,0.0016944155,-109392.1215658,-23303774.0,0.034929276,0.001972412757744423,0.289713
ramp_improved_adaptive,16,0.008043,430,-3,interior,0.0099999402,8.4346849e-11,0.069994308,42.42353133333333,68.66058141416508,119.59303,0.80055189,-0.00030193894,0.00080107356,4.0315427e-07,182.0,1465.2988,32.0,5.0,0.00080107356,-64125.70814803,-12972076.0,0.019344615,0.001221464681059324,0.289713
