case,time,status,count
baseline,0.013069,-6,0
baseline,0.013069,-5,0
baseline,0.013069,-4,0
baseline,0.013069,-3,0
baseline,0.013069,-2,0
baseline,0.013069,-1,0
baseline,0.013069,0,2
baseline,0.013069,1,405
baseline,0.013069,2,0
baseline,0.013572,-6,0
baseline,0.013572,-5,0
baseline,0.013572,-4,0
baseline,0.013572,-3,0
baseline,0.013572,-2,0
baseline,0.013572,-1,0
baseline,0.013572,0,2
baseline,0.013572,1,405
baseline,0.013572,2,0
baseline,0.014074,-6,0
baseline,0.014074,-5,0
baseline,0.014074,-4,0
baseline,0.014074,-3,0
baseline,0.014074,-2,0
baseline,0.014074,-1,0
baseline,0.014074,0,2
baseline,0.014074,1,405
baseline,0.014074,2,0
baseline,0.014577,-6,0
baseline,0.014577,-5,0
baseline,0.014577,-4,0
baseline,0.014577,-3,4
baseline,0.014577,-2,0
baseline,0.014577,-1,0
baseline,0.014577,0,2
baseline,0.014577,1,401
baseline,0.014577,2,0
baseline,0.01508,-6,0
baseline,0.01508,-5,0
baseline,0.01508,-4,0
baseline,0.01508,-3,0
baseline,0.01508,-2,0
baseline,0.01508,-1,0
baseline,0.01508,0,2
baseline,0.01508,1,405
baseline,0.01508,2,0
baseline,0.015582,-6,0
baseline,0.015582,-5,0
baseline,0.015582,-4,0
baseline,0.015582,-3,1
baseline,0.015582,-2,0
baseline,0.015582,-1,0
baseline,0.015582,0,2
baseline,0.015582,1,404
baseline,0.015582,2,0
baseline,0.016085,-6,0
baseline,0.016085,-5,0
baseline,0.016085,-4,0
baseline,0.016085,-3,5
baseline,0.016085,-2,0
baseline,0.016085,-1,0
baseline,0.016085,0,2
baseline,0.016085,1,400
baseline,0.016085,2,0
baseline,0.016588,-6,0
baseline,0.016588,-5,0
baseline,0.016588,-4,0
baseline,0.016588,-3,1
baseline,0.016588,-2,0
baseline,0.016588,-1,0
baseline,0.016588,0,2
baseline,0.016588,1,404
baseline,0.016588,2,0
baseline,0.01709,-6,0
baseline,0.01709,-5,0
baseline,0.01709,-4,0
baseline,0.01709,-3,9
baseline,0.01709,-2,0
baseline,0.01709,-1,0
baseline,0.01709,0,2
baseline,0.01709,1,396
baseline,0.01709,2,0
baseline,0.017593,-6,0
baseline,0.017593,-5,0
baseline,0.017593,-4,0
baseline,0.017593,-3,0
baseline,0.017593,-2,0
baseline,0.017593,-1,0
baseline,0.017593,0,2
baseline,0.017593,1,405
baseline,0.017593,2,0
baseline,0.018096,-6,0
baseline,0.018096,-5,0
baseline,0.018096,-4,0
baseline,0.018096,-3,8
baseline,0.018096,-2,0
baseline,0.018096,-1,0
baseline,0.018096,0,2
baseline,0.018096,1,397
baseline,0.018096,2,0
ramp_current_adaptive,0.0,-6,0
ramp_current_adaptive,0.0,-5,0
ramp_current_adaptive,0.0,-4,0
ramp_current_adaptive,0.0,-3,0
ramp_current_adaptive,0.0,-2,0
ramp_current_adaptive,0.0,-1,0
ramp_current_adaptive,0.0,0,407
ramp_current_adaptive,0.0,1,0
ramp_current_adaptive,0.0,2,0
ramp_current_adaptive,0.000503,-6,0
ramp_current_adaptive,0.000503,-5,0
ramp_current_adaptive,0.000503,-4,0
ramp_current_adaptive,0.000503,-3,0
ramp_current_adaptive,0.000503,-2,0
ramp_current_adaptive,0.000503,-1,0
ramp_current_adaptive,0.000503,0,407
ramp_current_adaptive,0.000503,1,0
