case,part,time,axial_strain,MccPc_mean,MccPc_min,MccPc_max,MccVoidRatio_mean,MccPlasticVolStrain_mean,MccEqPlasticStrain_mean,Kplastic_max
ramp_current_adaptive,8,0.004022,3.363071380005356e-05,119.98138552825554,119.87939,120.08398,0.8000271327518428,-1.3791820895208843e-05,4.263128775749385e-05,0.00024269699
ramp_current_adaptive,9,0.004524,4.660455410004927e-05,119.97780493857503,119.85311,120.10381,0.8000357164864866,-1.6446775658968063e-05,5.543214842088456e-05,0.00030136752
ramp_current_adaptive,10,0.005027,6.092026309995058e-05,119.97211083538076,119.82118,120.11204,0.8000432375429983,-2.0666768143194083e-05,7.003922656535628e-05,0.00035675833
ramp_current_adaptive,11,0.00553,7.58941078000952e-05,119.9647959459461,119.78336,120.11065,0.8000492746191646,-2.6089111934373476e-05,8.630031238427517e-05,0.00041064396
ramp_current_adaptive,12,0.006032,9.103995000009357e-05,119.95691764127778,119.72906,120.10374,0.8000556735135148,-3.1931224682017216e-05,0.00010373074237692881,0.00046393595
ramp_current_adaptive,13,0.006535,0.00010614243400014489,119.94848056511083,119.66819,120.102,0.8000653772481581,-3.819036301503683e-05,0.00012306245198304667,0.00049259502
ramp_current_adaptive,14,0.007038,0.00012104608800009298,119.93921201474197,119.60394,120.09211,0.8000788706388209,-4.5066113134889435e-05,0.00014346559075798537,0.00056326098
ramp_current_adaptive,15,0.00754,0.00013581399900000624,119.92908351351367,119.53704,120.08105,0.8000948368304671,-5.2581668263882074e-05,0.00016434515908353813,0.00063579873
ramp_current_adaptive,16,0.008043,0.0001505442580000682,119.91813886977893,119.46783,120.07439,0.8001115679852573,-6.070528056830468e-05,0.00018528343242481585,0.0007099873
ramp_current_adaptive,17,0.008546,0.0001651234220001463,119.90616127764115,119.39652,120.07977,0.8001286208599503,-6.959669956363635e-05,0.0002071352089285012,0.00078564929
ramp_current_adaptive,18,0.009048,0.00017967524600009943,119.89297095823085,119.32333,120.08511,0.8001462780098293,-7.939089373513519e-05,0.0002301180226410321,0.00086262409
ramp_current_adaptive,19,0.009551,0.00019413016400016136,119.88065906633899,119.2485,120.09096,0.8001623139803427,-8.853630272014749e-05,0.0002516093111938575,0.0009407624
ramp_current_adaptive,20,0.010053,0.00020867069400007376,119.86811859950838,119.17224,120.09683,0.8001787136363652,-9.785501735429975e-05,0.00027353013444447185,0.0010199344
ramp_current_adaptive,21,0.010556,0.000223143051000102,119.85588560196534,119.09473,120.10269,0.800194997444716,-0.00010694783640221133,0.0002946448984321869,0.0011000324
ramp_current_adaptive,22,0.011059,0.0002375437530000024,119.84342498771508,119.0161,120.10848,0.8002118435135143,-0.00011621288990884521,0.00031613073530687964,0.0011809707
ramp_current_adaptive,23,0.011561,0.00025200898300006824,119.83076265356281,118.93643,120.11417,0.80022903044226,-0.00012563011554766587,0.00033789499596289916,0.0012626803
ramp_current_adaptive,24,0.012064,0.0002664084159999247,119.81881651105665,118.91938,120.11975,0.8002451361670764,-0.00013451585219975427,0.00035882784830442273,0.0012901842
ramp_current_adaptive,25,0.012567,0.0002807252440001351,119.80679697788722,118.84618,120.12528,0.8002612091646196,-0.0001434589321248156,0.0003797504180882059,0.0013663667
ramp_current_adaptive,26,0.013069,0.0002950540740000174,119.79464604422597,118.77254,120.13078,0.8002773943980347,-0.00015250047919115482,0.0004008279861963144,0.001442812
ramp_current_adaptive,27,0.013572,0.00030939923400016833,119.7822896314496,118.69851,120.13631,0.8002939011793611,-0.00016169833250073706,0.0004222249795869776,0.0015194683
ramp_current_adaptive,28,0.014075,0.00032375430400008454,119.7698093611794,118.62418,120.14186,0.8003106854791163,-0.00017099078802407862,0.0004438074263511055,0.0015962857
ramp_current_adaptive,29,0.014577,0.0003380526530001593,119.75725506142474,118.54961,120.14743,0.8003276560687967,-0.0001803409422108108,0.000465434197557494,0.0016732198
ramp_current_adaptive,30,0.01508,0.0003523679290000359,119.74459599508606,118.47485,120.153,0.8003447818427532,-0.00018977105333857483,0.00048722351361400523,0.0017502314
ramp_current_adaptive,31,0.015583,0.0003667140150000192,119.73185796068795,118.39996,120.15854,0.800361966584767,-0.00019926297181031946,0.0005090547524223587,0.0018272842
ramp_current_adaptive,32,0.016085,0.0003810144400000215,119.71926560196574,118.32496,120.16407,0.8003788801719902,-0.00020864841252039311,0.0005304948858867326,0.0019043438
ramp_current_adaptive,33,0.016588,0.00039527179499995735,119.7066354299755,118.24992,120.1696,0.8003958093611795,-0.00021806569591842763,0.0005520084596729733,0.001981376
ramp_current_adaptive,34,0.01709,0.0004096277050000263,119.6939926535624,118.17486,120.17516,0.8004127629238328,-0.00022749379993808352,0.0005734922208449631,0.0020583489
ramp_current_adaptive,35,0.017593,0.0004238830330000054,119.68126243243233,118.09985,120.18073,0.8004298560196564,-0.00023699149416412773,0.000595131704240541,0.0021352337
ramp_current_adaptive,36,0.018096,0.0004382383070000717,119.66846958230943,118.0249,120.1863,0.8004470758476656,-0.00024653777903882045,0.0006169047437343984,0.0022120075
ramp_current_adaptive,37,0.018598,0.0004524841820001402,119.65561022113005,117.95007,120.19187,0.8004643939312045,-0.0002561352936063881,0.0006387817682110562,0.0022886503
