case,time,trigger_reason,count
baseline,0.017593,4,0
baseline,0.017593,5,0
baseline,0.018096,0,407
baseline,0.018096,1,0
baseline,0.018096,2,0
baseline,0.018096,3,0
baseline,0.018096,4,0
baseline,0.018096,5,0
ramp_current_adaptive,0.0,0,407
ramp_current_adaptive,0.0,1,0
ramp_current_adaptive,0.0,2,0
ramp_current_adaptive,0.0,3,0
ramp_current_adaptive,0.0,4,0
ramp_current_adaptive,0.0,5,0
ramp_current_adaptive,0.000503,0,407
ramp_current_adaptive,0.000503,1,0
ramp_current_adaptive,0.000503,2,0
ramp_current_adaptive,0.000503,3,0
ramp_current_adaptive,0.000503,4,0
ramp_current_adaptive,0.000503,5,0
ramp_current_adaptive,0.001005,0,279
ramp_current_adaptive,0.001005,1,0
ramp_current_adaptive,0.001005,2,0
ramp_current_adaptive,0.001005,3,0
ramp_current_adaptive,0.001005,4,0
ramp_current_adaptive,0.001005,5,128
ramp_current_adaptive,0.001508,0,333
ramp_current_adaptive,0.001508,1,0
ramp_current_adaptive,0.001508,2,0
ramp_current_adaptive,0.001508,3,0
ramp_current_adaptive,0.001508,4,0
ramp_current_adaptive,0.001508,5,74
ramp_current_adaptive,0.002011,0,374
ramp_current_adaptive,0.002011,1,0
ramp_current_adaptive,0.002011,2,0
ramp_current_adaptive,0.002011,3,0
ramp_current_adaptive,0.002011,4,0
ramp_current_adaptive,0.002011,5,33
ramp_current_adaptive,0.002513,0,391
ramp_current_adaptive,0.002513,1,0
ramp_current_adaptive,0.002513,2,0
ramp_current_adaptive,0.002513,3,0
ramp_current_adaptive,0.002513,4,0
ramp_current_adaptive,0.002513,5,16
ramp_current_adaptive,0.003016,0,395
ramp_current_adaptive,0.003016,1,0
ramp_current_adaptive,0.003016,2,0
ramp_current_adaptive,0.003016,3,0
ramp_current_adaptive,0.003016,4,0
ramp_current_adaptive,0.003016,5,12
ramp_current_adaptive,0.003519,0,407
ramp_current_adaptive,0.003519,1,0
ramp_current_adaptive,0.003519,2,0
ramp_current_adaptive,0.003519,3,0
ramp_current_adaptive,0.003519,4,0
ramp_current_adaptive,0.003519,5,0
ramp_current_adaptive,0.004022,0,391
ramp_current_adaptive,0.004022,1,0
ramp_current_adaptive,0.004022,2,0
ramp_current_adaptive,0.004022,3,0
ramp_current_adaptive,0.004022,4,0
ramp_current_adaptive,0.004022,5,16
ramp_current_adaptive,0.004524,0,407
ramp_current_adaptive,0.004524,1,0
ramp_current_adaptive,0.004524,2,0
ramp_current_adaptive,0.004524,3,0
ramp_current_adaptive,0.004524,4,0
ramp_current_adaptive,0.004524,5,0
ramp_current_adaptive,0.005027,0,399
ramp_current_adaptive,0.005027,1,0
ramp_current_adaptive,0.005027,2,0
ramp_current_adaptive,0.005027,3,0
ramp_current_adaptive,0.005027,4,0
ramp_current_adaptive,0.005027,5,8
ramp_current_adaptive,0.00553,0,407
ramp_current_adaptive,0.00553,1,0
ramp_current_adaptive,0.00553,2,0
ramp_current_adaptive,0.00553,3,0
ramp_current_adaptive,0.00553,4,0
ramp_current_adaptive,0.00553,5,0
ramp_current_adaptive,0.006032,0,407
ramp_current_adaptive,0.006032,1,0
ramp_current_adaptive,0.006032,2,0
ramp_current_adaptive,0.006032,3,0
ramp_current_adaptive,0.006032,4,0
ramp_current_adaptive,0.006032,5,0
ramp_current_adaptive,0.006535,0,402
ramp_current_adaptive,0.006535,1,0
ramp_current_adaptive,0.006535,2,0
ramp_current_adaptive,0.006535,3,0
ramp_current_adaptive,0.006535,4,0
ramp_current_adaptive,0.006535,5,5
ramp_current_adaptive,0.007038,0,407
ramp_current_adaptive,0.007038,1,0
ramp_current_adaptive,0.007038,2,0
ramp_current_adaptive,0.007038,3,0
ramp_current_adaptive,0.007038,4,0
ramp_current_adaptive,0.007038,5,0
ramp_current_adaptive,0.00754,0,399
ramp_current_adaptive,0.00754,1,0
ramp_current_adaptive,0.00754,2,0
ramp_current_adaptive,0.00754,3,0
ramp_current_adaptive,0.00754,4,0
ramp_current_adaptive,0.00754,5,8
ramp_current_adaptive,0.008043,0,399
ramp_current_adaptive,0.008043,1,0
ramp_current_adaptive,0.008043,2,0
ramp_current_adaptive,0.008043,3,0
ramp_current_adaptive,0.008043,4,0
ramp_current_adaptive,0.008043,5,8
ramp_current_adaptive,0.008546,0,391
ramp_current_adaptive,0.008546,1,0
ramp_current_adaptive,0.008546,2,0
ramp_current_adaptive,0.008546,3,0
