case,step,time,p0_eff,targets,net_fx,net_fy,net_fz,total_abs_force,max_accel,com_accel,symmetry_residual
sign,0.0,0.0,50.0,216.0,-2.76938e-09,4.00934e-09,9.96664e-09,0.637605,1.78997,2.44578e-08,1.73996e-08
sign,1.0,0.000502713,50.0,216.0,3.98392e-09,1.95382e-09,3.72771e-09,0.637602,1.78996,1.27761e-08,9.08912e-09
sign,2.0,0.000603255,50.0,216.0,-8.06563e-09,-7.32439e-09,-1.22588e-08,0.637601,1.78995,3.61565e-08,2.57223e-08
sign,3.0,0.000703798,50.0,216.0,-6.855e-09,-4.41028e-09,1.92057e-09,0.6376,1.78995,1.8462e-08,1.31342e-08
sign,4.0,0.00080434,50.0,216.0,4.19319e-09,3.2994e-09,5.60721e-09,0.637598,1.78994,1.70638e-08,1.21395e-08
ramp,1.0,0.000502713,33.5142,216.0,-7.29701e-09,-1.11284e-09,-5.45075e-09,0.427376,1.19979,2.02288e-08,2.14701e-08
ramp,2.0,0.000603255,40.217,216.0,3.09991e-09,9.44054e-09,-4.74472e-09,0.512851,1.43975,2.4275e-08,2.14705e-08
ramp,3.0,0.000703798,46.9198,216.0,3.52627e-09,7.03689e-09,9.59113e-09,0.598326,1.6797,2.7353e-08,2.07368e-08
ramp,4.0,0.00080434,50.0,216.0,-3.61428e-09,2.89259e-09,-6.05509e-09,0.637604,1.78997,1.68032e-08,1.19541e-08
