case,case_name,code,excluded,dtmin_adjustments,fixed_count,moving_count,fluid_count,true_reaction_available,reaction_type,final_total_count,final_specimen_count,final_top_platen_count,final_bottom_platen_count,final_measurement_core_small_count,final_platen_contamination_core_small,final_top_platen_displacement,final_top_platen_vz_mean,final_bottom_platen_displacement,final_bottom_platen_vmag_max,final_specimen_axial_strain_proxy,final_specimen_radial_strain_proxy,final_velocity_max,final_specimen_velocity_max,final_porepress_mean,final_porepress_std,final_porepressrate_maxabs,final_divvel_maxabs,final_kplastic_max,final_true_reaction_available,final_reaction_type,final_sigma_xx_mean,final_sigma_yy_mean,final_sigma_zz_mean,final_sigma_a_proxy,final_reaction_force_proxy,final_p_eff_proxy,final_q_proxy
platen_no_confinement,CaseT4r_PlatenAxial_NoConfinement,0,0,0,74,74,407,0,specimen_stress_proxy,555,407,74,74,15,0,-7.499999999979745e-06,-0.004596354899999993,0.0,0.0,-1.6076164355421918e-05,5.951181924275184e-06,0.0045963549,0.004274869300000001,4194.341168624555,4529.048518061994,30368034.0,0.045617662,0.0,0,specimen_stress_proxy,-13.4521283062973,-13.45212822631941,-56.91793413783294,56.91793413783294,0.16093166737043127,27.940730223483214,43.46580587152458
platen_lateral_confinement,CaseT4r_PlatenAxial_LateralConfinement,0,0,0,74,74,407,0,specimen_stress_proxy,555,407,74,74,15,0,-7.499999999979745e-06,-0.004596369300000009,0.0,0.0,-1.5789309509989247e-05,-1.9281970502288214e-06,0.0045963693,0.004178799700000004,12485.602316495526,6988.670388701518,40173304.0,0.060293276,0.0,0,specimen_stress_proxy,-38.00719574680587,-38.00719581019654,-71.28292724098776,71.28292724098776,0.2015477284919966,49.09910626599672,33.275731462486554
