case,xi,timemax,gencase_code,dual_code
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,0,0
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,0,0
