case,xi,timemax,gencase_code,dual_code,code,excluded,steps,nframes,early_peak_excess_max_0p01_0p05,mid_peak_excess_max_0p07_0p10,late_peak_excess_max_0p15_0p20,mid_to_early_peak_ratio,late_to_early_peak_ratio,final_vel_max,final_vel_mean,final_settlement_mean_z,final_PorePress_min,final_PorePress_max,final_PorePress_mean,final_hydro_min,final_hydro_max,final_hydro_mean,final_Excess_min,final_Excess_max,final_Excess_mean,final_bottom_Excess_mean,final_top_Excess_maxAbs,final_bottom_grad_proxy,max_vel_over_time,max_PorePressRate_over_time,max_DivVelContribution_over_time,max_HydraulicContribution_over_time,max_PorePressureAccelDiff_over_time,max_top_Excess_maxAbs_over_time,max_bottom_grad_abs_over_time
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,0,0,0,0,419494,21,20160.31616504,16396.06099681,14862.28180882,0.8132839218683686,0.737204798136682,0.0025397085000002408,0.0018275608353712656,-0.0004535182046999983,54.7106210985,23869.3484554,13565.055311874437,54.710664299999834,9761.310217314,4909.449013303602,0.0,14109.96797101,8655.606101505617,14108.037819469993,0.0,-0.006872538506286219,0.010299189000000002,206593940.0,29201684.000000004,177392275.32925585,12.59007500000008,0.0,0.12553793450570083
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,0,0,0,0,419494,21,18930.31296015,16062.3211818,14585.96466278,0.8484973922836152,0.7705083742400222,0.00249329420000004,0.0018009267059186272,-0.0004445869567000014,54.5851928384,23621.25140671,13403.310160198913,54.584900099999594,9761.306448312,4909.361397760738,0.0,13861.88496728,8493.948562935168,13859.944540680004,0.0,-0.007320263994188281,0.007752642000000001,176090450.0,19329954.000000004,156760514.9663609,11.540732000000077,0.0,0.09186393099298584
