reference,comparison,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_vs_fd,36,554.2167508756729,532.1019903262372,718.888542019904,0.07645257380188998
eq4,fd_vs_series,36,4.197995974982692,3.991478776445812,9.766392555124185,0.0005794128075257456
measured_t0p010,gpu_vs_fd,36,1286.4331587345207,1162.0315749005727,2182.9076641442025,0.16067571407880632
measured_t0p010,fd_vs_series,36,4.304019729245477,4.198271851688888,7.753283772752184,0.0005378345626791709
