reference,line,window_start,window_end,best_cv_scale,best_cv,bottom_layer_mean_reference,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_mode0_xi005_g9b,0.002,0.5,1.1975,0.3286481612169685,False,5,147.37404270659874,119.52403964875558,267.7653509190968,0.010973253094201075
eq4,gpu_mode0_xi005_g9b,0.01,1.0,1.155,0.31698423900258754,False,10,151.41474624337874,119.36415087527348,342.1633263997228,0.013239505998628063
eq4,gpu_mode0_xi005_g9b,0.002,3.6,1.1175,0.30669254293107495,False,36,135.5632884639418,107.75024003611055,408.9536277729512,0.019844599751145046
eq4,gpu_mode1_xi005_b5,0.002,0.5,1.1975,0.3286481612169685,False,5,147.43975860643272,119.58931740875559,267.789656419096,0.010978146202837763
eq4,gpu_mode1_xi005_b5,0.01,1.0,1.155,0.31698423900258754,False,10,151.4666356492742,119.39661612827331,342.18763189972196,0.013244043139941326
eq4,gpu_mode1_xi005_b5,0.002,3.6,1.1175,0.30669254293107495,False,36,135.40436056729425,107.55720919222169,408.9779332729504,0.019821334894309556
measured_t0p002,gpu_mode0_xi005_g9b,0.002,0.5,0.75,0.20583392143025164,False,5,4308.141534037621,4268.799075888631,5083.2621859317915,0.4750429089134762
measured_t0p002,gpu_mode0_xi005_g9b,0.01,1.0,0.75,0.20583392143025164,False,10,3505.938124762745,3340.714986259183,5083.2621859317915,0.4453051211512633
measured_t0p002,gpu_mode0_xi005_g9b,0.002,3.6,0.75,0.20583392143025164,False,36,1913.5664703798952,1243.453523284373,5083.2621859317915,0.3825223592086249
measured_t0p002,gpu_mode1_xi005_b5,0.002,0.5,0.75,0.20583392143025164,False,5,4308.065378486441,4268.73032592863,5083.237880431792,0.47503451152117226
measured_t0p002,gpu_mode1_xi005_b5,0.01,1.0,0.75,0.20583392143025164,False,10,3505.8909384097246,3340.678701552183,5083.237880431792,0.4452991277983003
measured_t0p002,gpu_mode1_xi005_b5,0.002,3.6,0.75,0.20583392143025164,False,36,1913.619643641462,1243.73187675604,5083.237880431792,0.3825329885553323
measured_t0p002_bottom_layer_mean,gpu_mode0_xi005_g9b,0.002,0.5,0.75,0.20583392143025164,True,5,4310.4999040963385,4271.0508234891695,5087.372241145455,0.4754265320261821
measured_t0p002_bottom_layer_mean,gpu_mode0_xi005_g9b,0.01,1.0,0.75,0.20583392143025164,True,10,3507.7212520468506,3342.315976239329,5087.372241145455,0.44563064728759316
measured_t0p002_bottom_layer_mean,gpu_mode0_xi005_g9b,0.002,3.6,0.75,0.20583392143025164,True,36,1914.5335517891056,1243.9755936774768,5087.372241145455,0.38279063005269925
measured_t0p002_bottom_layer_mean,gpu_mode1_xi005_b5,0.002,0.5,0.75,0.20583392143025164,True,5,4310.423746435245,4270.98207352917,5087.347935645455,0.4754181322179218
measured_t0p002_bottom_layer_mean,gpu_mode1_xi005_b5,0.01,1.0,0.75,0.20583392143025164,True,10,3507.6740625173247,3342.2796915323293,5087.347935645455,0.44562465219873726
measured_t0p002_bottom_layer_mean,gpu_mode1_xi005_b5,0.002,3.6,0.75,0.20583392143025164,True,36,1914.5866898791924,1244.2539471491436,5087.347935645455,0.38280125444889496
measured_t0p010,gpu_mode0_xi005_g9b,0.002,0.5,1.45,0.39794558143181985,False,5,845.6254832102857,684.7264594064724,1445.0760904670005,0.05987180023774763
measured_t0p010,gpu_mode0_xi005_g9b,0.01,1.0,1.4175,0.3890261115031756,False,10,716.552128701859,586.4470642048337,1494.3579252077743,0.061130065154564726
measured_t0p010,gpu_mode0_xi005_g9b,0.002,3.6,1.25,0.3430565357170861,False,36,577.5999492696146,442.4698142252078,1756.1218915707268,0.08117068948758119
measured_t0p010,gpu_mode1_xi005_b5,0.002,0.5,1.45,0.39794558143181985,False,5,845.713464426913,684.795209366472,1445.1003959669997,0.05987802946561644
measured_t0p010,gpu_mode1_xi005_b5,0.01,1.0,1.4175,0.3890261115031756,False,10,716.6041505486656,586.4795294578336,1494.3822307077735,0.06113450321113782
measured_t0p010,gpu_mode1_xi005_b5,0.002,3.6,1.25,0.3430565357170861,False,36,577.5135152499699,442.3573919846524,1756.146197070726,0.08115854282971079
