frame,time,rmse,mean_abs_error,max_abs_error,relative_rmse,bottom_actual_excess,bottom_eq4_excess,bottom_actual_over_eq4,shape_correlation
0,0.0,11757.26921568001,10156.478451808729,20312.956906859323,1.0,0.0,20312.956906859323,0.0,nan
1,0.001,10845.273823403359,9502.521710930649,17625.24316775632,0.922425082402413,2687.7137352625004,20312.956906859323,0.13231523837649198,0.8838910499823532
2,0.002,4867.510958167761,4364.44186494734,6711.1721950693245,0.4139905757119617,13601.784707424998,20312.956906859323,0.6696112619050513,0.9728845648737314
3,0.003,5000.7682958522255,4342.5395074026965,7932.102498620774,0.4253171409519874,27526.45138592,20312.956906859323,1.3551178940681359,0.9995997795911917
5,0.005,8057.628152769716,7326.217390513957,11009.93853429176,0.6852951067133629,30174.156248179996,20312.956906859323,1.4854635091551207,0.9944839265135728
10,0.01,1220.8403861975291,1104.0451359777878,1700.4394832858052,0.10383034146345187,20446.888885414995,20312.956906859323,1.0065934260171865,0.9982327964753662
20,0.02,463.9305464490258,400.21705153010413,1487.3978801193225,0.03945503606425463,18825.55902647,20312.956906859323,0.9267759052899357,0.9978671450164163
50,0.05,885.6776022894439,463.02765597597033,3299.936074299323,0.07531565682551783,17013.020832385,20312.956906859323,0.837545262878001,0.9952781155396577
