frame,time,n,zmin,zmax,H,velocity_max,velocity_mean,PorePress_min,PorePress_max,PorePress_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_ref_Excess_mean,bottom_grad_proxy,PorePressRate_maxAbs
20,0.02,1000,0.0049999999,0.995,0.9900000001,0.0022414532,0.0018555427858800177,49.95558683059,28586.63329139,15317.818671862591,-9.202928453078e-06,18831.89226677,10412.09278377114,18831.89226677,18825.55902647,18825.55902674,9.202928453078e-06,18825.536047777503,0.022978692497417796,133556860.0
21,0.021,1000,0.0049999999,0.995,0.9900000001,0.0021764869000000017,0.0017842944285700105,49.96980332556,27404.44614864,14591.379505888806,-8.043411412473e-06,17649.18450556,9685.636214231014,17649.18450556,17643.369790460005,17643.36979069,8.043411412473e-06,17643.3529924365,0.016798023505543824,112856240.0
22,0.022,1000,0.0049999999,0.995,0.9900000001,0.0024291754000000027,0.002146918841080014,49.98732788065,26715.95346196,14176.498988115038,-1.063504355159e-05,16960.43894555,9270.736637561606,16960.43894555,16954.874998720003,16954.87499896,1.063504355159e-05,16954.882084533503,-0.007085813500452787,111866440.0
23,0.023,1000,0.0049999999,0.995,0.9900000001,0.0031464389000000117,0.00259976390419,50.01421278572,26781.43839305,14241.913782399408,-1.471613127535e-05,17025.95043443,9336.128090687189,17025.95043443,17020.357637474997,17020.35763775,1.471613127535e-05,17020.382035355997,-0.02439788099945872,122258090.0
24,0.024,1000,0.0049999999,0.995,0.9900000001,0.0035894448000000087,0.002835122879720013,50.04765018569,27345.69780673,14618.235283447983,-1.678810194505e-05,17591.09359425,9712.422670913318,17591.09359425,17584.614581839996,17584.61458214,1.678810194505e-05,17584.707706364,-0.09312452400263282,138961100.0
25,0.025,1000,0.0049999999,0.995,0.9900000001,0.003522178600000005,0.002756001006180017,50.08295846168,27913.43641778,14990.173698986197,-1.64734929271e-05,18158.09416261,10084.333422658552,18158.09416261,18152.350692969998,18152.35069327,1.64734929271e-05,18152.387840712498,-0.03714774249965558,137551390.0
26,0.026000000000000002,1000,0.0049999999,0.995,0.9900000001,0.003059494800000001,0.002485335447140014,50.1154488282,28104.72004397,15126.605325002058,-1.430948541525e-05,18349.28380305,10220.739261752293,18349.28380305,18343.63194308,18343.63194336,1.430948541525e-05,18343.6505678605,-0.018624780499521876,138261470.0
27,0.027,1000,0.0049999999,0.995,0.9900000001,0.002600862600000006,0.002231333572140014,50.14284711265,27883.28125603,15002.575415367432,-1.213282004642e-05,18127.6288554,10096.68632302529,18127.6288554,18122.190970970005,18122.19097122,1.213282004642e-05,18122.197981325,-0.0070103549951454625,132110740.0
28,0.028,1000,0.0049999999,0.995,0.9900000001,0.0024491276000000012,0.0021367006764200164,50.16626815688,27470.48815719,14758.358916271518,-1.126249395611e-05,17714.59602596,9852.448548002185,17714.59602596,17709.395832149992,17709.39583238,1.126249395611e-05,17709.399759672,-0.003927522007870721,124062760.0
29,0.029,1000,0.0049999999,0.995,0.9900000001,0.0025561466000000015,0.0022101754865400153,50.18930946995,27145.82174755,14569.499684069713,-1.166990000456e-05,17389.76917189,9663.568097033807,17389.76917189,17384.727429375,17384.7274296,1.166990000456e-05,17384.7366638135,-0.00923443849751493,121519140.0
30,0.03,1000,0.0049999999,0.995,0.9900000001,0.002782435600000001,0.0023560476403300173,50.2151018806,27059.90363265,14532.27425781615,-1.301365954021e-05,17303.83638635,9626.320297857235,17303.83638635,17298.807290455,17298.80729069,1.301365954021e-05,17298.823391859998,-0.016101404999062652,124855930.0
31,0.031,1000,0.0049999999,0.995,0.9900000001,0.0029754457000000013,0.002460491122920031,50.24346770212,27182.52897218,14626.173122466265,-1.391638288339e-05,17426.42822193,9720.195461216596,17426.42822193,17421.43055432,17421.43055456,1.391638288339e-05,17421.446975792504,-0.016421472504589474,129136100.0
32,0.032,1000,0.0049999999,0.995,0.9900000001,0.003008822900000003,0.0024638341131800207,50.27296874213,27364.05883893,14755.347721578122,-1.407248989693e-05,17608.63443325,9849.345814450571,17608.63443325,17602.958332100003,17602.95833234,1.407248989693e-05,17603.027028926,-0.06869682599790394,138969710.0
33,0.033,1000,0.0049999999,0.995,0.9900000001,0.002887943800000001,0.0023843012796500194,50.30199831511,27460.2935265,14828.12515467332,-1.35071296512e-05,17704.08696234,9922.099417021396,17704.08696234,17699.190971024997,17699.19097126,1.35071296512e-05,17699.2100609485,-0.019089923502178863,130175690.0
34,0.034,1000,0.0049999999,0.995,0.9900000001,0.0027116609000000028,0.00228652836940002,50.32942634404,27409.11494392,14809.89956145024,-1.268263844167e-05,17652.81040397,9903.850942794295,17652.81040397,17648.010415519995,17648.01041574,1.268263844167e-05,17648.02371118,-0.013295660006406251,128863690.0
35,0.035,1000,0.0049999999,0.995,0.9900000001,0.002624527100000001,0.0022291518468700185,50.35529542039,27264.11511228,14732.261455178073,-1.223189593702e-05,17507.69279041,9826.19072940988,17507.69279041,17503.008679450002,17503.00867966,1.223189593702e-05,17503.018002631,-0.009323180998762837,126183260.0
36,0.036000000000000004,1000,0.0049999999,0.995,0.9900000001,0.0026264058000000008,0.00223108974926002,50.38051500774,27118.18294779,14653.906013791831,-1.220635476784e-05,17361.66422717,9747.813449194206,17361.66422717,17357.074651685005,17357.07465189,1.220635476784e-05,17357.087107649997,-0.012455964992113877,124593650.0
37,0.037,1000,0.0049999999,0.995,0.9900000001,0.0026882945000000205,0.0022702204414100304,50.40635909521,27040.55459255,14618.555742430217,-1.256240187786e-05,17283.97412418,9712.44110805877,17283.97412418,17279.444443355,17279.44444356,1.256240187786e-05,17279.457398275004,-0.012954920002812287,125132850.0
38,0.038,1000,0.0049999999,0.995,0.9900000001,0.002761421500000003,0.002307841899900036,50.43309574392,27040.80297326,14632.600654363814,-1.291537437709e-05,17284.22749395,9726.463564517377,17284.22749395,17279.690971130003,17279.69097134,1.291537437709e-05,17279.705051961497,-0.014080831493629375,127205540.0
39,0.039,1000,0.0049999999,0.995,0.9900000001,0.0027879314000000014,0.0023163781953300234,50.46036731625,27080.13121631,14670.500046444744,-1.30393618889e-05,17323.49961415,9764.340240213553,17323.49961415,17319.017360025,17319.01736023,1.30393618889e-05,17319.026104393,-0.00874436800222611,129447150.0
40,0.04,1000,0.0049999999,0.995,0.9900000001,0.0027602124,0.0022932768376400384,50.48762815061,27104.86048258,14698.627209341545,-1.29097196222e-05,17348.80591909,9792.444766392045,17348.80591909,17343.744790595,17343.7447908,1.29097196222e-05,17343.8013834955,-0.05659290050243726,136726210.0
41,0.041,1000,0.0049999999,0.995,0.9900000001,0.0026999810000000006,0.0022562635251600406,50.51442693732,27088.66436823,14698.947294744277,-1.262801318092e-05,17331.88901792,9792.74252881208,17331.88901792,17327.546873949996,17327.54687415,1.262801318092e-05,17327.561201649,-0.014327699005661998,126556270.0
42,0.042,1000,0.0049999999,0.995,0.9900000001,0.002655522000000007,0.0022270212282400384,50.54061190151,27029.21995194,14673.787390958178,-1.241411263209e-05,17272.37860032,9767.560663009477,17272.37860032,17268.100693415,17268.10069361,1.241411263209e-05,17268.1140444595,-0.013351044501177967,125865110.0
43,0.043000000000000003,1000,0.0049999999,0.995,0.9900000001,0.002642979600000008,0.0022167776697200204,50.56643992461,26959.29113356,14641.74081631634,-1.234202102296e-05,17202.38888689,9735.492302218247,17202.38888689,17198.17013788,17198.17013807,1.234202102296e-05,17198.184736066,-0.014598186000512214,125167190.0
44,0.044,1000,0.0049999999,0.995,0.9900000001,0.0026550407000000002,0.002222390258520025,50.59231300391,26905.92132549,14619.946383135844,-1.23987962084e-05,17148.96411295,9713.676098076527,17148.96411295,17144.798610104997,17144.79861029,1.23987962084e-05,17144.811319767,-0.012709662001725519,125186980.0
45,0.045,1000,0.0049999999,0.995,0.9900000001,0.0026773873,0.0022320340653000353,50.61844173619,26878.94386738,14614.870014165846,-1.252233827387e-05,17121.96440689,9708.577893424783,17121.96440689,17117.819443445,17117.81944363,1.252233827387e-05,17117.833152155,-0.013708709997445112,126089040.0
46,0.046,1000,0.0049999999,0.995,0.9900000001,0.002689000200000008,0.002234593965130047,50.64478445608,26870.88653872,14621.369408722472,-1.257665421406e-05,17113.89500265,9715.055364929261,17113.89500265,17109.760415675002,17109.76041586,1.257665421406e-05,17109.770328853498,-0.009913178495480679,127133180.0
47,0.047,1000,0.0049999999,0.995,0.9900000001,0.002682952900000002,0.0022262522133100282,50.67115566999,26864.11218286,14628.269494951794,-1.254837062703e-05,17107.06642072,9721.933556880036,17107.06642072,17102.984374015003,17102.9843742,1.254837062703e-05,17102.9912439015,-0.006869886496133404,128583260.0
48,0.048,1000,0.0049999999,0.995,0.9900000001,0.0026629022,0.002210940826680036,50.69739091182,26845.11905763,14627.324219682154,-1.245459445443e-05,17088.59295968,9720.966508844913,17088.59295968,17083.989582359998,17083.98958254,1.245459445443e-05,17084.040104206502,-0.05052184650412528,135170210.0
49,0.049,1000,0.0049999999,0.995,0.9900000001,0.002642085100000009,0.002195949696470036,50.72338232588,26814.74049282,14617.63638591867,-1.235723070181e-05,17057.56407778,9711.257077366177,17057.56407778,17053.609374044998,17053.60937422,1.235723070181e-05,17053.622864031997,-0.013489986999047687,125151280.0
50,0.05,1000,0.0049999999,0.995,0.9900000001,0.0026315479000000083,0.002186475969420024,50.7492116609,26774.15357633,14602.777183025688,-1.230555372445e-05,17016.93303407,9696.37637868414,17016.93303407,17013.020832385002,17013.02083256,1.230555372445e-05,17013.0339233305,-0.013090945496514905,124909300.0
