reference,time,y,z,z_norm,excess
eq4_nominal_cv,0.1,0.0,0.0049999999,0.0,16516.019532175913
eq4_nominal_cv,0.1,0.009900000001,0.014899999901,0.01,16512.560958333816
eq4_nominal_cv,0.1,0.019800000002,0.024799999902,0.02,16502.19153371011
eq4_nominal_cv,0.1,0.029700000003,0.034699999903,0.03,16484.93011463976
eq4_nominal_cv,0.1,0.039600000004,0.044599999904,0.04,16460.80801408433
eq4_nominal_cv,0.1,0.049500000004999996,0.054499999905,0.049999999999999996,16429.868831326792
eq4_nominal_cv,0.1,0.059400000006,0.064399999906,0.06,16392.168215709717
eq4_nominal_cv,0.1,0.069300000007,0.074299999907,0.06999999999999999,16347.773566549378
eq4_nominal_cv,0.1,0.079200000008,0.08419999990799999,0.08,16296.763671920957
eq4_nominal_cv,0.1,0.089100000009,0.09409999990899999,0.09,16239.22828953891
eq4_nominal_cv,0.1,0.09900000000999999,0.10399999990999999,0.09999999999999999,16175.267673445187
eq4_nominal_cv,0.1,0.10890000001099999,0.11389999991099999,0.10999999999999999,16104.992050660592
eq4_nominal_cv,0.1,0.118800000012,0.123799999912,0.12,16028.521052346161
eq4_nominal_cv,0.1,0.128700000013,0.133699999913,0.13,15945.983104357736
eq4_nominal_cv,0.1,0.138600000014,0.143599999914,0.13999999999999999,15857.514782354832
eq4_nominal_cv,0.1,0.148500000015,0.153499999915,0.15,15763.260136841538
eq4_nominal_cv,0.1,0.158400000016,0.163399999916,0.16,15663.369993671527
eq4_nominal_cv,0.1,0.168300000017,0.17329999991699999,0.16999999999999998,15558.001235640279
eq4_nominal_cv,0.1,0.178200000018,0.18319999991799998,0.18,15447.31607081603
eq4_nominal_cv,0.1,0.18810000001899999,0.19309999991899998,0.18999999999999997,15331.481293227582
eq4_nominal_cv,0.1,0.19800000001999998,0.20299999991999998,0.19999999999999998,15210.667541434437
eq4_nominal_cv,0.1,0.20790000002099998,0.21289999992099998,0.21,15085.048560355308
eq4_nominal_cv,0.1,0.21780000002199998,0.22279999992199997,0.21999999999999997,14954.800471528604
eq4_nominal_cv,0.1,0.22770000002299998,0.23269999992299997,0.22999999999999998,14820.101056727313
eq4_nominal_cv,0.1,0.237600000024,0.242599999924,0.24,14681.129059555471
eq4_nominal_cv,0.1,0.247500000025,0.252499999925,0.25,14538.063509319547
eq4_nominal_cv,0.1,0.257400000026,0.262399999926,0.26,14391.083071100857
eq4_nominal_cv,0.1,0.267300000027,0.272299999927,0.27,14240.365425561085
eq4_nominal_cv,0.1,0.277200000028,0.282199999928,0.27999999999999997,14086.086681597306
eq4_nominal_cv,0.1,0.287100000029,0.292099999929,0.29,13928.420824532324
eq4_nominal_cv,0.1,0.29700000003,0.30199999993,0.3,13767.53920208657
eq4_nominal_cv,0.1,0.306900000031,0.311899999931,0.31,13603.610049934663
eq4_nominal_cv,0.1,0.316800000032,0.321799999932,0.32,13436.798058209386
eq4_nominal_cv,0.1,0.326700000033,0.331699999933,0.32999999999999996,13267.263979883099
eq4_nominal_cv,0.1,0.336600000034,0.341599999934,0.33999999999999997,13095.164281536585
eq4_nominal_cv,0.1,0.346500000035,0.351499999935,0.35,12920.650836622675
eq4_nominal_cv,0.1,0.356400000036,0.36139999993599997,0.36,12743.870660950526
eq4_nominal_cv,0.1,0.366300000037,0.37129999993699997,0.37,12564.965689759916
eq4_nominal_cv,0.1,0.37620000003799997,0.38119999993799997,0.37999999999999995,12384.072595425965
eq4_nominal_cv,0.1,0.38610000003899997,0.39109999993899996,0.38999999999999996,12201.32264453611
eq4_nominal_cv,0.1,0.39600000003999997,0.40099999993999996,0.39999999999999997,12016.841592814413
eq4_nominal_cv,0.1,0.40590000004099996,0.41089999994099996,0.41,11830.749616134748
eq4_nominal_cv,0.1,0.41580000004199996,0.42079999994199996,0.42,11643.161275665052
eq4_nominal_cv,0.1,0.42570000004299996,0.43069999994299996,0.42999999999999994,11454.185515019191
eq4_nominal_cv,0.1,0.43560000004399996,0.44059999994399995,0.43999999999999995,11263.925687161587
eq4_nominal_cv,0.1,0.44550000004499996,0.45049999994499995,0.44999999999999996,11072.479608711157
eq4_nominal_cv,0.1,0.45540000004599995,0.46039999994599995,0.45999999999999996,10879.939639224445
eq4_nominal_cv,0.1,0.46530000004699995,0.47029999994699995,0.47,10686.392783001655
eq4_nominal_cv,0.1,0.475200000048,0.480199999948,0.48,10491.920810951427
eq4_nominal_cv,0.1,0.485100000049,0.490099999949,0.49,10296.600400068965
eq4_nominal_cv,0.1,0.49500000005,0.49999999995,0.5,10100.503288124819
eq4_nominal_cv,0.1,0.504900000051,0.509899999951,0.51,9903.696441226157
eq4_nominal_cv,0.1,0.514800000052,0.519799999952,0.52,9706.24223199585
eq4_nominal_cv,0.1,0.524700000053,0.529699999953,0.53,9508.198626214664
eq4_nominal_cv,0.1,0.534600000054,0.539599999954,0.54,9309.619375885886
eq4_nominal_cv,0.1,0.544500000055,0.549499999955,0.5499999999999999,9110.554216806666
eq4_nominal_cv,0.1,0.554400000056,0.559399999956,0.5599999999999999,8911.049068864406
eq4_nominal_cv,0.1,0.564300000057,0.569299999957,0.57,8711.146237416699
eq4_nominal_cv,0.1,0.574200000058,0.579199999958,0.58,8510.884614257608
eq4_nominal_cv,0.1,0.584100000059,0.589099999959,0.59,8310.299876819256
eq4_nominal_cv,0.1,0.59400000006,0.59899999996,0.6,8109.424684404013
eq4_nominal_cv,0.1,0.603900000061,0.608899999961,0.61,7908.288870386747
eq4_nominal_cv,0.1,0.613800000062,0.618799999962,0.62,7706.91962946788
eq4_nominal_cv,0.1,0.623700000063,0.628699999963,0.63,7505.341699194042
eq4_nominal_cv,0.1,0.633600000064,0.638599999964,0.64,7303.577535093799
eq4_nominal_cv,0.1,0.643500000065,0.648499999965,0.6499999999999999,7101.647478899292
eq4_nominal_cv,0.1,0.653400000066,0.658399999966,0.6599999999999999,6899.56991944069
eq4_nominal_cv,0.1,0.663300000067,0.668299999967,0.6699999999999999,6697.361445908102
eq4_nominal_cv,0.1,0.673200000068,0.678199999968,0.6799999999999999,6495.036993274767
eq4_nominal_cv,0.1,0.683100000069,0.688099999969,0.69,6292.609979765597
eq4_nominal_cv,0.1,0.69300000007,0.69799999997,0.7,6090.092436336633
eq4_nominal_cv,0.1,0.702900000071,0.707899999971,0.71,5887.495128203386
eq4_nominal_cv,0.1,0.712800000072,0.717799999972,0.72,5684.827668519773
eq4_nominal_cv,0.1,0.722700000073,0.727699999973,0.73,5482.098624364741
eq4_nominal_cv,0.1,0.732600000074,0.7375999999739999,0.74,5279.315615240616
eq4_nominal_cv,0.1,0.7425000000749999,0.7474999999749999,0.7499999999999999,5076.485404326892
eq4_nominal_cv,0.1,0.7524000000759999,0.7573999999759999,0.7599999999999999,4873.613982765101
eq4_nominal_cv,0.1,0.7623000000769999,0.7672999999769999,0.7699999999999999,4670.706647276103
eq4_nominal_cv,0.1,0.7722000000779999,0.7771999999779999,0.7799999999999999,4467.7680714302405
eq4_nominal_cv,0.1,0.7821000000789999,0.7870999999789999,0.7899999999999999,4264.802370904684
eq4_nominal_cv,0.1,0.7920000000799999,0.7969999999799999,0.7999999999999999,4061.813163070674
eq4_nominal_cv,0.1,0.8019000000809999,0.8068999999809999,0.8099999999999999,3858.8036212578745
eq4_nominal_cv,0.1,0.8118000000819999,0.8167999999819999,0.82,3655.7765240429994
