frame,time,y,z,z_norm,actual_excess,eq4_excess,error
0,0.0,0.0,0.004999999899999999,0.0,0.0,20312.956906859323,-20312.956906859323
0,0.0,0.010000000100000002,0.015000000000000003,0.0101010102009999,0.0,20107.775521930664,-20107.775521930664
0,0.0,0.020000000100000002,0.024999999999999998,0.020202020300989696,0.0,19902.59413905382,-19902.59413905382
0,0.0,0.0300000001,0.03500000000000001,0.03030303040097949,0.0,19697.41275617698,-19697.41275617698
0,0.0,0.040000002099999994,0.04500000199999999,0.0404040425211713,0.0,19492.23133226386,-19492.23133226386
0,0.0,0.0500000001,0.05500000000000001,0.050505050600959084,0.0,19287.04999042329,-19287.04999042329
0,0.0,0.05999999810000001,0.064999998,0.06060605868074687,0.0,19081.868648582724,-19081.868648582724
0,0.0,0.0700000031,0.075000003,0.07070707383124171,0.0,18876.68716311519,-18876.68716311519
0,0.0,0.08000000110000002,0.08500000100000002,0.0808080819110295,0.0,18671.505821274623,-18671.505821274623
0,0.0,0.0899999991,0.094999999,0.09090908999081727,0.0,18466.324479434057,-18466.324479434057
0,0.0,0.10000000010000001,0.10500000000000001,0.10101010110090808,0.0,18261.143076039076,-18261.143076039076
0,0.0,0.11000000010000002,0.11500000000000002,0.1111111112008979,0.0,18055.96169316223,-18055.96169316223
0,0.0,0.12000000010000003,0.125,0.1212121213008877,0.0,17850.780310285387,-17850.780310285387
0,0.0,0.13000001010000004,0.13500000999999998,0.1313131415018876,0.0,17645.598722227158,-17645.598722227158
0,0.0,0.14000000009999997,0.145,0.14141414150086723,0.0,17440.4175445317,-17440.4175445317
0,0.0,0.15000000009999997,0.155,0.15151515160085702,0.0,17235.23616165486,-17235.23616165486
0,0.0,0.16000001010000003,0.16500001,0.161616171801857,0.0,17030.05457359663,-17030.05457359663
0,0.0,0.17000000009999996,0.17500000000000002,0.17171717180083662,0.0,16824.87339590117,-16824.87339590117
0,0.0,0.18000000009999997,0.18500000000000003,0.1818181819008264,0.0,16619.692013024327,-16619.692013024327
0,0.0,0.18999999010000002,0.19499998999999998,0.19191918189980617,0.0,16414.510835328863,-16414.510835328863
