DivVel_maxAbs,PorePressRate_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,bottom_reference_excess_mean,run,time_s,top_drained_excess_maxAbs,velocity_max
0.0,0.0,0.0,0.0,0.0,cpu,0.0,0.0,0.0
0.63304204,79025912.0,195.24227398360006,-0.05629798673993491,195.29857197034,cpu,0.001,30448.28866294,0.03693848100000154
1.0441334,126379850.0,18867.743321269998,-1.7506759890056856,18869.493997259004,cpu,0.002,113000.5748206,0.11270309000000032
1.1919254,161351440.0,109177.70227409997,-4.75293621502351,109182.45521031499,cpu,0.003,223466.3082127,0.20035683000000007
1.2661597,227109940.0,269555.5320140001,-6.86251989484299,269562.39453389496,cpu,0.004,377532.5546158,0.29083434000000047
1.3148334,292681220.0,482080.9112694001,-8.805127499974333,482089.71639690007,cpu,0.005,0.0,0.3784068800000002
1.5656688,6371613200.0,624371.5823598,8.673062979942188,624362.90929682,cpu,0.006,0.0,0.2373180200000005
4.3921261,2208539400.0,98123.75882676004,18.649981221024063,98105.10884553901,cpu,0.007,0.0,0.47315326000000024
3.2087798,5949402600.0,-236154.88869480006,7.351882719958667,-236162.24057752002,cpu,0.008,0.0,0.4122195200000007
1.3536017,5255414300.0,-341099.8189639999,-0.3392268249299377,-341099.479737175,cpu,0.009000000000000001,0.0,0.07860413900001416
1.8017653,937202880.0,-212822.95481029997,-7.612541654962115,-212815.342268645,cpu,0.01,0.0,0.21851891000000018
1.6146593,2648823600.0,17590.55948962,-7.907494580504135,17598.466984200502,cpu,0.011,0.0,0.2847265000000013
1.1583986,4155778600.0,178552.26095570007,-3.6763617549440823,178555.937317455,cpu,0.012,0.0,0.1919644300000004
0.55067718,3491359700.0,198555.40044739994,1.6685492399265058,198553.73189816,cpu,0.013000000000000001,0.0,0.022928936000002186
0.95663965,1018871800.0,100713.54842879997,4.738421049958561,100708.81000775001,cpu,0.014,0.0,0.12095210000000002
1.4010779,1238339100.0,-27017.017391399997,4.2610355079996225,-27021.278426907997,cpu,0.015,0.0,0.15350142000000008
0.53795063,1518147200.0,-100783.03885610003,1.7502418749791104,-100784.78909797501,cpu,0.016,0.0,0.062935203
0.37349436,566849730.0,-89634.63068869004,-1.7130321005388396,-89632.9176565895,cpu,0.017,0.0,0.04161012900000085
0.44904599,586204160.0,-19845.974501300003,-2.932743871002458,-19843.041757429,cpu,0.018000000000000002,0.0,0.09539567700000005
0.53431684,1588461200.0,50742.35462797002,-2.002567237475887,50744.35719520749,cpu,0.019,0.0,0.09017969700000024
0.30287471,1717169800.0,78139.49382872999,-0.0700819240155397,78139.563910654,cpu,0.02,0.0,0.03754387100000044
0.0,17.464165,0.0,0.0,0.0,gpu,0.0,0.0,0.0
0.63334394,77663144.0,195.26170518480006,-0.05630386116493469,195.318009045965,gpu,0.001,30448.28895189,0.03693848100000153
1.0442414,124101740.0,18868.427082435,-1.749443902001076,18870.176526337,gpu,0.002,113000.607187,0.11270309000000005
1.1919737,158470030.0,109177.36804745,-4.754528909979854,109182.12257635998,gpu,0.003,223467.0356499,0.20035677
1.2661946,221962110.0,269555.36109009996,-6.849274705047719,269562.210364805,gpu,0.004,377532.836062,0.2908342500000002
1.3148642,246949350000.0,482081.33330255,-8.805628789938055,482090.13893133996,gpu,0.005,0.001769837036271,0.37840685000000024
1.5659711,6354889700.0,624371.7221889502,8.653612155234441,624363.0685767949,gpu,0.006,0.0008390184337657,0.2373178900000001
4.3922338,2213269800.0,98123.95142018497,18.649675650463905,98105.3017445345,gpu,0.007,0.002212973195988,0.4731532900000003
3.2080989,6057456100.0,-236154.9721023001,7.333565124950837,-236162.30566742504,gpu,0.008,0.001927983512623,0.4122199700000055
1.3532512,5254292000.0,-341100.1666081499,-0.3550541999284178,-341099.81155394996,gpu,0.009000000000000001,0.0003676381454056,0.07860429600000492
1.8019885,937819580.0,-212823.13893190003,-7.606124765065033,-212815.53280713496,gpu,0.01,0.001022030276843,0.21851914000000094
1.6144724,2652930000.0,17590.58152693,-7.9073296150017995,17598.488856545002,gpu,0.011,0.001331688447294,0.28472680000000067
1.1581181,4156818200.0,178552.388848,-3.685120714973891,178556.07396871498,gpu,0.012,0.0008978326498124,0.19196458000000083
0.55058581,3486371800.0,198555.63889129998,1.669388899957994,198553.96950240002,gpu,0.013000000000000001,0.0001072402308964,0.022928912000003923
0.95722848,1007819800.0,100713.70836485001,4.743068865005625,100708.965295985,gpu,0.014,0.0005657024318566,0.12095220000000159
1.4008454,1260656900.0,-27017.032957545005,4.261553209496924,-27021.294510754502,gpu,0.015,0.0007179381385001,0.15350154000000002
0.53791046,1549313400.0,-100783.19443609999,1.74698679499852,-100784.94142289499,gpu,0.016,0.0002943533672237,0.06293536000000072
0.37351161,566472510.0,-89634.79167436497,-1.7145341289724456,-89633.077140236,gpu,0.017,0.0001946136572855,0.04161012500000285
0.44912091,587371260.0,-19846.045154069994,-2.934587580493826,-19843.1105664895,gpu,0.018000000000000002,0.0004461734873544,0.09539584800000078
0.53429574,1589153500.0,50742.388875574994,-2.0055552880075993,50744.394430863,gpu,0.019,0.0004217779599145,0.0901798680000001
0.30274236,1716127000.0,78139.58332808001,-0.07111537498713005,78139.654443455,gpu,0.02,0.0001755958276277,0.037543945000000196
