analytical_excess_fit,analytical_excess_q0,analytical_total_fit,analytical_total_q0,depth_from_top_m,eta_depth,run,sim_excess,sim_porepress,time_s,z_m
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482080.9484959818,9987.268426704108,491794.0682723628,19700.38820308511,0.9901243401,0.9999859859969273,cpu,0.0,9760.950417519,0.0,0.0049999999
482750.290254117,10001.135176320648,492365.310029517,19616.154951720648,0.98012434,0.9898863858204909,cpu,0.0,9662.850413322,0.0,0.015
482750.290254117,10001.135176320648,492365.310029517,19616.154951720648,0.98012434,0.9898863858204909,cpu,0.0,9662.850413322,0.0,0.015
