Tv,analytical_fit_bottom,analytical_fit_total_bottom,analytical_q0_bottom,analytical_q0_total_bottom,bottom_excess_mean,bottom_hydrostatic_reference,bottom_porepress_mean,error_fit,error_q0,relative_error_fit,relative_error_q0,run,time_s
0.0,482080.9112694001,491794.1671673791,9987.267655481213,19700.523553460214,0.0,9713.255897979001,9711.9004154205,-482080.9112694001,-9987.267655481213,-0.9987267655481213,-0.9987267655481213,cpu,0.0
0.0,482080.9112694001,491794.1671673791,9987.267655481213,19700.523553460214,195.24227398360006,9713.255897979001,9907.142689752498,-481885.6689954165,-9792.025381497613,-0.9983222822337324,-0.9792025381497613,cpu,0.001
0.0,482080.9112694001,491794.1671673791,9987.267655481213,19700.523553460214,18867.743321269998,9713.255897979001,28579.644193729997,-463213.1679481301,8880.475665788785,-0.9596384718199473,0.8880475665788785,cpu,0.002
0.0,482080.9112694001,491794.1671673791,9987.267655481213,19700.523553460214,109177.70227409997,9713.255897979001,118889.61107392004,-372903.2089953001,99190.43461861875,-0.7725433782510172,9.919043461861875,cpu,0.003
0.0,482080.9112694001,491794.1671673791,9987.267655481213,19700.523553460214,269555.5320140001,9713.255897979001,279267.47118372004,-212525.37925539998,259568.2643585189,-0.4402887143192019,25.95682643585189,cpu,0.004
0.0,482080.9112694001,491794.1671673791,9987.267655481213,19700.523553460214,482080.9112694001,9713.255897979001,491792.905756695,0.0,472093.64361391886,0.0,47.209364361391884,cpu,0.005
0.00027881342980207196,482695.4958044244,492408.7517024034,9999.999999999989,19713.25589797899,624371.5823598,9713.255897979001,634083.6468958801,141676.0865553756,614371.5823598,0.29351027259798357,61.43715823598,cpu,0.006
0.0005576268596041439,482695.49580442486,492408.7517024039,9999.999999999998,19713.255897978997,98123.75882676004,9713.255897979001,107835.8427192,-384571.7369776648,88123.75882676004,-0.7967170614193649,8.812375882676003,cpu,0.007
0.0008364402894062159,482695.49580442527,492408.7517024043,10000.000000000007,19713.25589797901,-236154.88869480006,9713.255897979001,-226442.98026737507,-718850.3844992253,-246154.88869480006,-1.4892419563626587,-24.615488869480007,cpu,0.008
0.001115253719208288,482695.4958044249,492408.75170240394,10000.0,19713.255897979,-341099.8189639999,9713.255897979001,-331388.123063075,-823795.3147684248,-351099.8189639999,-1.706656312165391,-35.109981896399994,cpu,0.009000000000000001
