#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
0.005;0;0;-476.190476;0;0;0
0.02;0;0;-476.190476;0;0;0
