case_id,stage,reaction_available,reaction_type,pairwise_reaction,top_reaction_fz,bottom_reaction_fz,Fz_proxy,pairwise_minus_Fz_proxy,pairwise_over_Fz_proxy,force_balance_error
T4s_elastic_platen_lateral,T4s,0,specimen_stress_proxy,nan,nan,nan,1.038537859175914,nan,nan,nan
T4t_elastic_reaction,T4t,1,pairwise_fluid_bound_accumulator,0.956997,1.04649,-0.867504,1.038537859175914,-0.08154085917591403,0.9214849430326814,0.093516
T5_dp_high_strength,T5,0,specimen_stress_proxy,nan,nan,nan,1.038537859175914,nan,nan,nan
T5_dp_mild_yield,T5,0,specimen_stress_proxy,nan,nan,nan,0.4837401837606574,nan,nan,nan
T5b_dp_high_strength,T5b,1,pairwise_fluid_bound_accumulator,0.956997,1.04649,-0.867504,1.038537859175914,-0.08154085917591403,0.9214849430326814,0.093516
T5b_dp_mild_yield,T5b,1,pairwise_fluid_bound_accumulator,0.4927745,0.55936,-0.426189,0.4837401837606574,0.009034316239342588,1.0186759680973962,0.135124
T5c_dp_high_strength_extended,T5c,1,pairwise_fluid_bound_accumulator,3.274005,3.10807,-3.43994,3.1147973110552334,0.15920768894476645,1.0511133383798992,0.0506831
T5c_dp_mild_yield_extended,T5c,1,pairwise_fluid_bound_accumulator,0.4335245,0.435835,-0.431214,0.4031128923098545,0.030411607690145503,1.075441912849489,0.00532965
