quantity,max_abs_diff,mean_abs_diff,particle_count
Pos.x [m],0.0,0.0,407
Pos.y [m],0.0,0.0,407
Pos.z [m],0.0,0.0,407
Vel.x [m/s],0.0,0.0,407
Vel.y [m/s],0.0,0.0,407
Vel.z [m/s],0.0,0.0,407
Rhop [kg/m^3],0.0,0.0,407
Sigma_kk.x,0.0,0.0,407
Sigma_kk.y,0.0,0.0,407
Sigma_kk.z,0.0,0.0,407
Sigma_ij.x,0.0,0.0,407
Sigma_ij.y,0.0,0.0,407
Sigma_ij.z,0.0,0.0,407
Kplastic,0.0,0.0,407
PorePress,0.0,0.0,407
