case,case_name,code,excluded,dtmin_adjustments,restart_soil_restored,restart_porepress_restored,final_part,final_time,final_p_eff_mean,final_q_mean,final_porepress_mean,final_porepress_min,final_negative_pressure_count,max_porepressrate_maxabs,max_velocity,max_divvel_maxabs,center_final_porepress_mean,center_max_porepressrate_maxabs,kplastic_max,reversal_indicator_any_negative
stageA_all_surface,CaseT4o_StageA_AllSurface_FeedbackOff,0,0,0,0,0,23,0.006032,46.376116354217885,15.649259885861449,-2960.1748324506607,-9328.680944399,354,39813860.0,0.0011043684359660847,0.059767481,824.3604610149,37263912.0,0.0,1
stageB_lateral_cap,CaseT4o_StageB_Restart_LateralCap_FeedbackOff,0,0,0,1,1,35,0.009049,23.866875584078628,61.918068216526336,-10739.158262129726,-14888.75125692,407,50620884.0,0.002087983991742973,0.076132827,-7804.316136725333,22527288.0,0.0,1
stageC_delayed_feedback,CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,0,0,0,1,1,35,0.009006,-1761.078591303032,4866.389609440442,-724861.7905140854,-4563710.319688,348,931864580000.0,23.371305000000003,1397.2198,1754064.8559904,931864580000.0,0.0,1
