case,step,time,factor,applied,class_skipped,raw_max,raw_mean,used_max,used_mean,pre_accel_max,used_to_reference_ratio_max,confining_ref,limited,relaxed,cap_min
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,0,0.00603247,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,1,0.00613301,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,2,0.00623355,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,3,0.00633409,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,4,0.00643463,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,5,0.00653517,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,6,0.00663571,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,7,0.00673625,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,8,0.00683678,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,9,0.00693732,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,10,0.00703786,0.0378561,63,344,7.05424,3.60554,7.05424,3.60554,0.731924,3.66176,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,11,0.00713839,0.138392,63,344,26.6442,11.8252,26.6442,11.8252,0.648575,13.8307,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,12,0.00723893,0.238927,63,344,38.4806,16.2717,38.4806,16.2717,2.6183,14.6968,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,13,0.00733946,0.339461,63,344,39.6928,28.6551,39.6928,28.6551,6.13775,20.604,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,14,0.00743999,0.439985,63,344,80.6796,38.8095,80.6796,38.8095,8.26888,25.0715,1.92647,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,15,0.0075405,0.5405,63,344,84.5221,44.3213,84.5221,44.3213,13.2163,13.7064,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,16,0.00764101,0.641011,63,344,156.106,89.8142,156.106,89.8142,20.0326,81.0327,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,17,0.00774151,0.741508,63,344,267.19,151.152,267.19,151.152,16.8536,33.6558,1.92647,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,18,0.00784199,0.841991,63,344,294.723,246.41,294.723,246.41,22.8851,57.4877,1.92647,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,19,0.00794245,0.942453,63,344,1129.5,717.817,1129.5,717.817,56.0316,194.01,1.92643,0,0,0.0
