case,part,time,n,p_eff_mean,q_mean,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,porepress_mean,porepress_min,porepress_max,negative_pressure_count,excess_porepress_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max,center_particle_count,center_porepress_mean,center_porepressrate_maxabs
stageC_delayed_feedback,23,0.00603247,407,46.376116354217885,15.649259885861449,-48.067396378869745,-48.06739631916464,-42.993556364619145,-2960.1748324506607,-9328.680944399,1372.902806793,354,-2960.1748324506607,0.0,0.0,0.0,0.0,0.00043270917005006526,0.0,15,824.3604610149,0.0
stageC_delayed_feedback,24,0.006334,407,50.0285818071253,16.09001408704241,-51.533540309828034,-51.5335404948403,-47.01866461670769,-1499.188795965117,-10573.31722162,5523.125494697,234,-1499.188795965117,2353356.191400491,14782362.0,-0.003530034382800982,0.022171644,0.0010090669805965177,0.0,15,4475.895333208401,10270222.0
stageC_delayed_feedback,25,0.006535,407,49.29285304643734,17.260824282544597,-50.26455553808357,-50.26455565282554,-47.34944794840297,-1793.4802266314382,-12785.45306586,6587.772943603,222,-1793.4802266314382,-2720755.355577396,29468718.0,0.004081133441572483,0.044236749,0.0013878317302018764,0.0,15,5267.277986765667,3341248.3
stageC_delayed_feedback,26,0.006837,407,43.80565818345613,23.0760683794701,-43.454309091400475,-43.45430927788696,-44.508356181081076,-3988.35794310023,-21764.48312516,9749.838498497,244,-3988.35794310023,-9352156.473992625,44660636.0,0.014028235451270262,0.067113802,0.0017560191268656525,0.0,15,4031.6629134692,9299252.0
stageC_delayed_feedback,27,0.007038,407,37.91068565667488,28.971388107184442,-36.40416138771503,-36.4041616044226,-40.92373397788697,-5808.531373431383,-20239.72099702,2480.905613732,310,-5808.531373431383,-12402493.525429983,48761708.0,0.018603741111547924,0.073339269,0.001895109754172297,0.0,15,1746.0917241471334,15123929.0
stageC_delayed_feedback,28,0.007339,407,26.921267526764957,37.03328198299987,-23.40916412039313,-23.409164433611785,-33.94547402628991,-10204.29818462139,-27859.97259027,2862.894199303,403,-10204.29818462139,-15749997.619508604,106399030.0,0.02362499741975431,0.15964784,0.00683088175742755,0.0,15,-10717.336973287402,79877160.0
stageC_delayed_feedback,29,0.007541,407,19.07666082165438,44.7260616030893,-14.326611674422606,-14.326612178722367,-28.57675861181817,-13342.140594022223,-34104.21190565,12516.15639251,394,-13342.140594022223,-15056626.084275188,184632110.0,0.022584939151597063,0.2770454,0.009357309000000005,0.0,15,-1998.8453384429338,184632110.0
stageC_delayed_feedback,30,0.007842,407,4.278197283316954,56.22661534506458,2.4922229469287465,2.4922223312039318,-17.819037128083522,-19261.526711446186,-56067.810695,3345.574108584,399,-19261.526711446186,-23001638.80923832,261434910.0,0.034502457546289896,0.39205998,0.020630973151304643,0.0,15,-36205.56596605734,142202620.0
stageC_delayed_feedback,31,0.008043,407,-1.9385968945945922,66.10108588125557,9.328547037346436,9.32854675282555,-12.841303106388198,-21689.444875994643,-34031.81971161,-594.8858452053,407,-21689.444875994643,-16241256.142506143,1624509600.0,0.024361876021375968,2.4351962,0.09782516200000113,0.0,15,-27126.82853572534,1624509600.0
stageC_delayed_feedback,32,0.008343,407,-24.668934306371806,215.7620489070621,33.86657712990172,33.86657803948403,6.27364774972973,-30781.599379306335,-222585.3209148,771685.2144067,358,-30781.599379306335,-40124491.52859951,2206036500.0,0.06018643063152329,3.3169281,0.24203935000000573,0.0,15,422551.69570580666,2206036500.0
stageC_delayed_feedback,33,0.00854,407,-124.58405782489768,178.98471177873506,141.47949517051606,141.4795026201474,90.79317568402965,-70748.04695797454,-240639.518073,243129.2568464,384,-70748.04695797454,-168791980.56511056,34277814000.0,0.2531821202309582,51.375492,1.8724625672400932,0.0,15,21872.170678970662,34277814000.0
stageC_delayed_feedback,34,0.008812,407,-1005.942096692055,6693.792874609644,1145.0687333144983,1145.0687813980348,727.6887753636361,-423299.8260828598,-28076911.06783,3740707.183277,81,-423299.8260828598,-2463951411.184275,214810410000.0,3.695827013660931,322.34186,1.9659293000006808,0.0,15,-15988868.715405338,214810410000.0
stageC_delayed_feedback,35,0.009006,407,-1761.078591303032,4866.389609440442,1914.14567967322,1914.1454775823104,1454.9446166535627,-724861.7905140854,-4563710.319688,5876416.961551,348,-724861.7905140854,-13451894722.113022,931864580000.0,20.177113316461902,1397.2198,23.371305000000003,0.0,15,1754064.8559904,931864580000.0
