case,part,time,n,p_eff_mean,q_mean,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,porepress_mean,porepress_min,porepress_max,negative_pressure_count,excess_porepress_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max,center_particle_count,center_porepress_mean,center_porepressrate_maxabs
stageB_lateral_cap,23,0.00603247,407,46.376116354217885,15.649259885861449,-48.067396378869745,-48.06739631916464,-42.993556364619145,-2960.1748324506607,-9328.680944399,1372.902806793,354,-2960.1748324506607,0.0,0.0,0.0,0.0,0.00043270917005006526,0.0,15,824.3604610149,0.0
stageB_lateral_cap,24,0.006334,407,50.08517481081088,16.10264604986923,-51.58929973292386,-51.5892998862408,-47.076924813267816,-1476.5515113196332,-10582.25066503,5580.473956287,230,-1476.5515113196332,2458054.0975429984,14872099.0,-0.0036870813498771525,0.022306284,0.0010239055996221467,0.0,15,4527.582386104667,10555160.0
stageB_lateral_cap,25,0.006535,407,49.389926851678965,17.329572264506712,-50.352077453316866,-50.35207770122849,-47.46562540049139,-1754.6506376909554,-12831.3255334,6695.05230299,222,-1754.6506376909554,-2657191.187002458,29929780.0,0.003985787114963148,0.044928789,0.0014188871468939213,0.0,15,5378.344875858467,3665052.0
stageB_lateral_cap,26,0.006837,407,43.84319855028668,23.38278655925301,-43.44408576265353,-43.4440858825553,-44.64142400565113,-3973.341740347915,-22146.12341648,9976.98638908,244,-3973.341740347915,-9521431.115926286,45964228.0,0.014282147472555283,0.069071613,0.0018136180067138744,0.0,15,4200.5929095562,9233531.0
stageB_lateral_cap,27,0.007038,407,37.78033355225226,29.55435811705823,-36.17901564968062,-36.179015982260445,-40.9829690248157,-5853.741315881198,-20622.0112422,2576.247974949,310,-5853.741315881198,-12793286.607911551,50620884.0,0.01918993055970518,0.076132827,0.0019692407091736167,0.0,15,1895.6225659821334,15363217.0
stageB_lateral_cap,28,0.007339,407,26.95038731983619,40.008972433133295,-23.275466101277626,-23.275466746928746,-34.30022911130222,-10185.719382830137,-30078.76041799,1306.13399488,401,-10185.719382830137,-14709786.984447174,47519080.0,0.022064681131449628,0.07139942,0.002078666967396692,0.0,15,-3171.7359090711334,21497162.0
stageB_lateral_cap,29,0.007541,407,19.865001055864045,46.77552780870287,-14.751460565798522,-14.751461203759206,-30.092081398034406,-13019.873688485624,-38404.31957729,2475.695770427,395,-13019.873688485624,-13740432.031164622,38985664.0,0.020610648218869782,0.058671951,0.002087983991742973,0.0,15,-7015.961658525935,22527288.0
stageB_lateral_cap,30,0.007842,407,11.597129076936946,55.41622721563728,-4.47228681555283,-4.472287466855036,-25.84681294840293,-16327.022565868834,-46340.04495926,4416.017506352,395,-16327.022565868834,-9215915.900491402,26806762.0,0.01382387281818181,0.040279116,0.002034589146169661,0.0,15,-12233.180298141064,18807826.0
stageB_lateral_cap,31,0.008043,407,8.600573536453727,59.68616567722138,-0.3637588684520893,-0.36375935515970137,-25.074202385749366,-17296.32793795883,-32140.54112285,-7311.645341127,407,-17296.32793795883,-4820663.781965603,23443476.0,0.007230993874987703,0.035282604,0.0019664153190256483,0.0,15,-13156.308242147332,13017367.0
stageB_lateral_cap,32,0.008345,407,8.509166853972145,63.49139853701945,0.8626519197297297,0.8626515576658467,-27.25280403931205,-17332.89074947707,-31097.51108202,-6455.627555924,407,-17332.89074947707,2191639.6220859946,19235306.0,-0.0032874603239606837,0.02893568,0.0018316439005166495,0.0,15,-14229.717541914664,5574367.5
stageB_lateral_cap,33,0.008546,407,11.177914198976241,64.34154657448909,-1.4642366138329201,-1.4642368921867306,-30.605269090909076,-16265.391899084603,-29659.21772151,-6353.969621879,407,-16265.391899084603,6280352.943857493,23086698.0,-0.009420530621695322,0.034759488,0.0017308432021299535,0.0,15,-13134.299203474668,11875398.0
stageB_lateral_cap,34,0.008848,407,18.1538535833743,63.514904222379435,-8.543085961916466,-8.543085904176905,-37.37538888402947,-13475.016575943358,-26964.05204383,287.200951843,399,-13475.016575943358,10429938.105872242,27557128.0,-0.015644908599017193,0.041345429,0.0015741786731750815,0.0,15,-9288.575259256999,17899988.0
stageB_lateral_cap,35,0.009049,407,23.866875584078628,61.918068216526336,-14.676635382407856,-14.676635156511049,-42.24735621331694,-10739.158262129726,-14888.75125692,-5182.795251622,407,-10739.158262129726,11564003.96113023,27745268.0,-0.017346007621965604,0.041661352,0.0014674518253581141,0.0,15,-7804.316136725333,19254344.0
