case_id,time_s,velocity_max,DivVel_maxAbs,PorePressRate_maxAbs,negative_excess_min
low_cpu,0.0,0.0,0.0,0.0,0.0
low_cpu,0.001,0.00082434004,0.0019480437,1688017.1,0.0
low_cpu,0.002,0.0011226306,0.010370553,10316047.0,-363.8328830647
low_cpu,0.003,0.00055586302,0.00360423,15430334.0,-818.6821938689
low_cpu,0.004,0.0002644078,0.0026453082,8387404.5,-723.4929494887
low_cpu,0.005,0.00071405573,0.0048693991,3572905.8,-205.3217489829
low_cpu,0.006,0.00064781541,0.004078052,9384252.0,0.0
low_cpu,0.007,0.00024216314,0.0020439245,10082991.0,0.0
low_cpu,0.008,0.00023761926,0.0014233051,4855450.0,0.0
low_cpu,0.009000000000000001,0.00052220328,0.0044710319,3215367.5,-1.341378390306
low_cpu,0.01,0.00038741471,0.0027121766,6958038.5,-297.7200646829
low_cpu,0.011,5.7491230000000005e-05,0.0012673964,5103148.0,-388.8722197406
low_cpu,0.012,0.000248325,0.0013177819,1340508.4,-219.4556521219
low_cpu,0.013000000000000001,0.00034830719,0.0020250983,3111941.0,0.0
low_cpu,0.014,0.00022923571,0.0018283707,5595692.5,0.0
low_cpu,0.015,4.9746533e-05,0.00068215292,4088263.8,0.0
low_cpu,0.016,0.00022691849,0.0020054793,1156533.6,0.0
low_cpu,0.017,0.00024534462,0.0020833034,3251999.5,-90.66150991574
low_cpu,0.018000000000000002,8.8306006e-05,0.00088363985,2927639.8,-185.1226497497
low_cpu,0.019,8.1146594e-05,0.00068513158,1187885.8,-146.9284276343
low_cpu,0.02,0.00016068804,0.00083939062,780586.13,-21.38601801301
target_cpu,0.0,0.0,0.0,0.0,0.0
target_cpu,0.001,0.0082434556,0.019482598,16878628.0,0.0
target_cpu,0.002,0.011226165,0.10369496,103154250.0,-3638.058989392
target_cpu,0.003,0.0055590859,0.036039386,154290320.0,-8186.760307279
target_cpu,0.004,0.0026432555,0.026443452,83882744.0,-7235.253064366
target_cpu,0.005,0.0071404693,0.048699643,35720220.0,-2054.064379113
target_cpu,0.006,0.0064784582,0.040780704,93829656.0,0.0
target_cpu,0.007,0.0024220892,0.020438787,100813400.0,0.0
target_cpu,0.008,0.0023756188,0.014234792,48555492.0,0.0
target_cpu,0.009000000000000001,0.0052211732,0.044683982,32128376.0,-13.38710853346
target_cpu,0.01,0.0038742647,0.02711569,69561088.0,-2976.645487821
target_cpu,0.011,0.0005757950700000002,0.012671738,51042348.0,-3888.864477526
target_cpu,0.012,0.0024824406,0.013173395,13420333.0,-2195.328195902
target_cpu,0.013000000000000001,0.0034830899,0.020251209,31105630.0,0.0
target_cpu,0.014,0.0022929606,0.018284597,55948864.0,0.0
target_cpu,0.015,0.00049676135,0.0068221972,40885416.0,0.0
target_cpu,0.016,0.0022685817,0.020047417,11558537.0,0.0
target_cpu,0.017,0.0024534401,0.020827269,32504616.0,-905.9514110716
target_cpu,0.018000000000000002,0.0008837119100000001,0.0088353576,29278400.0,-1851.101674606
target_cpu,0.019,0.00081071374,0.0068447213,11889591.0,-1469.722039248
target_cpu,0.02,0.0016066536000000004,0.0083921719,7794846.5,-214.5412318118
target_gpu,0.0,0.0,0.0,4187422000.0,0.0
target_gpu,0.001,0.008243456500000001,0.019573215,16736529.0,3.698465218349e-05
target_gpu,0.002,0.01122613,0.10367906,103236240.0,-3639.533368048
target_gpu,0.003,0.0055581196000000005,0.036047544,154367650.0,-8186.042767013
target_gpu,0.004,0.0026454830000000287,0.026485732,83704192.0,-7233.297554054
target_gpu,0.005,0.007140175000000006,0.048722327,35857444.0,-2052.699310732
target_gpu,0.006,0.00647589980000001,0.040744115,93836760.0,-3.028826662188e-05
target_gpu,0.007,0.002420584200000003,0.020409495,100747840.0,-1.132125353109e-05
target_gpu,0.008,0.002375064900000001,0.014245879,48481088.0,9.398042607245e-06
target_gpu,0.009000000000000001,0.005219525200000027,0.044664778,32171336.0,-13.37336192675
target_gpu,0.01,0.0038734812000000055,0.027094938,69556936.0,-2975.922851212
target_gpu,0.011,0.0005758371600001598,0.012663143,51010888.0,-3887.856418588
target_gpu,0.012,0.0024818003000000323,0.013175387,13376169.0,-2194.798611706
target_gpu,0.013000000000000001,0.003482190400000005,0.020250482,31137594.0,-1.628646445795e-05
target_gpu,0.014,0.0022923197000000073,0.018274095,55940856.0,-1.072135047764e-05
target_gpu,0.015,0.000496559310000004,0.0068193427,40848828.0,7.966792239245e-07
target_gpu,0.016,0.0022678571,0.020050099,11566186.0,8.327118564466e-06
target_gpu,0.017,0.0024526862000000178,0.020813344,32510212.0,-905.5977455761
target_gpu,0.018000000000000002,0.0008834957800000047,0.0088304775,29259146.0,-1850.497923294
target_gpu,0.019,0.0008103833500000088,0.0068416581,11869492.0,-1469.278782215
target_gpu,0.02,0.0016061212000000422,0.0083906986,7810452.0,-214.4933631622
