case_id,time_s,z_m,excess,analytical_excess
low_cpu,0.0,0.105,1000.0,1000.9042092269857
low_cpu,0.0,0.075000003,1000.0,999.3243111876191
low_cpu,0.0,0.085000001,1000.0,998.9665815870379
low_cpu,0.0,0.094999999,1000.0,1000.842644012553
low_cpu,0.0,0.105,1000.0,1000.9042092269857
low_cpu,0.0,0.075000003,1000.0,999.3243111876191
low_cpu,0.0,0.085000001,1000.0,998.9665815870379
low_cpu,0.0,0.094999999,1000.0,1000.842644012553
low_cpu,0.0,0.105,1000.0,1000.9042092269857
low_cpu,0.0,0.075000003,1000.0,999.3243111876191
low_cpu,0.0,0.085000001,1000.0,998.9665815870379
low_cpu,0.0,0.094999999,1000.0,1000.842644012553
low_cpu,0.0,0.105,1000.0,1000.9042092269857
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.115,1000.0,999.0093065344204
low_cpu,0.0,0.125,1000.0,999.2482668331432
low_cpu,0.0,0.13500001,1000.0,1001.1163566187054
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.145,1000.0,1000.5791142442739
low_cpu,0.0,0.155,1000.0,998.7834482044649
low_cpu,0.0,0.16500001,1000.0,999.6100946140749
low_cpu,0.0,0.175,1000.0,1001.2887018471082
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.185,1000.0,1000.1880783565349
low_cpu,0.0,0.19499999,1000.0,998.6692673195756
low_cpu,0.0,0.205,1000.0,1000.0221429477849
low_cpu,0.0,0.215,1000.0,1001.3411460871107
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.22499999,1000.0,999.7637552179023
low_cpu,0.0,0.235,1000.0,998.6809584435933
low_cpu,0.0,0.245,1000.0,1000.4496031010597
low_cpu,0.0,0.255,1000.0,1001.2641471413331
low_cpu,0.0,0.26499999,1000.0,999.3425621667053
low_cpu,0.0,0.27500001,1000.0,998.8231757651585
low_cpu,0.0,0.285,1000.0,1000.8550488739829
low_cpu,0.0,0.255,1000.0,1001.2641471413331
low_cpu,0.0,0.26499999,1000.0,999.3425621667053
low_cpu,0.0,0.27500001,1000.0,998.8231757651585
low_cpu,0.0,0.285,1000.0,1000.8550488739829
low_cpu,0.0,0.255,1000.0,1001.2641471413331
