case_id,time_s,top_drained_residual,bottom_noflux_proxy
low_cpu,0.0,1000.0,0.0
low_cpu,0.001,5.849937760947,0.030664295849760492
low_cpu,0.002,0.0,0.0343588623501887
low_cpu,0.003,0.0,0.0043765674000724175
low_cpu,0.004,0.0,-0.012209908749809983
low_cpu,0.005,0.0,-0.02311582740011886
low_cpu,0.006,14.44633003608,-0.0153091956501612
low_cpu,0.007,18.46502151734,-0.0007910004501354706
low_cpu,0.008,11.42341769342,0.15824496793317167
low_cpu,0.009000000000000001,1.341378390306,0.014759468459999425
low_cpu,0.01,0.0,0.008413679749821767
low_cpu,0.011,0.0,-0.0019313942501071324
low_cpu,0.012,0.0,-0.00962371865009004
low_cpu,0.013000000000000001,0.0,-0.009879241795012206
low_cpu,0.014,9.327278694895,-0.0037974839498815527
low_cpu,0.015,8.080414849748,0.0036236280499792883
low_cpu,0.016,2.106672386999,0.00738154953999981
low_cpu,0.017,0.0,0.005741825964975078
low_cpu,0.018000000000000002,0.0,0.0009455536000757547
low_cpu,0.019,0.0,-0.0035186571999759053
low_cpu,0.02,0.0,-0.0051020550399876186
target_cpu,0.0,10000.0,0.0
target_cpu,0.001,58.49279535924,0.3066340949990263
target_cpu,0.002,0.0,0.3435929405013667
target_cpu,0.003,0.0,0.043776213002274744
target_cpu,0.004,0.0,-0.12208116499823518
target_cpu,0.005,0.0,-0.23114587800046138
target_cpu,0.006,144.4399430082,-0.15311196049970022
target_cpu,0.007,184.6189902893,-0.00793928299935942
target_cpu,0.008,114.228020727,1.5830664949990023
target_cpu,0.009000000000000001,13.38710853346,0.14759064369997077
target_cpu,0.01,0.0,0.08415282850137373
target_cpu,0.011,0.0,-0.019282602998828224
target_cpu,0.012,0.0,-0.09622308400003021
target_cpu,0.013000000000000001,0.0,-0.09880109655000524
target_cpu,0.014,93.25648123827,-0.03799958100080403
target_cpu,0.015,80.80588821133,0.036209569851507695
target_cpu,0.016,21.08898599681,0.07380813457984914
target_cpu,0.017,0.0,0.05743379320483655
target_cpu,0.018000000000000002,0.0,0.009478501898684044
target_cpu,0.019,0.0,-0.03517132989986749
target_cpu,0.02,0.0,-0.051019822609987386
target_gpu,0.0,10000.0,0.0
target_gpu,0.001,58.49282900402,0.3065906026004086
target_gpu,0.002,5.250544273139e-05,0.34350373689949265
target_gpu,0.003,2.599573869588e-05,0.043424185551884875
target_gpu,0.004,1.237312108771e-05,-0.122024649600462
target_gpu,0.005,3.339513077805e-05,-0.23088136489968747
target_gpu,0.006,144.4097623584,-0.15287329239981773
target_gpu,0.007,184.5419867812,-0.007990726351636113
target_gpu,0.008,114.1907188995,1.5824339708015032
target_gpu,0.009000000000000001,13.37336192675,0.14756203432995108
target_gpu,0.01,1.811656139949e-05,0.08429232144999332
target_gpu,0.011,2.693234819162e-06,-0.019398203650780488
target_gpu,0.012,1.1607564808e-05,-0.09624723594970419
target_gpu,0.013000000000000001,1.628646445795e-05,-0.09878595048496663
target_gpu,0.014,93.23056103136,-0.0380152077996172
target_gpu,0.015,80.78266503944,0.03617630420012574
target_gpu,0.016,21.08533108334,0.07379389934521896
target_gpu,0.017,1.147139865054e-05,0.0574145381449398
target_gpu,0.018000000000000002,4.132175490668e-06,0.009475486700694091
target_gpu,0.019,3.790223892963e-06,-0.035152092450289274
target_gpu,0.02,7.511949192462e-06,-0.051005903040049816
