case_id,time_s,feedback_accel_max,feedback_accel_mean
low_cpu,0.0,0.0,0.0
low_cpu,0.001,0.7046116,0.38694724834299843
low_cpu,0.002,0.27581432,0.1720300731050999
low_cpu,0.003,0.93451333,0.3877358213910003
low_cpu,0.004,0.74627894,0.3428042889619999
low_cpu,0.005,0.20031726,0.09783816861549997
low_cpu,0.006,0.41743255,0.16527027179800008
low_cpu,0.007,0.61435229,0.2713405236720001
low_cpu,0.008,0.45857117,0.19686376251430018
low_cpu,0.009000000000000001,0.10759208,0.01736534989779997
low_cpu,0.01,0.32687059,0.14088883016999976
low_cpu,0.011,0.39172330000000005,0.1842440288224008
low_cpu,0.012,0.21855724,0.10410665567221976
low_cpu,0.013000000000000001,0.093957931,0.030064628300899968
low_cpu,0.014,0.29130766,0.12283953246589985
low_cpu,0.015,0.2860103,0.12270016625020003
low_cpu,0.016,0.13484693,0.04648661505619
low_cpu,0.017,0.10338696,0.042860458251499846
low_cpu,0.018000000000000002,0.19953901000000002,0.08766986770910004
low_cpu,0.019,0.13905686,0.06965287085888996
low_cpu,0.02,0.024732791,0.01046350552322001
target_cpu,0.0,0.0,0.0
target_cpu,0.001,7.0460157,3.869441118320007
target_cpu,0.002,2.7578788,1.720123191904992
target_cpu,0.003,9.3444185,3.8771853195399997
target_cpu,0.004,7.4630198000000005,3.428053984119995
target_cpu,0.005,2.0038249,0.978734223489998
target_cpu,0.006,4.1736493,1.6523274785000008
target_cpu,0.007,6.143106,2.7133378683100005
target_cpu,0.008,4.5861964,1.9689014515700043
target_cpu,0.009000000000000001,1.0765604,0.17405056364599955
target_cpu,0.01,3.2677674,1.4085876549800054
target_cpu,0.011,3.9171579,1.8424506168620047
target_cpu,0.012,2.1864026,1.0414010095773965
target_cpu,0.013000000000000001,0.93864197,0.30021380801200015
target_cpu,0.014,2.9125941,1.228190309837004
target_cpu,0.015,2.8603785000000004,1.2271476706055016
target_cpu,0.016,1.3491520000000006,0.465220095309591
target_cpu,0.017,1.033119700000001,0.42828056655539953
target_cpu,0.018000000000000002,1.9951409000000002,0.8766168998954988
target_cpu,0.019,1.3910009000000005,0.6967174314884482
target_cpu,0.02,0.24792239000000013,0.10492806217535026
target_gpu,0.0,176.10898000000014,4.677382846100004
target_gpu,0.001,7.0404391,3.8654980813349975
target_gpu,0.002,2.7647071000000016,1.725043452448601
target_gpu,0.003,9.350333200000003,3.8773970851299966
target_gpu,0.004,7.456002700000003,3.425647406525006
target_gpu,0.005,1.996918700000001,0.9753938928534015
target_gpu,0.006,4.176729200000004,1.6540873063060018
target_gpu,0.007,6.140854400000003,2.7127252635669987
target_gpu,0.008,4.581992600000003,1.9669563414587972
target_gpu,0.009000000000000001,1.0729998000000003,0.17228229320910515
target_gpu,0.01,3.2689490000000023,1.4092871985279967
target_gpu,0.011,3.9152939000000004,1.8417424258228996
target_gpu,0.012,2.1834357000000018,1.0399691847410608
target_gpu,0.013000000000000001,0.9410301400000028,0.3013134578852033
target_gpu,0.014,2.9127815000000012,1.2282933124160973
target_gpu,0.015,2.8587682000000014,1.2263577108272006
target_gpu,0.016,1.3469229000000003,0.46421668627993234
target_gpu,0.017,1.0344163000000017,0.42881753658050087
target_gpu,0.018000000000000002,1.9944113000000008,0.8764519974723024
target_gpu,0.019,1.3895825000000015,0.6960782697015705
target_gpu,0.02,0.24669965000000893,0.10432648445256883
