case_id,kind,status,code,excluded,dtmin_adjustments,runtime_s,steps,frames,final_time_s,p_w0,feedback_mode,feedback_operator,peak_abs_excess,min_excess,bottom_rmse,final_profile_rmse,top_drained_residual_final,bottom_noflux_proxy_final,velocity_max,DivVel_maxAbs,PorePressRate_maxAbs,feedback_accel_max,monotonic_volume_mean_violations
low_cpu,cpu,ok,0,0,0,655.788635,20975,21,0.02,1000.0,1,1,1000.0,-818.6821938689,1076.6053186671666,949.2346134726185,0.0,-0.0051020550399876186,0.0011226306,0.010370553,15430334.0,0.93451333,9
target_cpu,cpu,ok,0,0,0,558.064331,20975,21,0.02,10000.0,1,1,10000.0,-8186.760307279,10766.11063244837,9492.796308303346,0.0,-0.051019822609987386,0.011226165,0.10369496,154290320.0,9.3444185,9
target_gpu,gpu,ok,0,0,0,57.824409,20975,21,0.02,10000.0,1,1,10000.0,-8186.042767013,10765.848715722806,9492.767367124017,7.511949192462e-06,-0.051005903040049816,0.01122613,0.10367906,4187422000.0,176.10898000000014,9
