DivVel_maxAbs,PorePressRate_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,bottom_reference_excess_mean,run,time_s,top_drained_excess_maxAbs,velocity_max
0.0,0.0,10000.0,0.0,10000.0,cpu,0.0,0.0,0.0
0.0,125293460.0,9825.173659869002,0.024834597506924183,9825.148825271495,cpu,0.001,0.0,0.0
0.0,88416136.0,8725.773394068001,0.04899308000130986,8725.724400988,cpu,0.002,0.0,0.0
0.0,70866488.0,7399.730330352,0.04728790099852631,7399.683042451002,cpu,0.003,0.0,0.0
0.0,58640264.0,6207.111043593001,0.04079996900327387,6207.070243623998,cpu,0.004,0.0,0.0
0.0,48892528.0,5192.225547441999,0.034354304997577856,5192.191193137001,cpu,0.005,0.0,0.0
0.0,40841196.0,4340.575394989,0.028764132999640424,4340.546630856001,cpu,0.006,0.0,0.0
0.0,34130876.0,3628.0790909479992,0.024051477499142493,3628.0550394705,cpu,0.007,0.0,0.0
0.0,28530978.0,3032.949118211,0.020107965501210856,3032.929010245499,cpu,0.008,0.0,0.0
0.0,23846386.0,2534.9862309320006,0.01680690500052151,2534.969424027,cpu,0.009000000000000001,0.0,0.0
0.0,19931090.0,2118.7768055389997,0.014047515999664029,2118.762758023,cpu,0.01,0.0,0.0
0.0,16658664.0,1770.9022987130004,0.011741119500356945,1770.8905575935,cpu,0.011,0.0,0.0
0.0,13925913.0,1480.3969728129998,0.009815055999524702,1480.3871577570003,cpu,0.012,0.0,0.0
0.0,11639461.0,1237.3355771950005,0.008203559001003669,1237.3273736359995,cpu,0.013000000000000001,0.0,0.0
0.0,9728417.0,1034.1815773390003,0.006856637000510091,1034.1747207019998,cpu,0.014,0.0,0.0
0.0,8132528.0,864.5305198235999,0.005731851549853673,864.52478797205,cpu,0.015,0.0,0.0
0.0,6797275.0,722.5860792382003,0.004790756250372397,722.58128848195,cpu,0.016,0.0,0.0
0.0,5681250.0,603.9470028005,0.004004174350029643,603.9429986261499,cpu,0.017,0.0,0.0
0.0,4748462.0,504.78686404420006,0.003346742800033553,504.7835173014,cpu,0.018000000000000002,0.0,0.0
0.0,3969506.5,421.9796264348999,0.0027977187499459433,421.97682871614995,cpu,0.019,0.0,0.0
0.0,3317763.3,352.69608078960005,0.0023383687500881933,352.69374242084996,cpu,0.02,0.0,0.0
0.0,4187422000.0,10000.0,0.0,10000.0,gpu,0.0,0.0,0.0
0.0,125233820.0,9825.177083332997,0.025489164296232047,9825.151594168701,gpu,0.001,0.0,0.0
0.0,88394536.0,8725.778645832997,0.048686860845919,8725.729958972152,gpu,0.002,0.0,0.0
0.0,70853168.0,7399.737847221998,0.04792256354903657,7399.689924658449,gpu,0.003,0.0,0.0
0.0,58630092.0,6207.119357638997,0.04066450524805987,6207.078693133749,gpu,0.004,0.0,0.0
0.0,48884244.0,5192.234809028,0.03425999519913603,5192.200549032801,gpu,0.005,0.0,0.0
0.0,40834336.0,4340.5859375,0.02915058560029138,4340.5567869144,gpu,0.006,0.0,0.0
0.0,34125180.0,3628.090277778,0.024118439700032468,3628.0661593383,gpu,0.007,0.0,0.0
0.0,28526248.0,3032.9605034720003,0.020046998250563774,3032.9404564737497,gpu,0.008,0.0,0.0
0.0,23842458.0,2534.997829861,0.016666409450408537,2534.9811634515495,gpu,0.009000000000000001,0.0,0.0
0.0,19927832.0,2118.788845486,0.014055348599868012,2118.7747901374,gpu,0.01,0.0,0.0
0.0,16655969.0,1770.9147135419996,0.011688817699450738,1770.9030247243002,gpu,0.011,0.0,0.0
0.0,13923688.0,1480.4093967010003,0.009750962500675087,1480.3996457384997,gpu,0.012,0.0,0.0
0.0,11637631.0,1237.3483072919998,0.00821063459989091,1237.3400966574,gpu,0.013000000000000001,0.0,0.0
0.0,9726915.0,1034.194444444,0.006833445900156221,1034.1876109981,gpu,0.014,0.0,0.0
0.0,8131298.5,864.5435112847005,0.00572627460530839,864.5377850100951,gpu,0.015,0.0,0.0
0.0,6796274.0,722.5990668402997,0.004760768714731967,722.5943060715849,gpu,0.016,0.0,0.0
0.0,5680442.5,603.9600694443999,0.003998791184926631,603.956070653215,gpu,0.017,0.0,0.0
0.0,4747816.5,504.80002170139977,0.0034000087747472207,504.796621692625,gpu,0.018000000000000002,0.0,0.0
0.0,3968991.5,421.9927842881999,0.0028208644499727598,421.98996342374994,gpu,0.019,0.0,0.0
0.0,3317361.2,352.7092013888998,0.002323040034866608,352.70687834886496,gpu,0.02,0.0,0.0
