Tv,analytical_fit_bottom,analytical_fit_total_bottom,analytical_q0_bottom,analytical_q0_total_bottom,bottom_excess_mean,bottom_hydrostatic_reference,bottom_porepress_mean,error_fit,error_q0,relative_error_fit,relative_error_q0,run,time_s
0.0,10000.0,19711.900000981,9987.267655481213,19699.167656462214,10000.0,9711.900000981,19711.900415420005,0.0,12.732344518786704,0.0,0.0012732344518786704,cpu,0.0
0.00027889128659261506,10012.748576445525,19724.648577426524,9999.999999999996,19711.900000980997,9825.173659869002,9711.900000981,19537.074075290002,-187.5749165765228,-174.82634013099414,-0.018733608973042933,-0.017482634013099414,cpu,0.001
0.0005577825731852301,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,8725.773394068001,9711.900000981,18437.673809489996,-1286.9751823775296,-1274.226605932001,-0.12853365612366138,-0.1274226605932001,cpu,0.002
0.0008366738597778452,10012.74857644552,19724.64857742652,9999.99999999999,19711.90000098099,7399.730330352,9711.900000981,17111.630745770002,-2613.0182460935193,-2600.2696696479907,-0.2609691261239206,-0.26002696696479904,cpu,0.003
0.0011155651463704602,10012.748576445529,19724.64857742653,10000.0,19711.900000981,6207.111043593001,9711.900000981,15919.011459015,-3805.6375328525273,-3792.8889564069987,-0.38007920640343373,-0.37928889564069984,cpu,0.004
0.0013944564329630752,10012.748576445532,19724.64857742653,10000.000000000004,19711.900000981004,5192.225547441999,9711.900000981,14904.125962860006,-4820.523029003533,-4807.774452558005,-0.4814385373006932,-0.48077744525580046,cpu,0.005
0.0016733477195556904,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,4340.575394989,9711.900000981,14052.475810409995,-5672.17318145653,-5659.424605011001,-0.5664951175144878,-0.5659424605011001,cpu,0.006
0.0019522390061483053,10012.748576445527,19724.648577426527,9999.999999999998,19711.900000980997,3628.0790909479992,9711.900000981,13339.97950637,-6384.669485497528,-6371.920909051999,-0.6376540304344734,-0.6371920909051999,cpu,0.007
0.0022311302927409205,10012.748576445532,19724.64857742653,10000.000000000004,19711.900000981004,3032.949118211,9711.900000981,12744.849533629998,-6979.799458234533,-6967.050881789004,-0.6970912537097105,-0.6967050881789004,cpu,0.008
0.002510021579333536,10012.748576445529,19724.64857742653,10000.0,19711.900000981,2534.9862309320006,9711.900000981,12246.88664635,-7477.762345513528,-7465.013769067999,-0.746824140087226,-0.7465013769068,cpu,0.009000000000000001
0.0027889128659261504,10012.748576445532,19724.64857742653,10000.000000000004,19711.900000981004,2118.7768055389997,9711.900000981,11830.67722096,-7893.971770906533,-7881.223194461004,-0.7883920894085658,-0.7881223194461003,cpu,0.01
0.0030678041525187653,10012.748576445529,19724.64857742653,10000.0,19711.900000981,1770.9022987130004,9711.900000981,11482.802714135001,-8241.846277732528,-8229.097701286999,-0.8231352475104631,-0.8229097701286999,cpu,0.011
0.0033466954391113807,10012.748576445529,19724.64857742653,10000.0,19711.900000981,1480.3969728129998,9711.900000981,11192.297388234998,-8532.351603632529,-8519.603027187,-0.8521487919615243,-0.8519603027187,cpu,0.012
0.0036255867257039957,10012.748576445527,19724.648577426527,9999.999999999998,19711.900000980997,1237.3355771950005,9711.900000981,10949.235992614997,-8775.412999250526,-8762.664422804997,-0.8764239841090417,-0.8762664422804998,cpu,0.013000000000000001
0.0039044780122966106,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,1034.1815773390003,9711.900000981,10746.081992760004,-8978.56699910653,-8965.818422661001,-0.8967135178274768,-0.8965818422661,cpu,0.014
0.004183369298889226,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,864.5305198235999,9711.900000981,10576.430935245004,-9148.21805662193,-9135.469480176402,-0.9136570230218941,-0.9135469480176401,cpu,0.015
0.004462260585481841,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,722.5860792382003,9711.900000981,10434.48649466,-9290.16249720733,-9277.413920761801,-0.9278333942252335,-0.9277413920761801,cpu,0.016
0.004741151872074456,10012.748576445523,19724.648577426524,9999.999999999995,19711.900000980997,603.9470028005,9711.900000981,10315.84741822,-9408.801573645023,-9396.052997199495,-0.9396821963330569,-0.9396052997199494,cpu,0.017
0.005020043158667072,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,504.78686404420006,9711.900000981,10216.687279464999,-9507.961712401331,-9495.213135955802,-0.9495855847981959,-0.9495213135955802,cpu,0.018000000000000002
0.005298934445259686,10012.748576445527,19724.648577426527,9999.999999999998,19711.900000980997,421.9796264348999,9711.900000981,10133.880041855002,-9590.768950010626,-9578.020373565098,-0.9578557652563465,-0.9578020373565097,cpu,0.019
0.005577825731852301,10012.748576445529,19724.64857742653,10000.0,19711.900000981,352.69608078960005,9711.900000981,10064.596496209999,-9660.05249565593,-9647.3039192104,-0.9647752984011505,-0.96473039192104,cpu,0.02
0.0,10000.0,19711.900000981,9987.267655481213,19699.167656462214,10000.0,9711.900000981,19711.900415420005,0.0,12.732344518786704,0.0,0.0012732344518786704,gpu,0.0
0.00027889128659261506,10012.748576445525,19724.648577426524,9999.999999999996,19711.900000980997,9825.177083332997,9711.900000981,19537.077498755007,-187.5714931125276,-174.82291666699894,-0.018733267062530642,-0.017482291666699894,gpu,0.001
0.0005577825731852301,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,8725.778645832997,9711.900000981,18437.679061255007,-1286.969930612533,-1274.2213541670044,-0.12853313161583454,-0.12742213541670044,gpu,0.002
0.0008366738597778452,10012.74857644552,19724.64857742652,9999.99999999999,19711.90000098099,7399.737847221998,9711.900000981,17111.638262639997,-2613.0107292235216,-2600.262152777993,-0.2609683753939946,-0.2600262152777993,gpu,0.003
0.0011155651463704602,10012.748576445529,19724.64857742653,10000.0,19711.900000981,6207.119357638997,9711.900000981,15919.019773059996,-3805.6292188065318,-3792.880642361003,-0.38007837605740713,-0.3792880642361003,gpu,0.004
0.0013944564329630752,10012.748576445532,19724.64857742653,10000.000000000004,19711.900000981004,5192.234809028,9711.900000981,14904.135224450001,-4820.513767417532,-4807.765190972003,-0.4814376123213101,-0.4807765190972003,gpu,0.005
0.0016733477195556904,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,4340.5859375,9711.900000981,14052.486352920003,-5672.1626389455305,-5659.414062500002,-0.5664940646056966,-0.5659414062500002,gpu,0.006
0.0019522390061483053,10012.748576445527,19724.648577426527,9999.999999999998,19711.900000980997,3628.090277778,9711.900000981,13339.990693200001,-6384.658298667527,-6371.909722221998,-0.6376529131758191,-0.6371909722221998,gpu,0.007
0.0022311302927409205,10012.748576445532,19724.64857742653,10000.000000000004,19711.900000981004,3032.9605034720003,9711.900000981,12744.86091889,-6979.788072973532,-6967.039496528003,-0.6970901166332211,-0.6967039496528002,gpu,0.008
0.002510021579333536,10012.748576445529,19724.64857742653,10000.0,19711.900000981,2534.997829861,9711.900000981,12246.89824528,-7477.750746584528,-7465.002170139,-0.7468229816711416,-0.7465002170139,gpu,0.009000000000000001
0.0027889128659261504,10012.748576445532,19724.64857742653,10000.000000000004,19711.900000981004,2118.788845486,9711.900000981,11830.689260905,-7893.959730959532,-7881.211154514003,-0.7883908869468332,-0.7881211154514003,gpu,0.01
0.0030678041525187653,10012.748576445529,19724.64857742653,10000.0,19711.900000981,1770.9147135419996,9711.900000981,11482.815128960003,-8241.83386290353,-8229.085286458001,-0.8231340076082622,-0.8229085286458001,gpu,0.011
0.0033466954391113807,10012.748576445529,19724.64857742653,10000.0,19711.900000981,1480.4093967010003,9711.900000981,11192.309812120002,-8532.33917974453,-8519.590603298999,-0.8521475511545765,-0.8519590603298999,gpu,0.012
0.0036255867257039957,10012.748576445527,19724.648577426527,9999.999999999998,19711.900000980997,1237.3483072919998,9711.900000981,10949.248722710003,-8775.400269153528,-8762.651692707997,-0.8764227127201817,-0.8762651692707998,gpu,0.013000000000000001
0.0039044780122966106,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,1034.194444444,9711.900000981,10746.094859865,-8978.55413200153,-8965.805555556002,-0.896712232755261,-0.8965805555556002,gpu,0.014
0.004183369298889226,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,864.5435112847005,9711.900000981,10576.443926704997,-9148.20506516083,-9135.456488715301,-0.9136557255299017,-0.9135456488715301,gpu,0.015
0.004462260585481841,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,722.5990668402997,9711.900000981,10434.499482259998,-9290.149509605231,-9277.400933159703,-0.9278320971186499,-0.9277400933159703,gpu,0.016
0.004741151872074456,10012.748576445523,19724.648577426524,9999.999999999995,19711.900000980997,603.9600694443999,9711.900000981,10315.860484865,-9408.788507001123,-9396.039930555595,-0.939680891332357,-0.9396039930555595,gpu,0.017
0.005020043158667072,10012.74857644553,19724.64857742653,10000.000000000002,19711.900000981004,504.80002170139977,9711.900000981,10216.700437120002,-9507.94855474413,-9495.199978298602,-0.9495842707077542,-0.9495199978298602,gpu,0.018000000000000002
0.005298934445259686,10012.748576445527,19724.648577426527,9999.999999999998,19711.900000980997,421.9927842881999,9711.900000981,10133.89319971,-9590.755792157326,-9578.007215711797,-0.9578544511463197,-0.9578007215711798,gpu,0.019
0.005577825731852301,10012.748576445529,19724.64857742653,10000.0,19711.900000981,352.7092013888998,9711.900000981,10064.609616809996,-9660.039375056629,-9647.2907986111,-0.9647739880117804,-0.96472907986111,gpu,0.02
