case_id,integrator,time_integration_mode,boundary_operator,feedback,code,excluded,dtmin_adjustments,peak_abs_excess_pa,bottom_rmse_pa,final_profile_rmse_pa,final_top_drained_residual_pa,final_bottom_noflux_proxy_pa,velocity_max_mps,divvel_max_abs,porepressrate_max_abs_pa_s,feedback_accel_max_abs_mps2,ordinary_solid_noflux_pairs,unique_ordinary_solid_noflux
l5_op1_m0,Symplectic,0,1,1,0,0,0,10000.0,12663.492097211698,10833.837125284848,0.0,-0.23114587800046138,0.011226165,0.10369496,154290320.0,9.3444185,,
l5_op1_m1,Symplectic,1,1,1,0,0,0,10000.0,12663.492097211698,10833.837125284848,0.0,-0.23114587800046138,0.011226165,0.10369496,154290320.0,9.3444185,,
