case_id,integrator,time_integration_mode,boundary_operator,feedback,code,excluded,dtmin_adjustments,peak_abs_excess_pa,bottom_rmse_pa,final_profile_rmse_pa,final_top_drained_residual_pa,final_bottom_noflux_proxy_pa,velocity_max_mps,divvel_max_abs,porepressrate_max_abs_pa_s,feedback_accel_max_abs_mps2,ordinary_solid_noflux_pairs,unique_ordinary_solid_noflux
l3c_op1_m0,Symplectic,0,1,0,0,0,0,10000.0,2766.35730713335,6426.865333360469,0.0,0.034354304997577856,0.0,0.0,125293450.0,0.0,,
l3c_op1_m1,Symplectic,1,1,0,0,0,0,10000.0,2766.35730713335,6426.865333360469,0.0,0.034354304997577856,0.0,0.0,125293450.0,0.0,,
verlet_l3c_op1_m0,Verlet,0,1,0,0,0,0,10000.0,2766.35730713335,6426.865333360469,0.0,0.034354304997577856,7.312913742299485e-14,1.8154479e-12,125293450.0,0.0,,
verlet_l3c_op1_m1,Verlet,1,1,0,0,0,0,10000.0,2766.3573009877164,6426.865338622097,0.0,0.0343543014023453,3.6745627260959417e-09,7.4325726e-08,125293450.0,0.0,,
