case_id,time_s,time_integration_mode,boundary_operator,feedback,velocity_max_mps,divvel_max_abs,porepressrate_max_abs_pa_s,porepressrate_mean_pa_s,feedback_accel_max_abs_mps2,lap_porepress_max_abs
verlet_l3c_op1_m0,0.002,0,1,0,4.2417553842996014e-14,7.3221312e-13,88416136.0,-0.10723999780416489,0.0,1531797.0
verlet_l3c_op1_m0,0.003,0,1,0,2.0111367647804364e-14,3.9946513e-13,70866488.0,-0.1639000006020069,0.0,1273554.0
verlet_l3c_op1_m0,0.004,0,1,0,2.1320535270744496e-14,3.7717621e-13,58640264.0,-0.17475999893248081,0.0,1093645.1
verlet_l3c_op1_m0,0.005,0,1,0,2.1602454831576856e-14,1.9981301e-13,48892536.0,-0.10479999935626984,0.0,950207.25
verlet_l3c_op1_m1,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
verlet_l3c_op1_m1,0.001,1,1,0,3.6745627260959417e-09,7.4325726e-08,125293450.0,-0.19659999126195907,0.0,2074446.9
verlet_l3c_op1_m1,0.002,1,1,0,2.258110765125514e-09,2.8780525e-08,88416136.0,-0.11975999908149243,0.0,1531797.0
verlet_l3c_op1_m1,0.003,1,1,0,1.3667511230463824e-09,1.2321886e-08,70866488.0,-0.16984000197052956,0.0,1273554.0
verlet_l3c_op1_m1,0.004,1,1,0,9.51787539673909e-10,2.5306514e-08,58640264.0,-0.1806899957805872,0.0,1093645.1
verlet_l3c_op1_m1,0.005,1,1,0,1.0098963291692075e-09,6.3705223e-09,48892536.0,-0.10769999885559083,0.0,950207.25
