case,time,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio
mode6_shell_dp008,0.0,80.25840295262573,4099.121912940717,0.019579413507867155
mode6_shell_dp008,0.001046,76.31873211416837,40.911894663194644,1.8654411569656928
mode6_shell_dp008,0.002011,55.20011717530386,28.31435651466818,1.9495451767271341
mode6_shell_dp008,0.003056,93.19973032746066,22.16214126966638,4.205357649940819
mode6_shell_dp008,0.004022,60.90998635364724,18.770138847466768,3.2450471916390593
mode6_shell_dp008,0.005067,-122.23166457650268,16.257156810968123,-7.518637237603401
mode6_shell_dp008,0.006032,-206.52200866892196,14.543623870330425,-14.200175314643218
mode6_shell_dp010,0.0,37.43267042766299,4099.121912940717,0.009131875368109929
mode6_shell_dp010,0.001005,42.283362096792644,41.82437749194429,1.0109740929183406
mode6_shell_dp010,0.002011,32.446227869051,28.31435651466818,1.1459284922206272
mode6_shell_dp010,0.003016,49.562598369212246,22.33685316422298,2.218871118721273
mode6_shell_dp010,0.004022,49.585559879842805,18.770138847466768,2.6417257902455478
mode6_shell_dp010,0.005027,14.605269067978883,16.338665295316975,0.8939083336363515
mode6_shell_dp010,0.006032,11.396457503633119,14.543623870330425,0.7836050770593943
