case,code,excluded,runout_exists,steps,runtime_sec,label,case_name,resolution,dp,mode,configured_dp,frames,final_time,final_center_pressure,fv_final_center_pressure,final_volume_mean_pressure,fv_final_volume_mean_pressure,final_surface_shell_mean,fv_final_surface_shell_mean,final_surface_shell_p95_abs,center_pressure_rmse,volume_mean_pressure_rmse,surface_shell_pressure_rmse,median_flux_ratio,final_flux_ratio,flux_reversal,negative_pressure,final_porepressrate_maxAbs,final_kplastic_maxAbs,mode4_volume_rmse_same_dp,mode4_surface_rmse_same_dp,mode4_center_rmse_same_dp,mode4_median_flux_ratio_same_dp,mode5_volume_rmse_same_dp,mode5_surface_rmse_same_dp,mode5_center_rmse_same_dp,mode5_median_flux_ratio_same_dp,mode5_final_porepressrate_maxAbs_same_dp,gate_volume_improved_vs_mode4,gate_surface_improved_vs_mode4,gate_center_improved_vs_mode4,gate_flux_closer_to_one_vs_mode4,gate_volume_improved_vs_mode5,gate_surface_improved_vs_mode5,gate_center_improved_vs_mode5,gate_flux_closer_to_one_vs_mode5,gate_porepressrate_not_worse_than_mode5,pressure_only_gate_pass
mode6_shell_dp008,0,0,True,71,5.415538,mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,6,0.008,7,0.006032,842.7906097970692,999.9978840064646,806.6848670820677,615.7272911806482,873.8404755170878,85.86715131759048,1176.36404963105,358.8019340478275,179.63728843188937,496.7412468870037,1.9074931668464135,-14.200175314643218,True,False,3133016.8,0.0,167.66627257984058,410.7060801774249,381.5184905761095,2.2640647532253966,136.9042190868333,475.84834158995454,344.86603272567083,2.219937711870992,379567.16,False,False,True,True,False,False,False,True,False,False
mode6_shell_dp010,0,0,True,56,2.185929,mode6_shell_dp010,CaseCryer_PR_StrictSphere_C5k_CoarseDiffusionShellFlux,coarse,0.01,6,0.01,7,0.006032,631.4127694145941,999.9978840064646,591.0377296793852,615.7272911806482,577.0573599008761,85.86715131759048,611.561024393,245.05343733527118,63.83147173171838,581.0785840492481,1.078451292569484,0.7836050770593943,False,False,152041.13,0.0,74.78969200679691,525.6667126641632,292.17187336911525,1.6314291685363869,54.57950795920178,573.9140740313935,253.26640732330785,1.4940778452194272,347640.94,True,False,True,True,False,False,True,True,True,False
