case,case_name,resolution,configured_dp,diag_index,time,bins,shell_width,targets,sink_volume,fallback,outer_population,outer_pressure_mean,outer_radius_mean,boundary_value,du_dr_R,flux_density,flux,storage_rate,lap_corr_max,flux_storage_residual,pop0,pop1,pop2,pop3,pmean0,pmean1,pmean2,pmean3,rmean0,rmean1,rmean2,rmean3,vol0,vol1,vol2,vol3,fv_boundary_flux_integral,shell_flux_ratio_to_fv
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,0,0.0,4.0,0.008,594.0,0.000304128,0.0,594.0,1000.0,0.0475144,0.0,250000.0,1698.95,53.374,-53.374,25824600.0,0.0,594.0,278.0,194.0,90.0,1000.0,1000.0,1000.0,1000.0,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.9328e-05,4.608e-05,4099.121912940717,0.013020837421668536
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,1,0.0,4.0,0.008,594.0,0.000304128,0.0,594.0,1000.0,0.0475144,0.0,250000.0,1698.95,53.374,-53.374,25824600.0,0.0,594.0,278.0,194.0,90.0,1000.0,1000.0,1000.0,1000.0,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.9328e-05,4.608e-05,4099.121912940717,0.013020837421668536
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,2,0.00040217,4.0,0.008,594.0,0.000304128,0.0,594.0,929.42,0.0475144,0.0,232355.0,1579.03,49.6068,-49.6068,24001900.0,0.0,594.0,278.0,194.0,90.0,929.42,1000.0,1000.0,1000.0,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.9328e-05,4.608e-05,2475.516589725361,0.020038968919009945
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,3,0.00040217,4.0,0.008,594.0,0.000304128,0.0,594.0,929.42,0.0475144,0.0,232355.0,1579.03,49.6068,-49.6068,24001900.0,0.0,594.0,278.0,194.0,90.0,929.42,1000.0,1000.0,1000.0,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.9328e-05,4.608e-05,2475.516589725361,0.020038968919009945
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,4,0.000482604,4.0,0.008,594.0,0.000304128,0.0,594.0,915.99,0.0475144,0.0,228998.0,1556.22,48.8901,-48.8901,23655100.0,0.0,594.0,278.0,194.0,90.0,915.99,997.975,997.744,998.307,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.9328e-05,4.608e-05,2150.7955250822897,0.022731170597041973
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,5,0.000482604,4.0,0.008,594.0,0.000304128,0.0,594.0,915.99,0.0475144,0.0,228998.0,1556.22,48.8901,-48.8901,23655100.0,0.0,594.0,278.0,194.0,90.0,915.99,997.975,997.744,998.307,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.93281e-05,4.608e-05,2150.7955250822897,0.022731170597041973
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,6,0.000563038,4.0,0.008,594.0,0.000304128,0.0,594.0,901.58,0.0475144,0.0,225395.0,1531.74,48.1209,-48.1209,23282900.0,0.0,594.0,278.0,194.0,90.0,901.58,992.493,990.947,992.982,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.93281e-05,4.608e-05,1826.0744604392185,0.026352101758449473
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,7,0.000563038,4.0,0.008,594.0,0.000304128,0.0,594.0,901.58,0.0475144,0.0,225395.0,1531.74,48.1209,-48.1209,23282900.0,0.0,594.0,278.0,194.0,90.0,901.58,992.493,990.947,992.982,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.93282e-05,4.60801e-05,1826.0744604392185,0.026352101758449473
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,8,0.000643472,4.0,0.008,594.0,0.000304128,0.0,594.0,886.098,0.0475144,0.0,221525.0,1505.43,47.2946,-47.2946,22883100.0,0.0,594.0,278.0,194.0,90.0,886.098,983.308,979.252,983.59,0.0475144,0.0387183,0.030849,0.0229888,0.000304128,0.000142336,9.93283e-05,4.60801e-05,1501.3533957961472,0.03150131083889168
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,9,0.000643472,4.0,0.008,594.0,0.000304128,0.0,594.0,886.098,0.0475144,0.0,221525.0,1505.43,47.2946,-47.2946,22883100.0,0.0,594.0,278.0,194.0,90.0,886.098,983.308,979.252,983.59,0.0475144,0.0387183,0.0308491,0.0229888,0.000304128,0.000142336,9.93284e-05,4.60802e-05,1501.3533957961472,0.03150131083889168
