case,xi,timemax,gencase_code,dual_code,code,excluded,steps,nframes,early_peak_excess_max_0p005_0p020,mid_peak_excess_max_0p030_0p050,late_peak_excess_max_ge0p070,mid_to_early_peak_ratio,late_to_early_peak_ratio,final_vel_max,final_vel_mean,final_settlement_mean_z,final_PorePress_min,final_PorePress_max,final_PorePress_mean,final_hydro_min,final_hydro_max,final_hydro_mean,final_Excess_min,final_Excess_max,final_Excess_mean,final_bottom_Excess_mean,final_top_Excess_maxAbs,final_bottom_grad_proxy,max_vel_over_time,max_PorePressRate_over_time,max_DivVelContribution_over_time,max_HydraulicContribution_over_time,max_PorePressureAccelDiff_over_time,max_top_Excess_maxAbs_over_time,max_bottom_grad_abs_over_time
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,0,0,0,0,104874,11,29983.41450887,17404.99313762,nan,0.5804873601861148,nan,0.002788051300000008,0.002307864341570073,-0.00014959330600000003,50.82996883572,26665.67263431,14568.526213592368,50.829828300000415,9761.136759837,4906.467510047366,0.0,16908.3495961,9662.058494837354,16904.535457700003,0.0,-0.013627158496092306,0.010299189000000002,313187680.0,29201684.000000004,311778542.198437,24.31769600000008,0.0,0.12553793450570083
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,0,0,0,0,209747,21,29983.41450887,17404.99313762,16396.06099681,0.5804873601861148,0.5468376856131429,0.00266773460000001,0.0020898789873166003,-0.00025897975300000106,52.16308792597,25513.3361466,14228.981047126335,52.16300730000009,9761.206986684,4907.54059109243,0.0,15754.80507196,9321.440271018446,15752.12874368,0.0,-0.010143508503460907,0.010299189000000002,313187680.0,29201684.000000004,311778542.198437,24.31769600000008,0.0,0.12553793450570083
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,0,0,0,0,104874,11,27471.09052241,17072.41674684,nan,0.6214684754838142,nan,0.002737227400000002,0.0022688908156900524,-0.0001460781380000008,50.7842531473,26307.54271576,14351.674208462035,50.78421179999992,9761.134672269,4906.433026249299,0.0,16550.18200947,9445.240983944846,16546.407623659998,0.0,-0.013696659003471723,0.007752642000000001,279374560.0,21432141.333333336,277245349.62351346,21.617203000000075,0.0,0.09186393099298584
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,0,0,0,0,209747,21,27471.09052241,17072.41674684,16062.3211818,0.6214684754838142,0.5846990736933757,0.0026069474000001125,0.0020453848145467923,-0.0002533864029999991,52.0891698248,25210.0184804,14038.264738542153,52.0893342000002,9761.203939698,4907.4857203289375,0.0,15451.45676892,9130.778813837122,15448.8141256,0.0,-0.009916303997670184,0.007752642000000001,279374560.0,21432141.333333336,277245349.62351346,21.617203000000075,0.0,0.09186393099298584
