time_s,t_rel_s,Tv,bottom_excess_sph_kPa,bottom_excess_theory_kPa,bottom_z_m
0.0,0.0,0.0,10.6938583984375,10.69631892923921,0.004999999888241291
0.02,0.02,0.0054889045714733775,10.5185986328125,9.84809450285842,0.0049930475652217865
0.04,0.04,0.010977809142946755,9.6253115234375,9.476230475647627,0.004990996327251196
0.06,0.06,0.01646671371442013,9.236335546874999,9.190792144492407,0.004989381413906813
0.08,0.08,0.02195561828589351,9.005074414062499,8.950123765238189,0.004987987224012613
0.1,0.1,0.027444522857366888,8.795651171875,8.738074970246974,0.004986738320440054
0.12,0.12,0.03293342742884026,8.6029384765625,8.546359257159235,0.004985588882118463
0.14,0.14,0.03842233200031365,8.4272861328125,8.370052792214379,0.004984526010230183
0.16,0.16,0.04391123657178702,8.2595072265625,8.205946876116395,0.004983527213335037
0.18,0.18,0.0494001411432604,8.106054296875,8.05181246248001,0.004982584808021784
0.2,0.2,0.054889045714733777,7.959768945312501,7.906026447615786,0.004981682635843754
0.22,0.22,0.060377950286207155,7.8217572265625,7.767363433250242,0.004980822000652552
0.24,0.24,0.06586685485768053,7.68712578125,7.634871368302773,0.004979998618364334
0.26,0.26,0.07135575942915391,7.5602521484375,7.507793143073782,0.004979201732203365
0.28,0.28,0.0768446640006273,7.436251171875,7.385514958970144,0.004978430923074484
0.3,0.3,0.08233356857210065,7.319893945312501,7.267531101781509,0.004977680742740631
0.32,0.32,0.08782247314357404,7.204694726562501,7.153419175914692,0.0049769619014114145
0.34,0.34,0.09331137771504742,7.0939224609375,7.042822254895194,0.004976266482844949
0.36,0.36,0.0988002822865208,6.9852408203125,6.9354357229587285,0.004975576186552644
0.38,0.38,0.10428918685799417,6.8811728515625,6.830997382267547,0.004974914342164993
0.4,0.4,0.10977809142946755,6.7783263671875,6.729279897775585,0.004974260926246643
0.42,0.42,0.11526699600094092,6.67911484375,6.630084909916373,0.004973624926060438
0.44,0.44,0.12075590057241431,6.5798241210937505,6.533238397239798,0.004973000986501575
0.46,0.46,0.1262448051438877,6.4860759765625,6.438586956290118,0.004972422868013382
0.48,0.48,0.13173370971536105,6.3931619140625,6.345994798974323,0.00497184069827199
0.5,0.5,0.13722261428683444,6.30354443359375,6.255341268689721,0.0049712441861629484
0.52,0.52,0.14271151885830782,6.21424951171875,6.166518790525241,0.00497063877992332
0.54,0.54,0.1482004234297812,6.125018359375,6.0794311529179925,0.004970033187419176
0.56,0.56,0.1536893280012546,6.0375123046875,5.993992051175739,0.004969481285661459
0.58,0.58,0.15917823257272792,5.95309677734375,5.910123858617816,0.004968969011679291
0.6,0.6,0.1646671371442013,5.87349580078125,5.827756562551886,0.004968448681756854
0.62,0.62,0.1701560417156747,5.7941328125,5.746826843852322,0.004967915406450629
0.64,0.64,0.17564494628714808,5.714727734375,5.667277287238385,0.004967375239357352
0.66,0.66,0.18113385085862146,5.6353837890625,5.589055693220635,0.004966832138597966
0.68,0.68,0.18662275543009485,5.5560048828125,5.512114476788159,0.004966288572177291
0.7000000000000001,0.7000000000000001,0.19211166000156824,5.47682734375,5.436410140964885,0.0049657500348985195
0.72,0.72,0.1976005645730416,5.40098310546875,5.361902811273142,0.004965286329388618
0.74,0.74,0.20308946914451498,5.3311919921875,5.288555843543294,0.004964834311977029
0.76,0.76,0.20857837371598834,5.2617958984375,5.216335455367041,0.004964366694912315
0.78,0.78,0.21406727828746172,5.19228173828125,5.145210411782429,0.004963891347870231
0.8,0.8,0.2195561828589351,5.1228857421875,5.075151750380692,0.004963412182405591
0.8200000000000001,0.8200000000000001,0.2250450874304085,5.05337109375,5.006132536059294,0.004962931433692574
0.84,0.84,0.23053399200188185,4.9839068359375,4.938127644419778,0.004962449520826339
0.86,0.86,0.23602289657335523,4.914482128906251,4.871113570071545,0.004961967235431075
0.88,0.88,0.24151180114482862,4.844988671875,4.8050682571191965,0.004961485927924514
0.9,0.9,0.247000705716302,4.776316113281251,4.739970947992712,0.004961026459932327
0.92,0.92,0.2524896102877754,4.7151065429687495,4.675802050116293,0.00496063781902194
0.9400000000000001,0.9400000000000001,0.2579785148592488,4.6555013671875,4.6125430272774235,0.004960237955674529
0.96,0.96,0.2634674194307221,4.59594697265625,4.550176282672044,0.004959828546270728
0.98,0.98,0.2689563240021955,4.5364040039062505,4.488685071084712,0.004959414852783084
1.0,1.0,0.2744452285736689,4.476887109375,4.428053417137975,0.0049589989241212605
1.02,1.02,0.27993413314514226,4.417314550781249,4.368266042262723,0.004958581924438476
1.04,1.04,0.28542303771661565,4.357787109375,4.309308300006277,0.004958163620904088
1.06,1.06,0.29091194228808903,4.2982258789062495,4.251166118408347,0.004957745037972927
1.08,1.08,0.2964008468595624,4.23867216796875,4.193825949000567,0.00495732706040144
1.1,1.1,0.3018897514310358,4.17912890625,4.137274721458847,0.004956909222528338
1.12,1.12,0.3073786560025092,4.11969736328125,4.081499802964041,0.0049564945977181194
1.1400000000000001,1.1400000000000001,0.3128675605739826,4.0620640625,4.026488960186867,0.004956131987273693
1.16,1.16,0.31835646514545585,4.0112125,3.972230332561044,0.004955810494720936
1.18,1.18,0.32384536971692923,3.96120712890625,3.9187124022870283,0.004955485928803682
1.2,1.2,0.3293342742884026,3.91147998046875,3.8659239653416764,0.004955153586342931
1.22,1.22,0.334823178859876,3.8617953125,3.813854110582273,0.00495481239631772
1.24,1.24,0.3403120834313494,3.8121663085937496,3.762492199557483,0.004954463243484497
1.26,1.26,0.3458009880028228,3.76253115234375,3.7118278482922307,0.004954110970720649
1.28,1.28,0.35128989257429616,3.7128988281249997,3.661850911354764,0.004953758092597127
1.3,1.3,0.35677879714576954,3.663288671875,3.612551467281062,0.0049534054473042485
1.32,1.32,0.36226770171724293,3.61365478515625,3.5639198054899563,0.0049530530348420145
1.34,1.34,0.3677566062887163,3.56403505859375,3.5159464145101382,0.004952701274305582
1.36,1.36,0.3732455108601897,3.5143888671875003,3.468621971485186,0.004952349979430437
1.3800000000000001,1.3800000000000001,0.3787344154316631,3.4647501953125004,3.4219373326546205,0.004951998870819807
1.4000000000000001,1.4000000000000001,0.38422332000313647,3.4151958984375,3.3758835247535304,0.004951648321002722
1.42,1.42,0.3897122245746098,3.3659629882812503,3.3304517363194965,0.004951322637498379
1.44,1.44,0.3952011291460832,3.3226926757812496,3.2856333112500513,0.004951057396829129
1.46,1.46,0.40069003371755657,3.2820580078125,3.2414197466182126,0.004950794531032443
1.48,1.48,0.40617893828902996,3.241699609375,3.1978026807363347,0.00495053306221962
1.5,1.5,0.4116678428605033,3.2016478515625,3.154773890407269,0.00495026744902134
1.52,1.52,0.41715674743197667,3.1618544921875,3.112325285811038,0.0049499948509037495
1.54,1.54,0.42264565200345006,3.12215283203125,3.0704489062055624,0.0049497121013700966
1.56,1.56,0.42813455657492344,3.08242568359375,3.0291369154908825,0.004949425859376788
1.58,1.58,0.4336234611463968,3.04271875,2.9883815989800486,0.004949139337986708
1.6,1.6,0.4391123657178702,3.00301064453125,2.9481753599180136,0.004948852863162756
1.62,1.62,0.4446012702893436,2.96329677734375,2.9085107161702104,0.00494856690056622
1.6400000000000001,1.6400000000000001,0.450090174860817,2.9235951171875,2.869380297293332,0.004948280937969685
1.6600000000000001,1.6600000000000001,0.45557907943229037,2.88387001953125,2.8307768416987353,0.004947995487600565
1.68,1.68,0.4610679840037637,2.8441554687500004,2.7926931941275326,0.004947710456326604
1.7,1.7,0.4665568885752371,2.80444453125,2.7551223032120853,0.004947425657883286
1.72,1.72,0.47204579314671047,2.76473623046875,2.7180572191897237,0.0049471411854028705
1.74,1.74,0.47753469771818385,2.72503095703125,2.681491091772994,0.004946857038885355
1.76,1.76,0.48302360228965724,2.68534423828125,2.6454171681201903,0.004946573264896869
1.78,1.78,0.4885125068611306,2.6459914062500003,2.609828790318955,0.00494630872271955
1.8,1.8,0.494001411432604,2.6119228515625,2.5747193935304367,0.004946103412657976
1.82,1.82,0.4994903160040774,2.58136494140625,2.540082507857347,0.004945903597399592
1.84,1.84,0.5049792205755508,2.55117939453125,2.5059117522800265,0.004945699358358979
1.86,1.86,0.5104681251470241,2.52101572265625,2.472200833619817,0.004945509415119886
1.8800000000000001,1.8800000000000001,0.5159570297184976,2.4898908203125,2.4389435451404893,0.004945378890261054
1.9000000000000001,1.9000000000000001,0.5214459342899709,2.45991201171875,2.4061337691556117,0.004945242358371615
1.92,1.92,0.5269348388614442,2.4298955078125,2.3737654703910898,0.004945096606388688
1.94,1.94,0.5324237434329177,2.39994091796875,2.341832696411232,0.004944942379370332
1.96,1.96,0.537912648004391,2.3688571289062503,2.3103295772619723,0.004944750526919961
1.98,1.98,0.5434015525758644,2.3385529296875003,2.2792503220616394,0.004944536602124572
2.0,2.0,0.5488904571473378,2.308121484375,2.2485892185884846,0.004944333806633949
2.02,2.02,0.5543793617188111,2.2773327148437503,2.2183406327917234,0.004944167705252767
2.04,2.04,0.5598682662902845,2.24745703125,2.188499009024171,0.004944003000855446
2.06,2.06,0.5653571708617579,2.2176292968749998,2.1590588664781034,0.004943831264972687
2.08,2.08,0.5708460754332313,2.18769267578125,2.1300147985375157,0.004943654872477055
2.1,2.1,0.5763349800047046,2.1575685546875003,2.1013614723201495,0.00494346315972507
2.12,2.12,0.5818238845761781,2.1277308593749997,2.07309362663838,0.004943270096555352
2.14,2.14,0.5873127891476514,2.09765751953125,2.045206071828014,0.004943081131204963
2.16,2.16,0.5928016937191248,2.06757373046875,2.017693688375116,0.00494290697388351
2.18,2.18,0.5982905982905982,2.03777861328125,1.9905514267162838,0.004942731047049165
2.2,2.2,0.6037795028620716,2.00800068359375,1.9637743051562673,0.004942553676664829
2.22,2.22,0.6092684074335449,1.97867333984375,1.9373574093746655,0.00494237351231277
2.24,2.24,0.6147573120050184,1.95527763671875,1.911295891296106,0.004942195443436504
2.2600000000000002,2.2600000000000002,0.6202462165764917,1.9343736328125,1.8855849682943158,0.004942025383934378
2.2800000000000002,2.2800000000000002,0.6257351211479651,1.91383916015625,1.8602199226114156,0.00494185583665967
2.3000000000000003,2.3000000000000003,0.6312240257194385,1.893665234375,1.8351961000732702,0.004941682424396276
2.32,2.32,0.6367129302909117,1.8735521484375,1.8105089091887636,0.00494150510057807
2.34,2.34,0.6422018348623851,1.8535931640624999,1.786153820437859,0.0049413214437663555
2.36,2.36,0.6476907394338585,1.83361728515625,1.7621263652763834,0.004941133223474026
2.38,2.38,0.6531796440053319,1.81363837890625,1.7384221353800082,0.004940942861139774
2.4,2.4,0.6586685485768052,1.7936954101562501,1.7150367818667431,0.004940751241520047
2.42,2.42,0.6641574531482787,1.773730078125,1.6919660144380824,0.004940559901297092
2.44,2.44,0.669646357719752,1.75376083984375,1.669205600615814,0.004940369306132198
2.46,2.46,0.6751352622912254,1.7337828125,1.646751364944958,0.004940179269760847
2.48,2.48,0.6806241668626988,1.7138294921875,1.6245991881897783,0.004939990350976586
2.5,2.5,0.6861130714341722,1.69386630859375,1.6027450066016924,0.004939802270382643
2.52,2.52,0.6916019760056455,1.67390185546875,1.5811848111410503,0.004939615167677403
2.54,2.54,0.697090880577119,1.6539676757812498,1.5599146467525264,0.004939428716897965
2.56,2.56,0.7025797851485923,1.63400126953125,1.538930611616613,0.004939243011176586
2.58,2.58,0.7080686897200658,1.61406533203125,1.5182288564361708,0.004939058190211653
2.6,2.6,0.7135575942915391,1.5941087890624999,1.4978055837317894,0.004938874114304781
2.62,2.62,0.7190464988630125,1.57416904296875,1.4776570471248864,0.004938691249117255
2.64,2.64,0.7245354034344859,1.5542216796875,1.4577795506774516,0.004938508989289403
2.66,2.66,0.7300243080059593,1.53427841796875,1.4381694481794403,0.004938327381387353
2.68,2.68,0.7355132125774326,1.51433076171875,1.4188231424940403,0.004938146192580461
2.7,2.7,0.741002117148906,1.49438837890625,1.3997370848791586,0.004937965841963887
2.72,2.72,0.7464910217203794,1.47445400390625,1.380907774356981,0.004937786096706987
2.74,2.74,0.7519799262918527,1.454515234375,1.3623317570559572,0.004937606863677502
2.7600000000000002,2.7600000000000002,0.7574688308633262,1.434587109375,1.3440056255764685,0.004937428142875433
2.7800000000000002,2.7800000000000002,0.7629577354347995,1.41463740234375,1.3259260183621437,0.004937250167131424
2.8000000000000003,2.8000000000000003,0.7684466400062729,1.394722265625,1.3080896190962628,0.004937072517350316
2.82,2.82,0.7739355445777462,1.37478671875,1.2904931560695911,0.0049368955194950105
2.84,2.84,0.7794244491492196,1.354848046875,1.2731334016016709,0.004936718847602606
2.86,2.86,0.7849133537206929,1.3349080078125,1.2560071714229324,0.004936543107032776
2.88,2.88,0.7904022582921664,1.3149807617187501,1.2391113241223821,0.004936367738991976
2.9,2.9,0.7958911628636397,1.2950435546875,1.222442760542412,0.004936192836612463
2.92,2.92,0.8013800674351131,1.2751390624999999,1.2059984232240333,0.004936018213629723
2.94,2.94,0.8068689720065865,1.25518994140625,1.1897752958276628,0.004935844615101814
2.96,2.96,0.8123578765780599,1.2352716796874998,1.173770402608214,0.004935671761631966
2.98,2.98,0.8178467811495332,1.215370703125,1.1579808078448266,0.004935499979183078
3.0,3.0,0.8233356857210066,1.19544140625,1.1424036153064576,0.004935329919680953
3.02,3.02,0.82882459029248,1.175546484375,1.1270359677263304,0.004935162141919136
3.04,3.04,0.8343134948639533,1.15565107421875,1.1118750462692366,0.004934997716918588
3.06,3.06,0.8398023994354268,1.135745703125,1.0969180700109349,0.004934838507324457
3.08,3.08,0.8452913040069001,1.11590361328125,1.0821622954211452,0.004934687726199627
3.1,3.1,0.8507802085783736,1.0960828125,1.0676050158443133,0.004934551240876317
3.12,3.12,0.8562691131498469,1.0762923828125,1.053243560970577,0.004934440273791552
3.14,3.14,0.8617580177213203,1.0575309570312499,1.0390752963950787,0.004934367863461376
3.16,3.16,0.8672469222927937,1.04306572265625,1.025097623741499,0.004934300342574716
3.18,3.18,0.8727358268642671,1.0306021484375,1.0113079791612551,0.004934237292036414
3.2,3.2,0.8782247314357404,1.0193123046875001,0.9977038332783392,0.004934179689735174
3.22,3.22,0.8837136360072139,1.00845458984375,0.9842826907928229,0.004934124369174242
3.24,3.24,0.8892025405786872,0.99763486328125,0.971042089950882,0.004934069840237499
3.2600000000000002,3.2600000000000002,0.8946914451501606,0.98734482421875,0.9579796021081448,0.00493401512503624
3.2800000000000002,3.2800000000000002,0.900180349721634,0.97719619140625,0.9450928312910103,0.004933959199115634
3.3000000000000003,3.3000000000000003,0.9056692542931074,0.9670858398437501,0.9323794137544407,0.004933901224285364
3.3200000000000003,3.3200000000000003,0.9111581588645807,0.9569948242187499,0.9198370175333789,0.0049338418990373615
3.34,3.34,0.916647063436054,0.9465637695312501,0.9074633420418532,0.004933781130239368
3.36,3.36,0.9221359680075274,0.9361614257812501,0.895256117655421,0.00493371756747365
3.38,3.38,0.9276248725790007,0.9259260742187501,0.883213105243336,0.004933653306216002
3.4,3.4,0.9331137771504742,0.91581015625,0.8713320958116898,0.004933589044958353
3.42,3.42,0.9386026817219475,0.90578408203125,0.8596109100874199,0.004933525016531349
3.44,3.44,0.9440915862934209,0.8955662109375,0.8480473981090694,0.004933461872860789
3.46,3.46,0.9495804908648943,0.88538720703125,0.8366394388364939,0.004933400312438607
3.48,3.48,0.9550693954363677,0.87505078125,0.8253849397777138,0.004933339497074485
3.5,3.5,0.960558300007841,0.86499755859375,0.8142818365841827,0.004933279054239392
3.52,3.52,0.9660472045793145,0.8547853515624999,0.8033280926651557,0.004933219822123647
3.54,3.54,0.9715361091507878,0.8447017578125,0.7925216988346878,0.0049331618007272485
3.56,3.56,0.9770250137222612,0.834612890625,0.7818606729323313,0.004933105222880841
3.58,3.58,0.9825139182937346,0.82460732421875,0.7713430594706296,0.004933049390092492
3.6,3.6,0.988002822865208,0.81463876953125,0.7609669292689261,0.004932993417605757
3.62,3.62,0.9934917274366813,0.8046770507812501,0.7507303790900304,0.004932937258854508
3.64,3.64,0.9989806320081548,0.7946707031250001,0.7406315313008747,0.0049328806810081
3.66,3.66,1.0044695365796281,0.7846969726562499,0.7306685335180516,0.004932824382558465
3.68,3.68,1.0099584411511016,0.77473876953125,0.7208395582902497,0.0049327675253152846
3.7,3.7,1.0154473457225748,0.76477177734375,0.7111428027391558,0.004932710388675332
3.72,3.72,1.0209362502940482,0.7546904296875,0.7015764882393614,0.0049326532054692505
3.74,3.74,1.0264251548655217,0.7444595703125,0.6921388601026783,0.00493259490467608
3.7600000000000002,3.7600000000000002,1.031914059436995,0.73439580078125,0.6828281872265097,0.0049325366038829085
3.7800000000000002,3.7800000000000002,1.0374029640084683,0.7244412109375,0.6736427618088702,0.004932477790862322
3.8000000000000003,3.8000000000000003,1.0428918685799418,0.714480078125,0.6645808990165096,0.004932418512180447
3.8200000000000003,3.8200000000000003,1.0483807731514152,0.7042775390624999,0.6556409366798994,0.004932358907535672
3.84,3.84,1.0538696777228884,0.69417890625,0.6468212349821639,0.004932300001382828
