target_Tv,part,time_s,t_rel_s,actual_Tv,bottom_excess_sph_kPa,bottom_excess_theory_kPa,rms_excess_pa,max_speed
0.005,PartFluid_0001.vtk,0.02,0.02,0.0054889045714733775,10.5185986328125,9.84809450285842,476.58190840894014,0.0010603743139659906
0.05,PartFluid_0009.vtk,0.18,0.18,0.0494001411432604,8.106054296875,8.05181246248001,45.26046662144044,0.0011295768202861979
0.1,PartFluid_0018.vtk,0.36,0.36,0.0988002822865208,6.9852408203125,6.9354357229587285,40.28557252690016,0.001065232213023608
0.25,PartFluid_0046.vtk,0.92,0.92,0.2524896102877754,4.7151065429687495,4.675802050116293,32.60353128426949,0.0007618462558324783
0.4,PartFluid_0073.vtk,1.46,1.46,0.40069003371755657,3.2820580078125,3.2414197466182126,32.17593343644644,0.000531579775431746
0.5,PartFluid_0091.vtk,1.82,1.82,0.4994903160040774,2.58136494140625,2.540082507857347,32.23578255447434,0.0004186154074112859
0.7,PartFluid_0128.vtk,2.56,2.56,0.7025797851485923,1.63400126953125,1.538930611616613,50.9437829565874,0.00025975596703745355
1.0,PartFluid_0182.vtk,3.64,3.64,0.9989806320081548,0.7946707031250001,0.7406315313008747,35.75792456612346,0.00012942285801764656
