case,code,excluded,dtmin_adjustments,steps,restart_soil_restored,restart_porepress_restored,initialstress_ignored_on_restart,case_key,frames,first_part,final_part,final_p_eff_mean,final_q_mean,final_porepress_mean,final_porepress_min,final_negative_pressure_count,porepressrate_maxabs_all,velocity_max_all,divvel_maxabs_all,kplastic_max_all,q_change_from_first,stageB_final_q_vs_t4n_instant_switch
CaseT4n2_StageA_AllSurface_FeedbackOff,0.0,0.0,0.0,56.0,False,False,False,stageA,24,0,23,46.376116354217885,15.649259885861449,-2960.1748324506607,-9328.680944399,354,39813860.0,0.0011043684359660847,0.059767481,0.0,15.649259885861449,
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,0.0,0.0,0.0,30.0,True,True,True,stageB_restart,13,23,35,13.50238370890868,37.88510216955231,-15464.685158778582,-19439.63692789,407,40242896.0,0.001258040622823072,0.060440619,0.0,22.235842283690864,-8.404897830447688
CaseT4n2_Fresh_Lateral_FeedbackOff,0.0,0.0,0.0,56.0,False,False,False,fresh_lateral,24,0,23,17.110259377968877,51.473656499067395,-14222.926513579432,-21999.9068635,407,44764000.0,0.0013068735,0.067193255,0.0,51.473656499067395,
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,0.0,0.0,0.0,36.0,True,True,True,stageC_feedback,13,23,35,-3250.120914314497,4049.011886026251,-1349175.379736829,-24248892.15657,303,1844941400000.0,28.230066000000104,2767.2959,0.0,4033.3626261403897,
