case,case_key,part,n,velocity_max,divvel_maxabs,divvel_mean,porepressrate_maxabs,porepress_mean,porepress_min,porepress_max,negative_pressure_count,p_eff_mean,q_mean,kplastic_max,q_interior,q_lateral,q_top_cap,q_bottom_cap,q_edge,p_eff_interior,p_eff_lateral,p_eff_top_cap,p_eff_bottom_cap,p_eff_edge
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,23,407,0.00043270917005006526,0.0,0.0,0.0,-2960.1748324506607,-9328.680944399,1372.902806793,354,46.376116354217885,15.649259885861449,0.0,8.027975334598715,18.075031015797606,16.200206055886465,16.20020511450741,15.514043279486339,44.965183,47.4475580680272,41.93761222037037,41.93761273148148,46.72140532767859
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,24,407,0.0004718622006226645,0.01790015,1.130304953316721e-05,11925071.0,-1943.3713801652561,-10459.72274269,5476.304308459,260,48.918125296396425,16.14591164348063,0.0,8.6481511100594,19.23061619859605,16.483003838123018,16.48300303712118,14.856818038246887,50.83077075132276,52.639077744897996,39.921730248148144,39.921730375925925,44.22229383095239
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,25,407,0.0008101979605481548,0.03588796,0.009472063619847664,23928484.0,-2906.6845735236343,-12496.92728598,6290.942163575,282,46.509842067321806,16.031380421634328,0.0,8.550964308354192,19.87952877038125,16.30002397625657,16.300024231982565,13.418505119962834,50.38877746031743,53.397017392857144,32.72864619648148,32.72864600166666,36.70505422172618
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,26,407,0.0011393218091831877,0.054413099,0.020257726326781317,36250724.0,-6332.829622196903,-19569.62502295,4596.285425397,340,37.94447845110567,15.727923481299282,0.0,7.717092030953154,20.567973724503968,15.24375325103091,15.243753468254551,11.919554357043264,43.56477251851853,50.817658187074834,16.137997375925927,16.13799603518519,19.26422477559524
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,27,407,0.0012144010131657098,0.0582522,0.02417619859262899,38785396.0,-9219.171941623657,-20384.00446162,-160.157225455,407,30.10874750013926,16.0221085594384,0.0,7.031160017957435,20.88820576895875,14.298585452262024,14.29858610627785,13.11783646241501,35.67870101058201,47.06710831309526,3.814936422962963,3.8149342179629624,5.750099714166665
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,28,407,0.008012909755533032,0.12154628,0.02541033374348897,80994144.0,-14296.772726144927,-27431.03091957,-4250.259646476,407,17.414744391610146,21.129011433115807,0.0,27.537806568890627,23.794987965614926,13.35360583471465,13.353608379418585,15.357842342170525,12.784201437248678,36.33996407058843,4.96708542462963,4.967086738888889,-9.098676606607139
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,29,407,0.009084760390945005,0.43034214,0.024617631107110582,286806620.0,-17622.99172670077,-29757.9124976,17567.66976729,402,9.099196327354631,33.28585879864604,0.0,61.36808986257745,31.15680267714444,37.83979247269612,37.83980098178725,19.7516862750495,11.357811111216932,20.188611056462594,12.451077844259263,12.451081900370372,-12.655141403958329
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,30,407,0.017319794445673296,0.54389298,0.0287607303813268,362257180.0,-23664.88088270361,-96149.10200744,-7295.891545504,407,-6.005528353071256,44.30497919319558,0.0,78.83913686674077,45.178421075793025,46.30525686248856,46.305295170197326,22.708039656983548,-37.14360318677248,16.58191776853742,-23.193063162962957,-23.19306485555556,-22.49382693958334
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,31,407,0.08920736600000392,2.0297086,0.03967592398599515,1354382000.0,-26787.748631528953,-42834.86156614,-13342.95319016,407,-12.889396341072896,58.92148157374616,0.0,104.76257094869625,49.65751578513764,94.43182070713662,94.43189389653521,37.93375958923,-51.693423682010604,-3.4782171607993178,20.728453724074072,20.7284995,-18.337439405059524
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,32,407,0.23122472648135073,5.6925373,0.04756785485552827,3789209300.0,-35145.16342056236,-231333.2506296,996581.235482,358,-33.782838740376754,261.61833267565714,0.0,540.4364523356077,307.751108100085,194.29605289222022,194.29629032638,45.69004943122916,525.4434419126985,-138.3815846948979,-275.20463629629626,-275.20463777777775,-87.69995244910714
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,33,407,2.162901144339486,57.224308,0.4725614656437348,38181212000.0,-104818.89995963692,-355140.9011843,-1792.461437329,407,-207.9657711488264,188.41768389583768,0.0,267.4768300399677,168.48808438255173,237.76139605293514,237.76170514402904,162.9631847550226,-572.3036019788361,-236.77612752670063,-71.63601599698148,-71.63582204777776,3.572072742261902
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,34,407,1.2606888000009295,476.37143,5.786890993906625,317493310000.0,-559274.9143641156,-34926175.29106,2848836.500739,81,-1344.0781890335788,8563.993730817238,0.0,16813.67276512355,10153.251012562603,6128.705847320543,6128.711635609667,1925.119206114443,-19782.628913227516,2145.489449098639,3889.568335555555,3889.5731955555552,1238.6189197619046
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,stageC_feedback,35,407,28.230066000000104,2767.2959,29.95530107371008,1844941400000.0,-1349175.379736829,-24248892.15657,2368302.467861,303,-3250.120914314497,4049.011886026251,0.0,7403.58100742139,4424.434316205161,2918.525813348806,2918.5273367705827,1868.4477809533607,-12862.473452857144,-2972.304285585031,565.5590862166667,565.5570357462963,444.1800462797618
