variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045,0.0,407,0,0,0,120.00982800982801,98.0,0.8068721013033252,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.0,0.19747700000000076,0.0743089999999997,-50.0,0.1413716694115407,0.0,0.0,0.0,112.0,0.0
overhang045,0.000503,407,0,0,0,120.00982800982801,98.0,0.8048135190675719,0.036499626553432335,0.05130972995895126,36.35917719410319,8.43044616811408,0.23520998219690914,4855.5391,120.0,0.8000147447174439,0.0,0.0,0.42729850000000363,0.5399649999999968,-40.67781453808355,0.11501381098523823,-5282.987599130987,15411313.0,0.0009684700480957502,112.0,0.0
overhang045,0.000603,407,0,0,0,120.00982800982801,98.0,0.8048155027637928,0.0375910269042612,0.052868801206530265,34.82027102538901,14.720291101496478,0.4210501253618647,4755.7813,120.0,0.8000164056019641,0.0,0.0,0.47855450000000116,0.6074869999999974,-43.23195877641278,0.12223548368304765,-7263.4150541721265,30320888.0,0.0011729010076788262,112.0,0.0
overhang045,0.000704,407,0,0,0,120.00982800982801,98.0,0.8048175792205501,0.03929274911934406,0.055257613102013915,33.601660373955795,21.379843381831133,0.6529623384764862,4625.1934,120.00003619164617,0.8000176714004895,2.667371272727272e-08,4.737562705159706e-08,0.5214780000000014,0.6594409999999948,-46.1396943808354,0.13045691241513968,-8946.88386154578,28382186.0,0.0016907112556991501,112.0,0.0
overhang045,0.000804,407,0,0,0,120.00982800982801,98.0,0.8048199061491957,0.04090513688488053,0.05750230995898627,31.324966215888637,25.5844619571139,0.9671871153225992,4460.0469,120.00131511056522,0.8000184277149887,9.740827142506147e-07,1.5375434914004914e-06,0.49951899999999905,0.667950999999996,-46.39349034889434,0.13117450360902788,-10283.923058752065,26847418.0,0.0022106754951845033,112.0,0.0
overhang045,0.000905,407,0,0,0,120.00982800982801,98.0,0.8048222755558322,0.04200446862721686,0.05900294533448846,29.572387978918904,29.961492052523493,1.5281174806637878,4258.1787,120.00260213759218,0.8000186047174438,1.9272559353304666e-06,2.9862669697395576e-06,0.49951899999999905,0.667950999999996,-47.2802781695331,0.13368183710137835,-11272.311349615333,24271976.0,0.0026743794035267656,112.0,0.0
overhang045,0.001005,407,0,0,0,120.00982800982801,98.0,0.8048245736442615,0.042802748735782846,0.06004454509353045,28.62512232405406,32.975208926093764,2.250675209884647,4019.8486,120.00370267813263,0.8000181579115472,2.7422108416093356e-06,5.119572713289927e-06,0.49951899999999905,0.667950999999996,-48.06534521867317,0.13590156188811683,-11914.785782165533,20663174.0,0.00308338113462146,112.0,0.0
overhang045,0.001106,407,8,0,8,120.00982800982801,98.0,0.8048267551562068,0.04375349764778702,0.06125579619185818,28.667145771904984,35.513116104932166,-1.225417062142588,3748.8152,120.00447800982802,0.8000169904668308,3.3163789893611812e-06,7.557161543980341e-06,0.37523749999999795,0.7865990000000023,-49.51602865110566,0.1400032726607297,-12220.73327938093,19334364.0,0.0034454452617608275,112.0,0.0
overhang045,0.001206,407,8,0,8,120.00982800982801,98.0,0.8048286701578438,0.0450415172291044,0.0629003662065317,29.45175297963145,37.73013964784579,2.123961306626417,3453.3967,120.00510385749386,0.8000152454545467,3.7798852291646193e-06,1.0086332246486489e-05,0.37523749999999795,0.7865990000000023,-51.48189556511056,0.14556163041020545,-12215.278539489767,24022422.0,0.0037672090637928613,112.0,0.0
overhang045,0.001307,407,8,0,8,120.00982800982801,98.0,0.8048302688579904,0.04656537306701046,0.06485329996354289,30.691473416158907,39.878416218362645,2.202626982156307,3528.4258,120.00576670761666,0.8000129894840293,4.270695642712531e-06,1.2523657582651104e-05,0.37523749999999795,0.7865990000000023,-53.84884194299752,0.152254013627195,-11933.738850861184,27468794.0,0.004052436567187129,112.0,0.0
