case,variant,description,platen_radius,time_max,specimen_geometry
CaseM3m_OverhangReference,overhang_ref,M3l platen overhang reference,0.04,0.0025,single R=0.03 cylinder
CaseM3m_Overhang045,overhang045,platen radius increased to 0.045 m,0.045,0.0025,single R=0.03 cylinder
CaseM3m_TrimmedEdge,trimmed_edge,overhang plus trimmed cap edge,0.04,0.0025,"cap R=0.025, core R=0.03"
CaseM3m_SteppedCap,stepped_cap,overhang plus stepped cap transition,0.04,0.0025,"cap R=0.025, transition R=0.028, core R=0.03"
CaseM3m_Overhang045Extended,overhang045_extended,short extended check for 0.045 m overhang,0.045,0.004,single R=0.03 cylinder
