variant,failed,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045,0,8871,0,0,0,119.8311351595085,97.71649194002931,0.8045751354636366,0.04674099123221791,0.0646751707709234,40.1220582984302,37.45021861013708,1.5912215762478308,4855.5391,120.00632566452342,0.8000023154356884,4.684151101034429e-06,1.774642404505729e-05,0.37551965442454993,0.7102332962462443,-61.4304059417372,0.1736903808122403,-7858.788469993767,36441872.0,0.005778676546033171,112.0,0.0
overhang045,1,83,83,35,48,139.10843373493975,128.3012048192771,0.9124354094735996,0.05372147508354151,0.07387392231900654,28.552040153012047,57.34420805981531,-23.560643950659863,6994.145,120.0130272289156,0.8000036743373493,9.643489836626504e-06,2.8884716574939766e-05,0.36136734578313284,0.7853737469879529,-64.4286963373494,0.182167847184406,-13674.058285254452,28431976.0,0.005406269659052464,112.0,0.0
overhang045_extended,0,14888,0,0,0,119.81777270284793,97.78486029016658,0.8049011562818397,0.0522783132435441,0.07192095791630788,48.398516486446766,46.144263602731435,1.403486187068439,4960.1743,120.00908460437662,0.7999896987627786,6.726517282198515e-06,3.826624069585294e-05,0.3639579238446914,0.5514014699086875,-75.01629901436853,0.21210358849473185,-5895.895372754214,48706272.0,0.006047836349926917,112.0,0.0
overhang045_extended,1,171,171,123,48,136.73099415204678,116.73099415204679,0.906649375920197,0.08506672078642581,0.11746446772152198,42.56709587933724,74.30478151801167,-10.581825110603976,6994.145,120.03011742690047,0.7999656845029229,2.2300362408362567e-05,0.00010580395453052633,0.3509744280701746,0.5697821929824547,-88.10845277777774,0.24912078116924677,-14141.42510134275,28431976.0,0.006048011197177996,112.0,0.0
overhang_ref,0,8725,0,0,0,116.79060171919771,97.64893982808023,0.7987006249115701,0.04772474574827597,0.06588574570282002,39.406584499971004,37.419577679022176,1.6447533768454037,4841.6807,120.00507457192087,0.8000047631232045,3.7576844016206677e-06,1.8261225724619667e-05,0.36503346583957996,0.7148841832549251,-61.3524198979443,0.17346988046820425,-8982.260676661619,38350056.0,0.005698675571692108,112.0,0.0
overhang_ref,1,229,229,37,192,147.74672489082968,111.37554585152839,0.9656213427013228,0.025398270683375333,0.0353333227656448,6.538119075347891,36.78482593959578,-21.84723227209923,3851.8447,119.9986469432316,0.8000417501310045,-1.0019311808733627e-06,6.3049469689082985e-06,0.341898895414847,0.7830623144104787,-25.83377714185152,0.07304328403498499,-15904.264387714758,30301938.0,0.0028241763020525387,112.0,0.0
stepped_cap,0,8725,0,0,0,116.79060171919771,97.64893982808023,0.7987006249115701,0.04772474574827597,0.06588574570282002,39.406584499971004,37.419577679022176,1.6447533768454037,4841.6807,120.00507457192087,0.8000047631232045,3.7576844016206677e-06,1.8261225724619667e-05,0.36503346583957996,0.7148841832549251,-61.3524198979443,0.17346988046820425,-8982.260676661619,38350056.0,0.005698675571692108,112.0,0.0
stepped_cap,1,229,229,37,192,147.74672489082968,111.37554585152839,0.9656213427013228,0.025398270683375333,0.0353333227656448,6.538119075347891,36.78482593959578,-21.84723227209923,3851.8447,119.9986469432316,0.8000417501310045,-1.0019311808733627e-06,6.3049469689082985e-06,0.341898895414847,0.7830623144104787,-25.83377714185152,0.07304328403498499,-15904.264387714758,30301938.0,0.0028241763020525387,112.0,0.0
trimmed_edge,0,8725,0,0,0,116.79060171919771,97.64893982808023,0.7987006249115701,0.04772474574827597,0.06588574570282002,39.406584499971004,37.419577679022176,1.6447533768454037,4841.6807,120.00507457192087,0.8000047631232045,3.7576844016206677e-06,1.8261225724619667e-05,0.36503346583957996,0.7148841832549251,-61.3524198979443,0.17346988046820425,-8982.260676661619,38350056.0,0.005698675571692108,112.0,0.0
trimmed_edge,1,229,229,37,192,147.74672489082968,111.37554585152839,0.9656213427013228,0.025398270683375333,0.0353333227656448,6.538119075347891,36.78482593959578,-21.84723227209923,3851.8447,119.9986469432316,0.8000417501310045,-1.0019311808733627e-06,6.3049469689082985e-06,0.341898895414847,0.7830623144104787,-25.83377714185152,0.07304328403498499,-15904.264387714758,30301938.0,0.0028241763020525387,112.0,0.0
