variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045,0,bottom_cap_zone,396,0,0,0,160.61111111111111,105.5,0.9940114943796438,0.01521943693759468,0.02115953280553522,17.56232461452021,17.646394370043726,2.549559753484639,4855.5391,119.9986223232329,0.8000368764646468,-1.0201792638787874e-06,1.0770260820934334e-06,0.37538846818181676,0.7109298181818174,-24.771349720959595,0.07003934127258321,-11123.651861660317,18890212.0,0.00037302822869019365,112.0,0.0
overhang045,0,edge_ring,2452,0,0,0,122.42251223491027,68.23164763458401,0.8068398232505186,0.06474040360279636,0.08787029139034441,44.05682649060907,42.56165957189248,1.841776935002067,4821.5801,120.01871717781358,0.7999815581402928,1.3860149343276569e-05,3.7115432765722366e-05,0.37565749477978316,0.7105831957585607,-63.276679623837644,0.17891059666482295,-9714.180591425787,36441872.0,0.005778676546033171,112.0,0.0
overhang045,0,interior,1119,0,0,0,149.9785522788204,146.4727435210009,0.9850691634468708,0.03672566031760478,0.05168956405182746,29.984859356400978,39.912351517530304,2.1441243213266588,4465.2183,119.99480705093818,0.8000287686505811,-3.847035824741734e-06,1.0870435285397674e-05,0.3833633341376276,0.7134659204646941,-56.35083985165329,0.15932824605141202,-9979.657973913034,29089508.0,0.0018974048748671328,112.0,0.0
overhang045,0,lateral_surface,4300,0,0,0,101.41953488372093,97.10604651162791,0.712398215792339,0.03932983742329701,0.05489893113564746,39.7465994153027,33.755084917584824,1.2889769968552764,4792.6309,119.99940468837187,0.8000119942790691,-4.4014120652441996e-07,4.922820916202093e-06,0.37546538269766777,0.7107254055814547,-60.430093261860605,0.1708620633424866,-5852.228849374286,31419126.0,0.0024970820679581676,112.0,0.0
overhang045,0,measurement_core,208,0,0,0,165.98076923076923,165.98076923076923,0.9999820752109178,0.02403199957958725,0.033910467252957516,34.820151321014414,38.218362204923146,1.637764813077508,4361.6265,119.99481110576956,0.8000217182211539,-3.844320650576921e-06,5.6600352621634615e-06,0.3333187206730764,0.675892067307694,-60.253099889423055,0.17036162637176108,-7643.509449400018,26494876.0,0.0012591891,112.0,0.0
overhang045,0,top_cap_zone,396,0,0,0,153.5,105.5,0.9893566537002512,0.0875151409887127,0.12357804844154492,73.82508455218857,58.3674798417998,0.7765975068871176,4699.0015,120.05105063131306,0.7999062416161622,3.780067724070531e-05,7.950896433102024e-05,0.37538846818181676,0.7109298181818174,-112.4914711742424,0.3180621414892571,-9013.899695272376,19451934.0,0.004119412454447066,112.0,0.0
overhang045,1,edge_ring,12,12,12,0,109.0,50.0,0.7450820329546762,0.15233472537164103,0.20257814865389254,75.79274183333335,94.6510081367375,1.3030317989478108,6994.145,120.10619333333335,0.79983483,7.8625677e-05,0.00014156625666666666,0.32041736666666676,0.7817563333333332,-127.69085,0.3610373726615726,-11745.156162544,10468091.0,0.005406269659052464,112.0,0.0
overhang045,1,interior,57,57,9,48,152.87719298245614,151.4561403508772,0.995346136173234,0.026006382610909793,0.036616099503890054,7.132685018128654,43.358166431372624,-34.85429181370204,2548.9229,119.996871754386,0.8000448843859649,-2.319000050175439e-06,6.168163882807016e-06,0.37379486491228114,0.7864715614035093,-35.95436326315789,0.101658567142832,-18072.810634784277,16179763.0,0.001839547400000001,112.0,0.0
overhang045,1,lateral_surface,12,12,12,0,97.33333333333333,88.33333333333333,0.6710580394041025,0.0856523445702599,0.12023513293526183,77.7232361388889,82.51023260296499,1.06580486263713,2755.1899,120.00026666666668,0.79997607,1.982465083333333e-07,2.502476986666667e-05,0.3478274333333333,0.7841776666666666,-128.05686750000004,0.3620722627617495,3381.17777025475,28431976.0,0.0018847258637385896,112.0,0.0
overhang045,1,measurement_core,2,2,2,0,178.0,178.0,1.001864178064538,0.06033689190463784,0.08532925084297825,60.5322755,81.10944675000013,1.36757276861456,1632.3728,119.99102500000001,0.80000788,-6.6472113999999995e-06,2.3376908e-05,0.3341224,0.782967,-114.60524,0.32403868204220554,-2214.4453929725,18444312.0,0.0012598822000000004,112.0,0.0
