case,part,time,Idp,return_status,region,x,y,z,r,distance_to_top,distance_to_bottom,distance_to_lateral_surface,p_eff,q,MccPc,MccVoidRatio,MccPlasticVolStrain,MccEqPlasticStrain,MccPlasticMultiplier,MccReturnIterations,MccYieldResidual,MccSubstepCount,MccSubstepFailureCount,MccAdmissibilityFailureCount,MccFallbackUsed,Kplastic,PorePress,PorePressRate,DivVel,velocity
baseline,2,0.001005,336,-1,bottom_cap_zone,9.1723565e-14,-0.010000035,0.01000002,0.010000035,0.08999998000000001,0.01000002,0.019999965,-4.184966,25.888124622208355,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849761,1.0,1.0,0.0,0.0,0.0,-21506.69435069,-28529658.0,0.042827237,0.00010933281057397472
baseline,2,0.001005,337,-1,interior,9.9536014e-14,-0.010000031,0.020000005,0.010000031,0.079999995,0.020000005,0.019999969,-3.1187089999999995,25.982492877142327,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187189,1.0,1.0,0.0,0.0,0.0,-21241.1116803,-25330676.0,0.038017955,5.496767327852546e-05
baseline,2,0.001005,338,-1,interior,-8.0213505e-14,-0.010000032,0.029999999,0.010000032,0.070000001,0.029999999,0.019999968,-1.7809187000000002,24.69847821338917,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809287,1.0,1.0,0.0,0.0,0.0,-20709.71940565,-23506980.0,0.035275787,5.190755579978422e-05
baseline,2,0.001005,402,-1,edge,0.01000028,-0.020000389,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.500046333333333,25.755476729709592,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000565,1.0,1.0,0.0,0.0,0.0,-20984.25510555,-27050680.0,0.040608749,0.0006625134520132743
baseline,2,0.001005,403,-1,lateral_boundary,0.010000277,-0.020000385,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869815333333333,24.90553998299342,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699142,1.0,1.0,0.0,0.0,0.0,-20306.36651571,-22372544.0,0.033584654,0.0006367210648736596
baseline,2,0.001005,413,-1,bottom_cap_zone,0.010000105,-0.010000105,0.010000018,0.014142284116155002,0.089999982,0.010000018,0.015857715883845,-4.1978056666666665,26.49444503286386,119.99934,0.80005151,-4.8932509e-07,5.0790533e-07,0.0,0.0,-4.1978159,1.0,1.0,0.0,0.0,5.0790533e-07,-21835.96091839,-28421314.0,0.042672817,0.00022574630122773823
baseline,2,0.001005,414,-1,interior,0.010000101,-0.010000101,0.020000005,0.014142278459300753,0.079999995,0.020000005,0.015857721540699247,-2.9538233333333337,26.3276913026441,119.99969,0.80005103,-2.2951676e-07,2.3841592e-07,0.0,0.0,-2.9538338,1.0,1.0,0.0,0.0,2.3841592e-07,-21326.2447854,-24254424.0,0.036411412,0.00019016246546510086
baseline,2,0.001005,415,-1,interior,0.010000102,-0.010000102,0.029999999,0.014142279873514314,0.070000001,0.029999999,0.015857720126485685,-1.3833727666666669,24.910026022084118,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833827,1.0,1.0,0.0,0.0,0.0,-20548.64290768,-21592390.0,0.032409851,0.00019200645941040785
baseline,2,0.001005,467,-1,edge,0.020000558,-0.020000558,-1.6089267e-08,0.028285060378629708,0.10000001608926701,-1.6089267e-08,0.0017149396213702907,-1.8814714333333342,35.05128296772906,119.99983,0.80004817,-1.2447812e-07,1.3347561e-07,0.0,0.0,-1.8814813,1.0,1.0,0.0,0.0,1.3347561e-07,-14936.04359381,-21742362.0,0.032592114,0.0011129176015273578
baseline,2,0.001005,468,-1,edge,0.020000555,-0.020000555,0.009999997,0.028285056135989018,0.09000000300000001,0.009999997,0.0017149438640109808,-0.9666863999999998,27.8388272570022,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96669656,1.0,1.0,0.0,0.0,0.0,-19350.99338922,-26701478.0,0.040063176,0.0010826389487713975
baseline,2,0.001005,479,-1,edge,0.020000389,-0.01000028,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.5000486666666664,25.755477735286938,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000587,1.0,1.0,0.0,0.0,0.0,-20984.2606353,-27050680.0,0.040608749,0.0006625133878638938
baseline,2,0.001005,480,-1,lateral_boundary,0.020000385,-0.010000277,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869791333333337,24.905541400519123,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698903,1.0,1.0,0.0,0.0,0.0,-20306.3694314,-22372544.0,0.033584654,0.0006367210935005045
baseline,2,0.001005,159,-1,edge,-0.030000759,2.8116574e-14,-1.7046998e-08,0.030000759,0.100000017046998,-1.7046998e-08,-7.589999999994823e-07,-2.511518333333333,31.983004263789766,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115283,1.0,1.0,0.0,0.0,0.0,-15650.70766909,-22767610.0,0.034136418,0.0011099043840021867
baseline,2,0.001005,160,-1,edge,-0.030000756,1.6161328e-14,0.009999997,0.030000756,0.09000000300000001,0.009999997,-7.560000000010614e-07,-2.9556055666666663,25.34694304420722,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556158,1.0,1.0,0.0,0.0,0.0,-20244.42217367,-27926256.0,0.041912846,0.001084068777995578
baseline,2,0.001005,204,-1,edge,-0.020000296,4.3128824e-14,0.010000013,0.020000296,0.089999987,0.010000013,0.009999703999999998,-4.415033,25.804062143303796,119.9977,0.80005389,-1.7053248e-06,1.7668332e-06,0.0,0.0,-4.4150434,1.0,1.0,0.0,0.0,1.7668332e-06,-22691.59638106,-28763492.0,0.043204997,0.00042619696850578886
baseline,2,0.001005,205,-1,lateral_boundary,-0.02000029,-8.5403901e-15,0.020000003,0.02000029,0.079999997,0.020000003,0.009999709999999998,-2.849514133333333,25.598815453776602,119.9985,0.80005276,-1.1101752e-06,1.1510039e-06,0.0,0.0,-2.849524,1.0,1.0,0.0,0.0,1.1510039e-06,-21866.87280724,-23219268.0,0.034879915,0.0003966796541178195
baseline,2,0.001005,206,-1,lateral_boundary,-0.020000292,-3.757945e-14,0.029999999,0.020000292,0.070000001,0.029999999,0.009999708,-1.8316252333333332,24.628001106230176,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,1.0,1.0,0.0,0.0,0.0,-20722.77321342,-19305312.0,0.028998548,0.00040278267001360067
baseline,2,0.001005,215,-1,edge,-0.020000389,0.01000028,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.5000523333333327,25.755479582094583,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000622,1.0,1.0,0.0,0.0,0.0,-20984.25711638,-27050678.0,0.040608745,0.0006625133858998034
baseline,2,0.001005,216,-1,lateral_boundary,-0.020000385,0.010000277,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869850999999995,24.905542968740534,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699493,1.0,1.0,0.0,0.0,0.0,-20306.36852649,-22372542.0,0.033584651,0.0006367211278518925
baseline,2,0.001005,225,-1,edge,-0.020000558,0.020000558,-1.6089261e-08,0.028285060378629708,0.10000001608926101,-1.6089261e-08,0.0017149396213702907,-1.8814711000000006,35.05128298774778,119.99983,0.80004817,-1.2447686e-07,1.3347424e-07,0.0,0.0,-1.8814811,1.0,1.0,0.0,0.0,1.3347424e-07,-14936.04299058,-21742358.0,0.032592107,0.0011129175215581044
baseline,2,0.001005,226,-1,edge,-0.020000555,0.020000555,0.009999997,0.028285056135989018,0.09000000300000001,0.009999997,0.0017149438640109808,-0.9666909333333328,27.838829713412284,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96670103,1.0,1.0,0.0,0.0,0.0,-19350.99811465,-26701486.0,0.040063191,0.001082639076125905
baseline,2,0.001005,270,-1,bottom_cap_zone,-0.010000035,-2.4947063e-14,0.01000002,0.010000035,0.08999998000000001,0.01000002,0.019999965,-4.184969333333334,25.888131270350836,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849794,1.0,1.0,0.0,0.0,0.0,-21506.69455184,-28529650.0,0.042827226,0.00010933290654977483
baseline,2,0.001005,271,-1,interior,-0.010000031,-3.1603094e-14,0.020000005,0.010000031,0.079999995,0.020000005,0.019999969,-3.1187086666666666,25.982495553411503,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187186,1.0,1.0,0.0,0.0,0.0,-21241.11399276,-25330684.0,0.038017966,5.4967864378333914e-05
baseline,2,0.001005,272,-1,interior,-0.010000032,-6.4334134e-15,0.029999999,0.010000032,0.070000001,0.029999999,0.019999968,-1.7809183666666677,24.698477705518435,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809285,1.0,1.0,0.0,0.0,0.0,-20709.71739483,-23506980.0,0.035275787,5.1907567068960985e-05
baseline,2,0.001005,281,-1,bottom_cap_zone,-0.010000105,0.010000105,0.010000018,0.014142284116155002,0.089999982,0.010000018,0.015857715883845,-4.197807666666668,26.49444293962278,119.99934,0.80005151,-4.8932708e-07,5.0790743e-07,0.0,0.0,-4.1978178,1.0,1.0,0.0,0.0,5.0790743e-07,-21835.96031513,-28421316.0,0.04267282,0.00022574626751234827
baseline,2,0.001005,282,-1,interior,-0.010000101,0.010000101,0.020000005,0.014142278459300753,0.079999995,0.020000005,0.015857721540699247,-2.953825,26.327687412694,119.99969,0.80005103,-2.2951713e-07,2.3841629e-07,0.0,0.0,-2.9538352,1.0,1.0,0.0,0.0,2.3841629e-07,-21326.24669568,-24254422.0,0.036411408,0.00019016239035816315
baseline,2,0.001005,283,-1,interior,-0.010000102,0.010000102,0.029999999,0.014142279873514314,0.070000001,0.029999999,0.015857720126485685,-1.3833718333333345,24.910024761539354,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833817,1.0,1.0,0.0,0.0,0.0,-20548.64280717,-21592384.0,0.032409843,0.00019200642342872266
baseline,2,0.001005,292,-1,edge,-0.01000028,0.020000389,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.5000509999999996,25.755479611619005,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000608,1.0,1.0,0.0,0.0,0.0,-20984.26093694,-27050684.0,0.040608756,0.0006625134868509751
baseline,2,0.001005,293,-1,lateral_boundary,-0.010000277,0.020000385,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869783000000007,24.90554172564899,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698826,1.0,1.0,0.0,0.0,0.0,-20306.36923031,-22372548.0,0.033584658,0.0006367210615573377
baseline,2,0.001005,358,-1,bottom_cap_zone,7.2330481e-15,0.010000035,0.01000002,0.010000035,0.08999998000000001,0.01000002,0.019999965,-4.184971666666667,25.888124447565243,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849818,1.0,1.0,0.0,0.0,0.0,-21506.69535621,-28529652.0,0.04282723,0.00010933280921566766
baseline,2,0.001005,359,-1,interior,-1.2509666e-14,0.010000031,0.020000005,0.010000031,0.079999995,0.020000005,0.019999969,-3.1187123333333333,25.982495108680062,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187222,1.0,1.0,0.0,0.0,0.0,-21241.11369113,-25330664.0,0.038017936,5.4967823789986866e-05
baseline,2,0.001005,360,-1,interior,1.3619347e-14,0.010000032,0.029999999,0.010000032,0.070000001,0.029999999,0.019999968,-1.7809229333333334,24.698478459146322,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809329,1.0,1.0,0.0,0.0,0.0,-20709.71960678,-23506980.0,0.035275787,5.1907538688454035e-05
baseline,2,0.001005,369,-1,edge,5.2957083e-14,0.020000296,0.010000013,0.020000296,0.089999987,0.010000013,0.009999703999999998,-4.415034333333334,25.804058051259474,119.9977,0.80005389,-1.7053245e-06,1.7668328e-06,0.0,0.0,-4.4150448,1.0,1.0,0.0,0.0,1.7668328e-06,-22691.59859295,-28763494.0,0.043205,0.00042619695374264025
