case,case_name,code,excluded,dtmin_adjustments,final_axial_strain_proxy,final_p_proxy,final_q_proxy,final_Fz_proxy,final_pairwise_reaction_avg,final_force_balance_error,final_status_elastic_count,final_status_converged_count,final_status_tension_count,final_status_line_search_count,final_status_failure_count,final_status_counts,final_yield_fraction,final_return_iterations_max,final_yield_residual_maxAbs,final_yield_residual_converged_maxAbs,final_MccSubstepCount_mean,final_MccSubstepCount_max,final_MccSubstepFailureCount_sum,final_MccAdmissibilityFailureCount_sum,final_MccFallbackUsed_count,final_MccPc_min,final_MccPc_mean,final_MccPc_max,final_MccVoidRatio_min,final_MccVoidRatio_mean,final_MccVoidRatio_max,final_MccPlasticVolStrain_mean,final_MccEqPlasticStrain_max,final_Kplastic_max,final_PorePress_mean,final_PorePress_std,final_PorePressRate_maxAbs,final_DivVel_maxAbs,final_velocity_max,first_failure_part,first_failure_time,first_failure_count
baseline,CaseM3d3_MCCMildBaseline,0,0,0,0.0004923412500000557,47.26133310780508,64.9466204495404,0.24781437833696118,0.286149,0.0346152,2,397,0,8,8,-3:8|0:2|1:397,0.9754299754299754,26.0,4486.3047,6.4242093e-05,1.0,1.0,8.0,0.0,0,117.68771,119.63033950859979,120.2084,0.79970473,0.8004928626289921,0.80314088,-0.0002750144962390663,0.0025562742,0.0025562742,-225214.38188911168,124985.56449377477,63265952.0,0.095357433,0.005524232722650874,2,0.001005,96
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,0,0,0,0.00048597961000013123,46.98428888211302,64.2402972070246,0.24546610431901492,0.28396299999999997,0.0396284,2,0,8,18,26,-3:18|-1:8|0:2|2:379,0.9312039312039312,62.0,5018.5083,0.0,4.0,4.0,26.0,0.0,0,114.87664,119.17506904176908,120.48329,0.79933494,0.8011159005896793,0.80701476,-0.000617492469611548,0.0056991098,0.0056991098,-240501.7072251021,136391.58988470814,77213296.0,0.116299,0.0063447688162135375,2,0.001005,96
adaptive_substeps16,CaseM3d3_MCCMildAdaptiveSubsteps16,0,0,0,0.0004857236600000481,47.088003911089295,64.47403484891105,0.24624826985381393,0.2848555,0.0399766,2,387,8,10,18,-3:10|-1:8|0:2|1:387,0.9508599508599509,190.0,5000.9287,7.1746501e-05,1.6633906633906634,16.0,90.0,0.0,0,117.93754,119.63395098280112,120.2004,0.79971135,0.8004936204422615,0.80280685,-0.0002723184322439802,0.0024237814,0.0024237814,-239475.03886834142,135649.05367253246,76510104.0,0.1152396,0.0063158949438701945,2,0.001005,96
adaptive_fallback16,CaseM3d3_MCCMildAdaptiveFallback16,0,0,0,0.0004849977699999952,47.00899624410315,64.32709270092835,0.24567930760056722,0.2840845,0.0386182,2,387,0,0,17,-5:17|0:2|1:387|2:1,0.9533169533169533,177.0,5057.4331,0.00012669183,1.6437346437346438,16.0,88.0,0.0,17,109.54565,119.42373835380857,120.2025,0.79970735,0.800784017542999,0.81462026,-0.00043312591107862435,0.011033725,0.011033725,-239488.43393454916,135910.80767536152,74225288.0,0.11180015,0.006238210319364786,2,0.001005,96
half_speed_adaptive,CaseM3d3_MCCMildHalfSpeedAdaptive,0,0,0,0.00042589967000003504,46.25154304635544,62.16441271609576,0.23633409321982635,0.25510299999999997,0.00494674,12,395,0,0,0,0:12|1:395,0.9705159705159705,17.0,4483.9429,9.2902883e-05,1.0,1.0,0.0,0.0,0,117.30253,119.53243157248168,120.2248,0.79967135,0.8006309492383269,0.80367082,-0.0003481423016707617,0.0027752805,0.0027752805,-282269.0080923411,64660.22121600407,29217048.0,0.044020213,0.0027968823126221566,1,0.001005,100
