case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccSubstepCount_mean,MccSubstepCount_max,MccSubstepFailureCount_sum,MccAdmissibilityFailureCount_sum,MccFallbackUsed_count,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,3,0.001508,1.2398274849972912e-05,26.302213763339875,39.43148771056991,0.14266802251354743,0.29844804999999996,0.810412,144,0,74,12,86,-3:12|-1:74|0:144|2:177,0.4348894348894349,54.0,3765.0945,0.0,4.0,4.0,86.0,0.0,0,119.95723,120.00141862407881,120.23339,0.79965043,0.8000237322113019,0.80007923,1.0466752018673238e-06,0.00028660911,0.00028660911,-19539.10957711571,6090.630006430045,39279668.0,0.058941871,0.0049999999
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,4,0.002011,2.3928691600116903e-05,37.10146922134317,45.80052889581849,0.17873418291904186,0.2441394,0.684955,184,0,33,16,49,-3:16|-1:33|0:184|2:174,0.4275184275184275,40.0,4782.9751,0.0,4.0,4.0,49.0,0.0,0,119.92551,119.99678120393138,120.29198,0.79958278,0.8000182580835392,0.800116,-2.391870059926287e-06,0.00042342793,0.00042342793,-19226.3187397476,15077.628401007836,48755184.0,0.073230281,0.0049999999
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,5,0.002513,3.7035053399997464e-05,47.07245482020479,50.030358153671216,0.21118434323125593,0.2441394,0.684955,169,0,8,20,28,-3:20|-1:8|0:169|2:210,0.515970515970516,58.0,4706.5781,0.0,4.0,4.0,28.0,0.0,0,119.85827,119.98676169533147,120.31792,0.79955524,0.8000208555036861,0.80020571,-9.817997413390657e-06,0.00056183775,0.00056183775,-19129.989612282,19198.99475365465,53162480.0,0.079833925,0.0049999999
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,6,0.003016,5.099853160009382e-05,51.859569608755116,54.10288983759452,0.23301409335990111,0.275766,0.322019,162,0,0,28,28,-3:28|0:162|2:217,0.5331695331695332,62.0,4514.5884,0.0,4.0,4.0,28.0,0.0,0,119.73781,119.97368152334153,120.3394,0.79953307,0.8000331489926297,0.80037385,-1.9516157599262912e-05,0.00070390024,0.00070390024,-21605.15030512494,27901.807553394916,55452960.0,0.083331466,0.005211993797988168
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,7,0.003519,6.56172252000431e-05,51.345114952141664,58.50699041053013,0.24329737834427934,0.275766,0.322019,136,0,0,28,28,-3:28|0:136|2:243,0.597051597051597,68.0,4509.3135,0.0,4.0,4.0,28.0,0.0,0,119.58796,119.95723982800982,120.34461,0.79952967,0.8000556594594594,0.80057645,-3.171363680663391e-05,0.00082014024,0.00082014024,-26614.126234746884,28996.439038043183,57615356.0,0.086557977,0.005402805559803943
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,8,0.004021,8.045398310008167e-05,47.80691671163803,62.44785106225252,0.24441547040629294,0.307273,0.104704,96,0,0,10,10,-3:10|0:96|2:301,0.7395577395577395,65.0,4377.1914,0.0,4.0,4.0,10.0,0.0,0,119.42707,119.93673835380844,120.34131,0.79953682,0.8000868702456995,0.80079335,-4.692862362277643e-05,0.00096789456,0.00096789456,-33930.0780487485,36337.160536310825,59631740.0,0.089637458,0.005545740716815694
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,9,0.004524,9.536385430011785e-05,45.381729348075375,64.91267377636896,0.24438016226567616,0.307273,0.104704,71,0,0,12,12,-3:12|0:71|2:324,0.7960687960687961,64.0,3450.6631,0.0,4.0,4.0,12.0,0.0,0,119.25762,119.91281321867338,120.32602,0.79956079,0.8001214652825563,0.80102181,-6.469476228850123e-05,0.001140222,0.001140222,-41143.43114301715,38113.01931289369,61851452.0,0.092892513,0.005659175025933191
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,10,0.005027,0.00011034136300006048,45.55288838553643,66.57730818945598,0.24845830406069613,0.294635,0.0802357,35,0,0,9,9,-3:9|0:35|2:363,0.8918918918918919,64.0,3432.3188,0.0,4.0,4.0,9.0,0.0,0,119.08096,119.88551968059001,120.30563,0.79959041,0.8001577894348884,0.80126005,-8.497331998565356e-05,0.0013316192,0.0013316192,-47916.70310357216,47734.729074145616,63342696.0,0.095229536,0.005745528465437995
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,11,0.005529,0.00012521405000007202,47.549821639082715,67.06231675457711,0.25457919889819225,0.294635,0.0802357,3,0,0,12,12,-3:12|0:3|2:392,0.9631449631449631,66.0,2760.4609,0.0,4.0,4.0,12.0,0.0,0,118.89886,119.85740805896822,120.27326,0.79963523,0.8001932692137591,0.80150563,-0.00010587452927221123,0.0015256034,0.0015256034,-53766.51564310281,50882.67266964569,64647224.0,0.097150683,0.005809084022036233
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,12,0.006032,0.0001400608290000327,49.47193155982802,66.78646574130197,0.2589625213693601,0.2880745,0.0810424,2,0,0,25,25,-3:25|0:2|2:380,0.9336609336609336,67.0,3114.2778,0.0,4.0,4.0,25.0,0.0,0,118.71317,119.83058678132691,120.25925,0.79965425,0.8002271406142519,0.80175614,-0.0001258366320665848,0.0017214313,0.0017214313,-59851.28372286086,61272.90289051198,65550824.0,0.098569877,0.00585718497643806
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,13,0.006535,0.0001548223630000456,50.04739045708437,66.42754289691656,0.2597149622081005,0.2880745,0.0810424,2,0,0,41,41,-3:41|0:2|2:364,0.8943488943488943,65.0,2661.479,0.0,4.0,4.0,41.0,0.0,0,118.52529,119.80402412776402,120.25925,0.79965425,0.8002621566584772,0.80200982,-0.00014562564822407864,0.0019254636,0.0019254636,-66352.74194857414,62846.810320775214,66313984.0,0.099675588,0.0058957609237403254
