z_m,vx_m_per_s
-0.50,0.000000
-0.48,0.000020
-0.44,0.000060
-0.40,0.000100
-0.36,0.000140
-0.32,0.000180
-0.28,0.000220
-0.24,0.000260
-0.20,0.000300
-0.16,0.000340
-0.12,0.000380
-0.08,0.000420
-0.04,0.000460
0.00,0.000500
0.04,0.000540
0.08,0.000580
0.12,0.000620
0.16,0.000660
0.20,0.000700
0.24,0.000740
0.28,0.000780
0.32,0.000820
0.36,0.000860
0.40,0.000900
0.44,0.000940
0.48,0.000980
0.50,0.001000
