case,part,time,total_count,specimen_count,top_platen_count,bottom_platen_count,measurement_core_small_count,platen_contamination_core_small,top_platen_displacement,top_platen_vz_mean,bottom_platen_displacement,bottom_platen_vmag_max,specimen_axial_strain_proxy,specimen_radial_strain_proxy,velocity_max,specimen_velocity_max,porepress_mean,porepress_std,porepressrate_maxabs,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,true_reaction_available,reaction_type,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,0,0.0,555,407,74,74,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,1,0.000503,555,407,74,74,15,0,-2.5100000001360145e-06,-0.004999999899999997,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,2,0.001005,555,407,74,74,15,0,-5.025000000005719e-06,-0.004999999899999997,0.0,0.0,-4.130368580074206e-06,-1.489916542252408e-06,0.0049999999,0.0024198727000000015,4324.1136018019115,2729.3977420441756,32690302.0,0.049062062,0.0,0.0,0,0,specimen_stress_proxy,-18.0960305435172,-18.09603058893956,-32.093443428157244,32.093443428157244,0.09074207349206857,22.761834853538,13.997412861928863
dp_high_strength,3,0.001508,555,407,74,74,15,0,-7.540000000055835e-06,-0.004999999899999997,0.0,0.0,-1.5789309509989247e-05,-1.9281970502288214e-06,0.0049999999,0.004178799700000004,12485.602316495526,6988.670388701518,40173304.0,0.060293276,0.0,0.0,0,0,specimen_stress_proxy,-38.00719574680587,-38.00719581019654,-71.28292724098776,71.28292724098776,0.2015477284919966,49.09910626599672,33.275731462486554
dp_high_strength,4,0.002011,555,407,74,74,15,0,-1.0050000000039194e-05,-0.004999999899999997,0.0,0.0,-3.286903220003912e-05,3.559588617030658e-06,0.005033465600000002,0.005033465600000002,17866.00828653646,14724.878595975735,36138576.0,0.054304376,0.0,0.0,0,0,specimen_stress_proxy,-44.18293222884524,-44.18293240609336,-106.44493973938583,106.44493973938583,0.30096597662735647,64.93693479144147,62.26200742191653
dp_high_strength,5,0.002513,555,407,74,74,15,0,-1.2564999999992166e-05,-0.004999999899999997,0.0,0.0,-5.359551459999112e-05,1.5568817408789788e-05,0.005298285466809479,0.005298285466809479,18768.47147000286,15721.859998892762,39844872.0,0.059897043,0.0,0.0,0,0,specimen_stress_proxy,-33.65274106216217,-33.652741267543,-133.86913002113022,133.86913002113022,0.37850604787515557,67.05820411694513,100.21638885627763
dp_high_strength,6,0.003016,555,407,74,74,15,0,-1.5080000000070037e-05,-0.004999999899999997,0.0,0.0,-7.64962012000936e-05,3.0190301793061337e-05,0.005132056702989604,0.005132056702989604,16823.161213075677,17015.30805749253,18608866.0,0.028087361,0.0,0.0,0,0,specimen_stress_proxy,-15.34193860523339,-15.341938455749409,-157.4071128009828,157.4071128009828,0.44505812627851266,62.6969966206552,142.06517427049138
dp_high_strength,7,0.003519,555,407,74,74,15,0,-1.758999999997013e-05,-0.004999999899999997,0.0,0.0,-0.00010027276390003892,4.199453639953269e-05,0.005336851685407058,0.005336851685407058,16430.046407907477,11436.126095262272,27789178.0,0.041647065,0.0,0.0,0,0,specimen_stress_proxy,-2.624480097420144,-2.6244797661916377,-184.2260271253071,184.2260271253071,0.5208868200752088,63.158328996306295,181.6015471935012
dp_high_strength,8,0.004022,555,407,74,74,15,0,-2.0105000000103512e-05,-0.004999999899999997,0.0,0.0,-0.00012478793029999102,4.81381149084638e-05,0.005641657163125397,0.005641657163125397,20550.341385275642,9089.03483290294,39175568.0,0.058772914,0.0,0.0,0,0,specimen_stress_proxy,-3.824145218680603,-3.824144711751857,-219.1006833538082,219.1006833538082,0.6194925874987446,75.58299109474689,215.27653838859197
dp_high_strength,9,0.004524,555,407,74,74,15,0,-2.2620000000028728e-05,-0.004999999899999997,0.0,0.0,-0.00014879351629998316,4.997468304840479e-05,0.00567669656243953,0.00567669656243953,29247.483959025078,8852.508753224532,33745132.0,0.050707553,0.0,0.0,0,0,specimen_stress_proxy,-17.14837276597347,-17.14837214270982,-260.9275097027028,260.9275097027028,0.7377551528413415,98.40808487046205,243.77913724836117
dp_high_strength,10,0.005027,555,407,74,74,15,0,-2.5129999999970454e-05,-0.004999999899999997,0.0,0.0,-0.0001707071159999518,5.146594929065428e-05,0.0058696875,0.0058696875,37970.969229712784,12641.06805633326,28217100.0,0.04240578,0.0,0.0,0,0,specimen_stress_proxy,-32.38321927006386,-32.38321878378624,-303.2138519901722,303.2138519901722,0.857316968891089,122.66009668134076,270.8306329632471
dp_high_strength,11,0.00553,555,407,74,74,15,0,-2.7650000000115083e-05,-0.004999999899999997,0.0,0.0,-0.0001916568670000396,5.6138511784357633e-05,0.005815857600000001,0.005815857600000001,44233.46419639505,13198.708915730163,24855276.0,0.037341122,0.0,0.0,0,0,specimen_stress_proxy,-39.29668480211301,-39.296684734422634,-339.33908402948396,339.33908402948396,0.9594586561166246,139.31081785533988,300.04239926121613
dp_high_strength,12,0.006032,555,407,74,74,15,0,-3.0000000000016125e-05,-0.003391786700000004,0.0,0.0,-0.00020927541300008734,6.49338346775044e-05,0.005534289930643178,0.005534289930643178,45374.10480389952,16040.653185079615,20437690.0,0.030697737,0.0,0.0,0,0,specimen_stress_proxy,-34.838258838034406,-34.83825910606882,-367.30763083538096,367.30763083538096,1.038537859175914,145.66138292649472,332.46937186332934
dp_mild_yield,0,0.0,555,407,74,74,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,1,0.000503,555,407,74,74,15,0,-2.5100000001360145e-06,-0.004999999899999997,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,2,0.001005,555,407,74,74,15,0,-5.025000000005719e-06,-0.004999999899999997,0.0,0.0,-4.130368580074206e-06,-1.489916542252408e-06,0.0049999999,0.0024198727000000015,4324.1136018019115,2729.3977420441756,32690302.0,0.049062062,0.0,0.0,0,0,specimen_stress_proxy,-18.0960305435172,-18.09603058893956,-32.093443428157244,32.093443428157244,0.09074207349206857,22.761834853538,13.997412861928863
dp_mild_yield,3,0.001508,555,407,74,74,15,0,-7.540000000055835e-06,-0.004999999899999997,0.0,0.0,-1.5709309520023362e-05,-1.927397900982286e-06,0.0049999999,0.004161978600000002,12481.597657652368,6989.500374114793,40137892.0,0.060240835,1.7767963e-05,1.0636410154545453e-06,41,0,specimen_stress_proxy,-38.7955813992383,-38.79558128442258,-69.68369929059216,69.68369929059216,0.19702601798965613,49.091620658084345,30.888117948761717
dp_mild_yield,4,0.002011,555,407,74,74,15,0,-1.0050000000039194e-05,-0.004999999899999997,0.0,0.0,-3.218904810003975e-05,3.823401353086479e-06,0.005007021484211964,0.005007021484211964,17385.482138634547,14812.948882568786,40091504.0,0.060249444,7.018396e-05,9.051447481572486e-06,95,0,specimen_stress_proxy,-49.97139502095826,-49.97139510651105,-91.98332536113026,91.98332536113026,0.26007672528655784,63.975371829533195,42.011930297395594
dp_mild_yield,5,0.002513,555,407,74,74,15,0,-1.2564999999992166e-05,-0.004999999899999997,0.0,0.0,-5.046706970004977e-05,1.7421257310187536e-05,0.005367293621526564,0.005367293621526564,16058.359237571052,16672.67318872272,51419936.0,0.077252902,0.00013190215,2.151784880882064e-05,116,0,specimen_stress_proxy,-43.63041655481572,-43.630416159336605,-96.45299267493854,96.45299267493854,0.27271441188390333,61.23794179636362,52.822576317862385
dp_mild_yield,6,0.003016,555,407,74,74,15,0,-1.5080000000070037e-05,-0.004999999899999997,0.0,0.0,-6.86203921000661e-05,3.6182977264696386e-05,0.0052043618342215775,0.0052043618342215775,9174.707908529856,21565.744848971557,47685316.0,0.071680687,0.00018835922,3.7323394227272736e-05,153,0,specimen_stress_proxy,-25.06482197850121,-25.064822035208806,-86.74957694840298,86.74957694840298,0.2452786502788127,45.62640698737099,61.684754941547965
